"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53997892081068528e+01, 4.23594926470934727e-06,-8.53997914647554950e+01, 4.23589654697972694e-06
 1.00000000000000006e-01,-8.53998000228040013e+01, 4.23587271473081609e-06,-8.53998022897921771e+01, 4.23581996820905088e-06
 2.00000000000000011e-01,-8.53998108375011498e+01, 4.23579616517568620e-06,-8.53998131106875604e+01, 4.23574342884678259e-06
 3.00000000000000044e-01,-8.53998216521982982e+01, 4.23571961604378563e-06,-8.53998239274451123e+01, 4.23566692884370183e-06
 4.00000000000000022e-01,-8.53998324578724208e+01, 4.23564315182799597e-06,-8.53998347400683286e+01, 4.23559046815019449e-06
 5.00000000000000000e-01,-8.53998432587983132e+01, 4.23556673249693620e-06,-8.53998455485606911e+01, 4.23551404671650672e-06
 6.00000000000000089e-01,-8.53998540597242197e+01, 4.23549031358721856e-06,-8.53998563529256671e+01, 4.23543766449318363e-06
 7.00000000000000067e-01,-8.53998648554572526e+01, 4.23541394347319708e-06,-8.53998671531667242e+01, 4.23536132143071616e-06
 8.00000000000000044e-01,-8.53998756378677086e+01, 4.23533769788590898e-06,-8.53998779492873581e+01, 4.23528501747911243e-06
 9.00000000000000022e-01,-8.53998864175511585e+01, 4.23526147812060494e-06,-8.53998887412910221e+01, 4.23520875258893365e-06
 1.00000000000000000e+00,-8.53998971945076022e+01, 4.23518528417681569e-06,-8.53998995291811696e+01, 4.23513252671025316e-06
 1.10000000000000009e+00,-8.53999079687370113e+01, 4.23510911605416600e-06,-8.53999103129612962e+01, 4.23505633979326544e-06
 1.20000000000000018e+00,-8.53999187402394142e+01, 4.23503297375166823e-06,-8.53999210926348269e+01, 4.23498019178828522e-06
 1.30000000000000004e+00,-8.53999295090148109e+01, 4.23495685726920379e-06,-8.53999318682052575e+01, 4.23490408264513595e-06
 1.40000000000000013e+00,-8.53999402750631873e+01, 4.23488076660596208e-06,-8.53999426396760128e+01, 4.23482801231436618e-06
 1.50000000000000000e+00,-8.53999510383845575e+01, 4.23480470176156531e-06,-8.53999534070505746e+01, 4.23475198074551813e-06
 1.60000000000000009e+00,-8.53999617989788931e+01, 4.23472866273537397e-06,-8.53999641703323675e+01, 4.23467598788902684e-06
 1.70000000000000018e+00,-8.53999725568462367e+01, 4.23465264952675195e-06,-8.53999749295248591e+01, 4.23460003369457939e-06
 1.80000000000000004e+00,-8.53999833119865599e+01, 4.23457666213531978e-06,-8.53999856846314884e+01, 4.23452411811215087e-06
 1.90000000000000013e+00,-8.53999940624797063e+01, 4.23450071816486409e-06,-8.53999964356557086e+01, 4.23444824109156896e-06
 2.00000000000000000e+00,-8.54000048061114825e+01, 4.23442483791470056e-06,-8.54000071826009446e+01, 4.23437240258286720e-06
 2.10000000000000009e+00,-8.54000155461299357e+01, 4.23434899160490329e-06,-8.54000179254706495e+01, 4.23429660253558106e-06
 2.20000000000000018e+00,-8.54000262825350660e+01, 4.23427317923492593e-06,-8.54000286642682624e+01, 4.23422084089962294e-06
