"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53891415871525084e+01, 3.50922018345439321e-06,-8.53891445848138346e+01, 3.50915517691864602e-06
 1.00000000000000006e-01,-8.53891527813421050e+01, 3.50915489888620428e-06,-8.53891557936862426e+01, 3.50908987249542586e-06
 2.00000000000000011e-01,-8.53891639755317016e+01, 3.50908961470681068e-06,-8.53891669981812385e+01, 3.50902460334321709e-06
 3.00000000000000044e-01,-8.53891751697212982e+01, 3.50902433091600106e-06,-8.53891781983025453e+01, 3.50895936942357331e-06
 4.00000000000000022e-01,-8.53891863639109090e+01, 3.50895904751398423e-06,-8.53891893940538580e+01, 3.50889417069853813e-06
 5.00000000000000000e-01,-8.53891975485535255e+01, 3.50889384015270403e-06,-8.53892005854389140e+01, 3.50882900712944872e-06
 6.00000000000000089e-01,-8.53892087230944554e+01, 3.50882871322592872e-06,-8.53892117724614224e+01, 3.50876387867827076e-06
 7.00000000000000067e-01,-8.53892198976353995e+01, 3.50876358668527551e-06,-8.53892229551250779e+01, 3.50869878530668364e-06
 8.00000000000000044e-01,-8.53892310721763437e+01, 3.50869846053095317e-06,-8.53892341334336038e+01, 3.50863372697642941e-06
 9.00000000000000022e-01,-8.53892422467172878e+01, 3.50863333476282238e-06,-8.53892453073907092e+01, 3.50856870364917392e-06
 1.00000000000000000e+00,-8.53892534011406354e+01, 3.50856836835724100e-06,-8.53892564770001030e+01, 3.50850371528664398e-06
 1.10000000000000009e+00,-8.53892645521405456e+01, 3.50850342938849420e-06,-8.53892676422654660e+01, 3.50843876185069599e-06
 1.20000000000000018e+00,-8.53892757002607681e+01, 3.50843851355891596e-06,-8.53892788031905354e+01, 3.50837384330296657e-06
 1.30000000000000004e+00,-8.53892868455013172e+01, 3.50837362086804208e-06,-8.53892899597789921e+01, 3.50830895960507919e-06
 1.40000000000000013e+00,-8.53892979878621929e+01, 3.50830875131526653e-06,-8.53893011120345307e+01, 3.50824411071899529e-06
 1.50000000000000000e+00,-8.53893091273433953e+01, 3.50824390490005313e-06,-8.53893122599608745e+01, 3.50817929660617362e-06
 1.60000000000000009e+00,-8.53893202639449242e+01, 3.50817908162186699e-06,-8.53893234035617041e+01, 3.50811451722840493e-06
 1.70000000000000018e+00,-8.53893313976667656e+01, 3.50811428148024222e-06,-8.53893345428407144e+01, 3.50804977254746518e-06
 1.80000000000000004e+00,-8.53893425285089478e+01, 3.50804950447443387e-06,-8.53893456778016002e+01, 3.50798506252497275e-06
 1.90000000000000013e+00,-8.53893536564714566e+01, 3.50798475060411837e-06,-8.53893568084480705e+01, 3.50792038712246006e-06
 2.00000000000000000e+00,-8.53893647815542778e+01, 3.50792001986875955e-06,-8.53893679347838059e+01, 3.50785574630171493e-06
 2.10000000000000009e+00,-8.53893759037574398e+01, 3.50785531226768486e-06,-8.53893790568124871e+01, 3.50779114002444045e-06
 2.20000000000000018e+00,-8.53893870230809142e+01, 3.50779062780049917e-06,-8.53893901745378088e+01, 3.50772656825217412e-06
 2.30000000000000027e+00,-8.53893981358445870e+01, 3.50772599516735535e-06,-8.53894012879634801e+01, 3.50766203094643270e-06
 2.40000000000000036e+00,-8.53894092421719506e+01, 3.50766141340398601e-06,-8.53894123970931531e+01, 3.50759752806912765e-06
 2.50000000000000000e+00,-8.53894203446881050e+01, 3.50759686203679759e-06,-8.53894235019305370e+01, 3.50753305958144751e-06
 2.60000000000000009e+00,-8.53894314433930504e+01, 3.50753234106516032e-06,-8.53894346024792981e+01, 3.50746862544525376e-06
 2.70000000000000018e+00,-8.53894425382867865e+01, 3.50746785048809293e-06,-8.53894456987431454e+01, 3.50740422562189122e-06
 2.80000000000000027e+00,-8.53894536293693136e+01, 3.50740339030517527e-06,-8.53894567907257311e+01, 3.50733986007288468e-06
 2.90000000000000036e+00,-8.53894647166406173e+01, 3.50733896051563866e-06,-8.53894678784307501e+01, 3.50727552875980467e-06
 3.00000000000000000e+00,-8.53894758001007261e+01, 3.50727456111864244e-06,-8.53894789618618830e+01, 3.50721123164411629e-06
 3.10000000000000009e+00,-8.53894868797496258e+01, 3.50721019211362797e-06,-8.53894900410227962e+01, 3.50714696868732782e-06
 3.20000000000000018e+00,-8.53894979555873022e+01, 3.50714585349989772e-06,-8.53895011159171844e+01, 3.50708273985055959e-06
 3.30000000000000027e+00,-8.53895090276137836e+01, 3.50708154527675248e-06,-8.53895121865486999e+01, 3.50701854509546430e-06
