"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53506474233635259e+01, 6.78027110488961532e-05,-8.53506480628136615e+01, 6.78026564014824024e-05
 1.00000000000000006e-01,-8.53506603279470397e+01, 6.77999959485811398e-05,-8.53506609792236191e+01, 6.77999401132897391e-05
 2.00000000000000011e-01,-8.53506732325305677e+01, 6.77972809002752369e-05,-8.53506738901857318e+01, 6.77972244159011063e-05
 3.00000000000000044e-01,-8.53506861371140815e+01, 6.77945659039784444e-05,-8.53506867957053998e+01, 6.77945093087949216e-05
 4.00000000000000022e-01,-8.53506990255419709e+01, 6.77918525563973618e-05,-8.53506996957880233e+01, 6.77917947914533428e-05
 5.00000000000000000e-01,-8.53507119136428969e+01, 6.77891392930664180e-05,-8.53507125904390023e+01, 6.77890808633560749e-05
 6.00000000000000089e-01,-8.53507248017438371e+01, 6.77864260816664815e-05,-8.53507254796637085e+01, 6.77863675239853979e-05
 7.00000000000000067e-01,-8.53507376698326681e+01, 6.77837149015784313e-05,-8.53507383634675705e+01, 6.77836547728198781e-05
 8.00000000000000044e-01,-8.53507505335500554e+01, 6.77810042056943801e-05,-8.53507512418559884e+01, 6.77809426093419040e-05
 9.00000000000000022e-01,-8.53507633936509791e+01, 6.77782939193179754e-05,-8.53507641148343339e+01, 6.77782310330350837e-05
 1.00000000000000000e+00,-8.53507762501354250e+01, 6.77755840424218274e-05,-8.53507769824080214e+01, 6.77755200433769400e-05
 1.10000000000000009e+00,-8.53507891030034074e+01, 6.77728745749835203e-05,-8.53507898445824367e+01, 6.77728096398524363e-05
 1.20000000000000018e+00,-8.53508019522549120e+01, 6.77701655169756916e-05,-8.53508027013629942e+01, 6.77700998219391769e-05
 1.30000000000000004e+00,-8.53508147978899530e+01, 6.77674568683747056e-05,-8.53508155527550656e+01, 6.77673905891209866e-05
 1.40000000000000013e+00,-8.53508276399085304e+01, 6.77647486291556528e-05,-8.53508283987640795e+01, 6.77646819408768251e-05
 1.50000000000000000e+00,-8.53508404783106300e+01, 6.77620407992936643e-05,-8.53508412393954217e+01, 6.77619738766905986e-05
 1.60000000000000009e+00,-8.53508533130962661e+01, 6.77593333787625973e-05,-8.53508540746544782e+01, 6.77592663960438279e-05
 1.70000000000000018e+00,-8.53508661417091332e+01, 6.77566266209325170e-05,-8.53508669045466632e+01, 6.77565594984143478e-05
 1.80000000000000004e+00,-8.53508789619888830e+01, 6.77539207398940909e-05,-8.53508797290773629e+01, 6.77538531832887344e-05
 1.90000000000000013e+00,-8.53508917774749847e+01, 6.77512153847619012e-05,-8.53508925482519771e+01, 6.77511474501448901e-05
 2.00000000000000000e+00,-8.53509045881674382e+01, 6.77485105555029882e-05,-8.53509053620759062e+01, 6.77484422984670192e-05
 2.10000000000000009e+00,-8.53509173940662578e+01, 6.77458062520806109e-05,-8.53509181705545501e+01, 6.77457377277344066e-05
 2.20000000000000018e+00,-8.53509301951714150e+01, 6.77431024744680168e-05,-8.53509309736933091e+01, 6.77430337374300640e-05
 2.30000000000000027e+00,-8.53509429914829383e+01, 6.77403992226284648e-05,-8.53509437714975689e+01, 6.77403303270358376e-05
 2.40000000000000036e+00,-8.53509557830008134e+01, 6.77376964965277620e-05,-8.53509565639727299e+01, 6.77376274960336550e-05
 2.50000000000000000e+00,-8.53509685697250404e+01, 6.77349942961354151e-05,-8.53509693511241920e+01, 6.77349252439066906e-05
 2.60000000000000009e+00,-8.53509813516556193e+01, 6.77322926214184374e-05,-8.53509821329573555e+01, 6.77322235701344460e-05
