"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53999572039004136e+01, 4.28012950085053942e-06,-8.53999580250895463e+01, 4.28000732001785373e-06
 1.00000000000000006e-01,-8.53999680226524021e+01, 4.28005010509102180e-06,-8.53999688453411494e+01, 4.27992813738976580e-06
 2.00000000000000011e-01,-8.53999788234745552e+01, 4.27997087508922901e-06,-8.53999796614498905e+01, 4.27984899452904464e-06
 3.00000000000000044e-01,-8.53999896217871139e+01, 4.27989166883079887e-06,-8.53999904734191375e+01, 4.27976989139678605e-06
 4.00000000000000022e-01,-8.54000004200996585e+01, 4.27981246305639639e-06,-8.54000012812522442e+01, 4.27969082795480407e-06
 5.00000000000000000e-01,-8.54000112184122173e+01, 4.27973325776593432e-06,-8.54000120849525928e+01, 4.27961180416431900e-06
 6.00000000000000089e-01,-8.54000220124848397e+01, 4.27965409302272176e-06,-8.54000228845235227e+01, 4.27953281998735666e-06
 7.00000000000000067e-01,-8.54000327917652697e+01, 4.27957506853397492e-06,-8.54000336799683879e+01, 4.27945387538560999e-06
 8.00000000000000044e-01,-8.54000435710456998e+01, 4.27949604452643850e-06,-8.54000444712905278e+01, 4.27937497032114037e-06
 9.00000000000000022e-01,-8.54000543503261298e+01, 4.27941702100019976e-06,-8.54000552584932962e+01, 4.27929610475620571e-06
 1.00000000000000000e+00,-8.54000651296065598e+01, 4.27933799795508421e-06,-8.54000660415800326e+01, 4.27921727865298938e-06
 1.10000000000000009e+00,-8.54000758972898382e+01, 4.27925908518903528e-06,-8.54000768205540766e+01, 4.27913849197369847e-06
 1.20000000000000018e+00,-8.54000866543318295e+01, 4.27918027364984829e-06,-8.54000875954187535e+01, 4.27905974468107793e-06
 1.30000000000000004e+00,-8.54000974086632567e+01, 4.27910148825101369e-06,-8.54000983661773887e+01, 4.27898103673771938e-06
 1.40000000000000013e+00,-8.54001081602841055e+01, 4.27902272899203937e-06,-8.54001091328333217e+01, 4.27890236810632120e-06
 1.50000000000000000e+00,-8.54001189091943900e+01, 4.27894399587216637e-06,-8.54001198953898637e+01, 4.27882373874985788e-06
 1.60000000000000009e+00,-8.54001296553941103e+01, 4.27886528889098813e-06,-8.54001306538503258e+01, 4.27874514863141233e-06
 1.70000000000000018e+00,-8.54001403988832521e+01, 4.27878660804792187e-06,-8.54001414082180190e+01, 4.27866659771417505e-06
