"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53979492085950511e+01, 8.90708475782218471e-06,-8.53979510951074019e+01, 8.90686444148439981e-06
 1.00000000000000006e-01,-8.53979600977884701e+01, 8.90666413605961770e-06,-8.53979619806197547e+01, 8.90644389835095431e-06
 2.00000000000000011e-01,-8.53979709762754311e+01, 8.90624365319287133e-06,-8.53979728619473661e+01, 8.90602345111932618e-06
 3.00000000000000044e-01,-8.53979818425903545e+01, 8.90582334063238537e-06,-8.53979837390936325e+01, 8.90560309972435318e-06
 4.00000000000000022e-01,-8.53979927089052779e+01, 8.90540303657605091e-06,-8.53979946120619360e+01, 8.90518284410081885e-06
 5.00000000000000000e-01,-8.53980035752202014e+01, 8.90498274102313612e-06,-8.53980054808556446e+01, 8.90476268418363210e-06
 6.00000000000000089e-01,-8.53980144415351248e+01, 8.90456245397437112e-06,-8.53980163454781405e+01, 8.90434261990764593e-06
 7.00000000000000067e-01,-8.53980252992336233e+01, 8.90414232598333677e-06,-8.53980272059327632e+01, 8.90392265120911094e-06
 8.00000000000000044e-01,-8.53980361465198285e+01, 8.90372238841601545e-06,-8.53980380622229092e+01, 8.90350277802240750e-06
 9.00000000000000022e-01,-8.53980469909882771e+01, 8.90330250856582579e-06,-8.53980489143519037e+01, 8.90308300028422158e-06
 1.00000000000000000e+00,-8.53980578326389548e+01, 8.90288268642867322e-06,-8.53980597623231290e+01, 8.90266331792991103e-06
 1.10000000000000009e+00,-8.53980686714718757e+01, 8.90246292200082571e-06,-8.53980706061399246e+01, 8.90224373089550621e-06
 1.20000000000000018e+00,-8.53980795074870400e+01, 8.90204321527746536e-06,-8.53980814458056443e+01, 8.90182423911734582e-06
 1.30000000000000004e+00,-8.53980903406844334e+01, 8.90162356625522434e-06,-8.53980922813236134e+01, 8.90140484253170927e-06
 1.40000000000000013e+00,-8.53981011710640701e+01, 8.90120397492946261e-06,-8.53981031126971857e+01, 8.90098554107537064e-06
