"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53676357535798473e+01, 8.01591571938048506e-05,-8.53676371587556844e+01, 8.01590003630245004e-05
 1.00000000000000006e-01,-8.53676477887641312e+01, 8.01539482820977194e-05,-8.53676492079645897e+01, 8.01537890833368559e-05
 2.00000000000000011e-01,-8.53676598239484150e+01, 8.01487394926025346e-05,-8.53676612522641562e+01, 8.01485787342238256e-05
 3.00000000000000044e-01,-8.53676718591327131e+01, 8.01435308253177514e-05,-8.53676732916585905e+01, 8.01433693151014446e-05
 4.00000000000000022e-01,-8.53676838896069654e+01, 8.01383230576430529e-05,-8.53676853261521273e+01, 8.01381608253751230e-05
 5.00000000000000000e-01,-8.53676959065122389e+01, 8.01331176516237542e-05,-8.53676973557490015e+01, 8.01329532644550141e-05
 6.00000000000000089e-01,-8.53677079234174983e+01, 8.01279123675871881e-05,-8.53677093804534479e+01, 8.01277466317545239e-05
 7.00000000000000067e-01,-8.53677199403227576e+01, 8.01227072055364582e-05,-8.53677214002696587e+01, 8.01225409266856083e-05
 8.00000000000000044e-01,-8.53677319468199585e+01, 8.01175038853742271e-05,-8.53677334152018545e+01, 8.01173361486634891e-05
 9.00000000000000022e-01,-8.53677439410780181e+01, 8.01123027094786803e-05,-8.53677454252542702e+01, 8.01121322970943083e-05
 1.00000000000000000e+00,-8.53677559321012325e+01, 8.01071021897945332e-05,-8.53677574304310838e+01, 8.01069293713966489e-05
 1.10000000000000009e+00,-8.53677679198895873e+01, 8.01019023262629137e-05,-8.53677694307365300e+01, 8.01017273709815045e-05
 1.20000000000000018e+00,-8.53677799044430969e+01, 8.00967031188249632e-05,-8.53677814261747869e+01, 8.00965262952677698e-05
 1.30000000000000004e+00,-8.53677918857617613e+01, 8.00915045674171610e-05,-8.53677934167500467e+01, 8.00913261436667502e-05
 1.40000000000000013e+00,-8.53678038638455661e+01, 8.00863066719807026e-05,-8.53678054024665300e+01, 8.00861269155960393e-05
 1.50000000000000000e+00,-8.53678158386945256e+01, 8.00811094324551710e-05,-8.53678173833284148e+01, 8.00809286104688534e-05
 1.60000000000000009e+00,-8.53678278103086257e+01, 8.00759128487801760e-05,-8.53678293593398791e+01, 8.00757312277075974e-05
 1.70000000000000018e+00,-8.53678397786878946e+01, 8.00707169208938097e-05,-8.53678413305051151e+01, 8.00705347667227227e-05
 1.80000000000000004e+00,-8.53678517438322899e+01, 8.00655216487387313e-05,-8.53678532968283150e+01, 8.00653392269339102e-05
 1.90000000000000013e+00,-8.53678637057418541e+01, 8.00603270322500243e-05,-8.53678652583136142e+01, 8.00601446077656246e-05
 2.00000000000000000e+00,-8.53678756608392888e+01, 8.00551336658734730e-05,-8.53678772149652332e+01, 8.00549509086302148e-05
 2.10000000000000009e+00,-8.53678876088924454e+01, 8.00499415880562688e-05,-8.53678891667873074e+01, 8.00497581289493540e-05
 2.20000000000000018e+00,-8.53678995526599635e+01, 8.00447503402521384e-05,-8.53679011137840149e+01, 8.00445662681402561e-05
 2.30000000000000027e+00,-8.53679114921418432e+01, 8.00395599223795498e-05,-8.53679130559595052e+01, 8.00393753256264511e-05
 2.40000000000000036e+00,-8.53679234273380843e+01, 8.00343703343585160e-05,-8.53679249933179563e+01, 8.00341853008285277e-05
 2.50000000000000000e+00,-8.53679353582486868e+01, 8.00291815761090770e-05,-8.53679369258635177e+01, 8.00289961931671830e-05
 2.60000000000000009e+00,-8.53679472848736651e+01, 8.00239936475481966e-05,-8.53679488536003248e+01, 8.00238080020648356e-05
 2.70000000000000018e+00,-8.53679592072129907e+01, 8.00188065486020405e-05,-8.53679607765325414e+01, 8.00186207269424672e-05
 2.80000000000000027e+00,-8.53679711252666920e+01, 8.00136202791845502e-05,-8.53679726946643171e+01, 8.00134343672243259e-05
 2.90000000000000036e+00,-8.53679830390347547e+01, 8.00084348392188151e-05,-8.53679846079997589e+01, 8.00082489223362723e-05
 3.00000000000000000e+00,-8.53679949485171790e+01, 8.00032502286249567e-05,-8.53679965165430445e+01, 8.00030643916982583e-05
 3.10000000000000009e+00,-8.53680068537139647e+01, 7.99980664473230285e-05,-8.53680084202982812e+01, 7.99978807747364293e-05
 3.20000000000000018e+00,-8.53680187534767327e+01, 7.99928836911149285e-05,-8.53680203192696041e+01, 7.99926980708756024e-05
 3.30000000000000027e+00,-8.53680306478456998e+01, 7.99877019530388726e-05,-8.53680322134611487e+01, 7.99875162795452569e-05
 3.40000000000000036e+00,-8.53680425376093268e+01, 7.99825210985142003e-05,-8.53680441028770218e+01, 7.99823354001674453e-05
 3.50000000000000000e+00,-8.53680544227676137e+01, 7.99773411274565336e-05,-8.53680559875213589e+01, 7.99771554321688821e-05
 3.60000000000000009e+00,-8.53680663033205747e+01, 7.99721620397753823e-05,-8.53680678673982527e+01, 7.99719763749780167e-05
 3.70000000000000018e+00,-8.53680781792682097e+01, 7.99669838353878862e-05,-8.53680797425118385e+01, 7.99667982280234066e-05
 3.80000000000000027e+00,-8.53680900506104905e+01, 7.99618065142081901e-05,-8.53680916128662233e+01, 7.99616209907322002e-05
 3.90000000000000036e+00,-8.53681019173474454e+01, 7.99566300761519159e-05,-8.53681034784654997e+01, 7.99564446625332669e-05
 4.00000000000000000e+00,-8.53681137794790743e+01, 7.99514545211270963e-05,-8.53681153393137890e+01, 7.99512692428555843e-05
 4.10000000000000053e+00,-8.53681256370053632e+01, 7.99462798490540016e-05,-8.53681271954151555e+01, 7.99460947311298110e-05
 4.20000000000000018e+00,-8.53681374899263119e+01, 7.99411060598452180e-05,-8.53681390467737202e+01, 7.99409211267867542e-05
 4.29999999999999982e+00,-8.53681493382419205e+01, 7.99359331534164625e-05,-8.53681508933935760e+01, 7.99357484292557985e-05
 4.40000000000000036e+00,-8.53681611815499082e+01, 7.99307612122281949e-05,-8.53681627352788013e+01, 7.99305766379665585e-05
 4.50000000000000000e+00,-8.53681730199344742e+01, 7.99255902189044355e-05,-8.53681745724334746e+01, 7.99254057523578377e-05
 4.60000000000000053e+00,-8.53681848536494812e+01, 7.99204201212716953e-05,-8.53681864048616887e+01, 7.99202357718549006e-05
