"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53285198566425009e+01, 2.66623399702797347e-08,-8.53285182778168689e+01, 2.66625655113989367e-08
 1.00000000000000006e-01,-8.53285328726588830e+01, 2.66617533519207704e-08,-8.53285313199172322e+01, 2.66619772482636066e-08
 2.00000000000000011e-01,-8.53285458886752508e+01, 2.66611667385289528e-08,-8.53285443564129480e+01, 2.66613893948401645e-08
 3.00000000000000044e-01,-8.53285589046916186e+01, 2.66605801301057907e-08,-8.53285573873091607e+01, 2.66608019504244944e-08
 4.00000000000000022e-01,-8.53285719207079865e+01, 2.66599935266492825e-08,-8.53285704126110005e+01, 2.66602149143140090e-08
 5.00000000000000000e-01,-8.53285849367243543e+01, 2.66594069281614265e-08,-8.53285834323235974e+01, 2.66596282858036922e-08
 6.00000000000000089e-01,-8.53285979344791770e+01, 2.66588216480370021e-08,-8.53285964464521101e+01, 2.66590420641895737e-08
 7.00000000000000067e-01,-8.53286109205444774e+01, 2.66582372135686695e-08,-8.53286094550016685e+01, 2.66584562487682125e-08
 8.00000000000000044e-01,-8.53286239066097920e+01, 2.66576527840190605e-08,-8.53286224579774029e+01, 2.66578708388362205e-08
 9.00000000000000022e-01,-8.53286368926750924e+01, 2.66570683593901737e-08,-8.53286354553844575e+01, 2.66572858336892666e-08
 1.00000000000000000e+00,-8.53286498787403929e+01, 2.66564839396805101e-08,-8.53286484472279625e+01, 2.66567012326240488e-08
 1.10000000000000009e+00,-8.53286628594213425e+01, 2.66558999099839345e-08,-8.53286614335130622e+01, 2.66561170349368283e-08
 1.20000000000000018e+00,-8.53286758187064862e+01, 2.66553174154265691e-08,-8.53286744142448867e+01, 2.66555332399243924e-08
 1.30000000000000004e+00,-8.53286887743147133e+01, 2.66547351887168208e-08,-8.53286873894285804e+01, 2.66549498468830950e-08
 1.40000000000000013e+00,-8.53287017262460097e+01, 2.66541532298474699e-08,-8.53287003590692734e+01, 2.66543668551088266e-08
 1.50000000000000000e+00,-8.53287146745003895e+01, 2.66535715388083157e-08,-8.53287133231721100e+01, 2.66537842639000190e-08
 1.60000000000000009e+00,-8.53287276190778243e+01, 2.66529901155921616e-08,-8.53287262817422203e+01, 2.66532020725511665e-08
 1.70000000000000018e+00,-8.53287405599783284e+01, 2.66524089601903025e-08,-8.53287392347847486e+01, 2.66526202803597977e-08
 1.80000000000000004e+00,-8.53287534972019017e+01, 2.66518280725930570e-08,-8.53287521823048394e+01, 2.66520388866219751e-08
 1.90000000000000013e+00,-8.53287664307485585e+01, 2.66512474527922360e-08,-8.53287651243076084e+01, 2.66514578906358260e-08
 2.00000000000000000e+00,-8.53287793606182703e+01, 2.66506671007786612e-08,-8.53287780607982000e+01, 2.66508772916975225e-08
 2.10000000000000009e+00,-8.53287922868110513e+01, 2.66500870165446330e-08,-8.53287909917817728e+01, 2.66502970891037657e-08
 2.20000000000000018e+00,-8.53288052093269158e+01, 2.66495072000805000e-08,-8.53288039172634285e+01, 2.66497172821518293e-08
 2.30000000000000027e+00,-8.53288181281658495e+01, 2.66489276513780765e-08,-8.53288168372483398e+01, 2.66491378701380075e-08
 2.40000000000000036e+00,-8.53288310426066374e+01, 2.66483484208324015e-08,-8.53288297517416225e+01, 2.66485588523601499e-08
 2.50000000000000000e+00,-8.53288439455771766e+01, 2.66477700026795632e-08,-8.53288426607484070e+01, 2.66479802281151495e-08
 2.60000000000000009e+00,-8.53288568436808816e+01, 2.66471919354073076e-08,-8.53288555642738658e+01, 2.66474019966984635e-08
 2.70000000000000018e+00,-8.53288697369177385e+01, 2.66466142190047853e-08,-8.53288684623231006e+01, 2.66468241574100457e-08
 2.80000000000000027e+00,-8.53288826252877612e+01, 2.66460368534611373e-08,-8.53288813549012559e+01, 2.66462467095449629e-08
 2.90000000000000036e+00,-8.53288955087909216e+01, 2.66454598387645380e-08,-8.53288942420134759e+01, 2.66456696524012662e-08
 3.00000000000000000e+00,-8.53289083874272478e+01, 2.66448831749041514e-08,-8.53289071236649050e+01, 2.66450929852755841e-08
 3.10000000000000009e+00,-8.53289212611967258e+01, 2.66443068618676591e-08,-8.53289199998606591e+01, 2.66445167074660937e-08
 3.20000000000000018e+00,-8.53289341300993556e+01, 2.66437308996447347e-08,-8.53289328706058967e+01, 2.66439408182699956e-08
 3.30000000000000027e+00,-8.53289469941351371e+01, 2.66431552882240754e-08,-8.53289457359057479e+01, 2.66433653169840575e-08
 3.40000000000000036e+00,-8.53289598533040845e+01, 2.66425800275933697e-08,-8.53289585957653571e+01, 2.66427902029055762e-08
 3.50000000000000000e+00,-8.53289727076061695e+01, 2.66420051177423206e-08,-8.53289714501898402e+01, 2.66422154753333902e-08
 3.60000000000000009e+00,-8.53289855570414204e+01, 2.66414305586596522e-08,-8.53289842991843557e+01, 2.66416411335639132e-08
 3.70000000000000018e+00,-8.53289984016098231e+01, 2.66408563503330658e-08,-8.53289971427540195e+01, 2.66410671768960630e-08
 3.80000000000000027e+00,-8.53290112388855562e+01, 2.66402826483796729e-08,-8.53290099809039901e+01, 2.66404936046253301e-08
 3.90000000000000036e+00,-8.53290240708530519e+01, 2.66397093254739904e-08,-8.53290228136393978e+01, 2.66399204160507450e-08
 4.00000000000000000e+00,-8.53290368975965521e+01, 2.66391363762002651e-08,-8.53290356409653867e+01, 2.66393476104698793e-08
 4.10000000000000053e+00,-8.53290497191160284e+01, 2.66385638005475318e-08,-8.53290484628870729e+01, 2.66387751871808402e-08
 4.20000000000000018e+00,-8.53290625354115235e+01, 2.66379915985018508e-08,-8.53290612794096148e+01, 2.66382031454807991e-08
 4.29999999999999982e+00,-8.53290753464829947e+01, 2.66374197700527634e-08,-8.53290740905381426e+01, 2.66376314846679691e-08
 4.40000000000000036e+00,-8.53290881523304705e+01, 2.66368483151878452e-08,-8.53290868962778006e+01, 2.66370602040395844e-08
 4.50000000000000000e+00,-8.53291009529539366e+01, 2.66362772338956679e-08,-8.53290996966337048e+01, 2.66364893028949434e-08
 4.60000000000000053e+00,-8.53291137483534072e+01, 2.66357065261628081e-08,-8.53291124916110135e+01, 2.66359187805303968e-08
 4.70000000000000018e+00,-8.53291265385288682e+01, 2.66351361919788531e-08,-8.53291252812148571e+01, 2.66353486362453159e-08
 4.80000000000000071e+00,-8.53291393234803195e+01, 2.66345662313323846e-08,-8.53291380654503797e+01, 2.66347788693371432e-08
 4.90000000000000036e+00,-8.53291521032077753e+01, 2.66339966442095258e-08,-8.53291508443226974e+01, 2.66342094791043402e-08
 5.00000000000000000e+00,-8.53291648777112215e+01, 2.66334274305998741e-08,-8.53291636178369686e+01, 2.66336404648449282e-08
 5.10000000000000053e+00,-8.53291776463900362e+01, 2.66328586038342689e-08,-8.53291763859983234e+01, 2.66330718258569685e-08
 5.20000000000000018e+00,-8.53291904096652445e+01, 2.66322901545460876e-08,-8.53291891488119063e+01, 2.66325035614385686e-08
 5.30000000000000071e+00,-8.53292031676488847e+01, 2.66317220802370659e-08,-8.53292019062828473e+01, 2.66319356708883784e-08
 5.40000000000000036e+00,-8.53292159203409852e+01, 2.66311543808933669e-08,-8.53292146584162765e+01, 2.66313681535045916e-08
 5.50000000000000000e+00,-8.53292286677415319e+01, 2.66305870565036450e-08,-8.53292274052173383e+01, 2.66308010085859410e-08
 5.60000000000000053e+00,-8.53292414098505390e+01, 2.66300201070555519e-08,-8.53292401466911770e+01, 2.66302342354302197e-08
 5.70000000000000018e+00,-8.53292541466679779e+01, 2.66294535325387479e-08,-8.53292528828429226e+01, 2.66296678333362464e-08
 5.80000000000000071e+00,-8.53292668781938772e+01, 2.66288873329394258e-08,-8.53292656136777197e+01, 2.66291018016023969e-08
 5.90000000000000036e+00,-8.53292796044282227e+01, 2.66283215082472490e-08,-8.53292783392006839e+01, 2.66285361395285651e-08
 6.00000000000000000e+00,-8.53292923253710143e+01, 2.66277560584499257e-08,-8.53292910594169882e+01, 2.66279708464107443e-08
 6.10000000000000053e+00,-8.53293050410222520e+01, 2.66271909835356437e-08,-8.53293037743317342e+01, 2.66274059215499007e-08
 6.20000000000000018e+00,-8.53293177513819501e+01, 2.66266262834921145e-08,-8.53293164839500804e+01, 2.66268413642431029e-08
 6.30000000000000071e+00,-8.53293304564500801e+01, 2.66260619583095408e-08,-8.53293291882771570e+01, 2.66262771737904336e-08
 6.40000000000000036e+00,-8.53293431562266704e+01, 2.66254980079731659e-08,-8.53293418873181082e+01, 2.66257133494895238e-08
 6.50000000000000000e+00,-8.53293558507117211e+01, 2.66249344324732025e-08,-8.53293545810780643e+01, 2.66251498906405490e-08
 6.60000000000000053e+00,-8.53293685399052038e+01, 2.66243712317973851e-08,-8.53293672695621552e+01, 2.66245867965412261e-08
 6.70000000000000018e+00,-8.53293812238071467e+01, 2.66238084059339712e-08,-8.53293799527755397e+01, 2.66240240664903279e-08
 6.80000000000000071e+00,-8.53293939024175359e+01, 2.66232459548712048e-08,-8.53293926307233335e+01, 2.66234616997881519e-08
 6.90000000000000036e+00,-8.53294065757363711e+01, 2.66226838785973499e-08,-8.53294053034106952e+01, 2.66228996957315585e-08
 7.00000000000000000e+00,-8.53294192437636525e+01, 2.66221221771006671e-08,-8.53294179708427407e+01, 2.66223380536219240e-08
 7.10000000000000053e+00,-8.53294319069861018e+01, 2.66215607777711496e-08,-8.53294306330246144e+01, 2.66217767727572070e-08
 7.20000000000000018e+00,-8.53294445656729437e+01, 2.66209996404474979e-08,-8.53294432899614606e+01, 2.66212158524363719e-08
 7.30000000000000071e+00,-8.53294572191321663e+01, 2.66204388683349095e-08,-8.53294559416584235e+01, 2.66206552919584494e-08
 7.40000000000000036e+00,-8.53294698673637697e+01, 2.66198784614225549e-08,-8.53294685881206192e+01, 2.66200950906234991e-08
 7.50000000000000000e+00,-8.53294825103677397e+01, 2.66193184196986385e-08,-8.53294812293531919e+01, 2.66195352477301314e-08
 7.60000000000000053e+00,-8.53294951481441046e+01, 2.66187587431523309e-08,-8.53294938653612860e+01, 2.66189757625780088e-08
 7.70000000000000018e+00,-8.53295077806928504e+01, 2.66181994317718398e-08,-8.53295064961500316e+01, 2.66184166344663142e-08
 7.80000000000000071e+00,-8.53295204080139769e+01, 2.66176404855458725e-08,-8.53295191217245588e+01, 2.66178578626947928e-08
