"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53647588735382357e+01, 3.35984161062259247e-06,-8.53647583263866068e+01, 3.35987739829280804e-06
 1.00000000000000006e-01,-8.53647701934928733e+01, 3.35977733445148057e-06,-8.53647696468736825e+01, 3.35981287822793648e-06
 2.00000000000000011e-01,-8.53647814936286693e+01, 3.35971317509202995e-06,-8.53647809628733967e+01, 3.35974839425863282e-06
 3.00000000000000044e-01,-8.53647927921068401e+01, 3.35964902585918559e-06,-8.53647922743894867e+01, 3.35968394636127500e-06
 4.00000000000000022e-01,-8.53648040905850110e+01, 3.35958487701546605e-06,-8.53648035814256900e+01, 3.35961953451225367e-06
 5.00000000000000000e-01,-8.53648153890631818e+01, 3.35952072856100855e-06,-8.53648148839857157e+01, 3.35955515868838935e-06
 6.00000000000000089e-01,-8.53648266855160500e+01, 3.35945659379781077e-06,-8.53648261820732870e+01, 3.35949081886623574e-06
 7.00000000000000067e-01,-8.53648379704605134e+01, 3.35939253500969355e-06,-8.53648374756921413e+01, 3.35942651502256889e-06
 8.00000000000000044e-01,-8.53648492526964588e+01, 3.35932849439873270e-06,-8.53648487648459735e+01, 3.35936224713424448e-06
 9.00000000000000022e-01,-8.53648605322238723e+01, 3.35926447196463219e-06,-8.53648600495385210e+01, 3.35929801517826895e-06
 1.00000000000000000e+00,-8.53648718090427536e+01, 3.35920046770709766e-06,-8.53648713297734787e+01, 3.35923381913172837e-06
 1.10000000000000009e+00,-8.53648830831531171e+01, 3.35913648162562895e-06,-8.53648826055545413e+01, 3.35916965897185787e-06
 1.20000000000000018e+00,-8.53648943545549486e+01, 3.35907251371986014e-06,-8.53648938768854322e+01, 3.35910553467576639e-06
 1.30000000000000004e+00,-8.53649056232482479e+01, 3.35900856398949942e-06,-8.53649051437698319e+01, 3.35904144622091778e-06
 1.40000000000000013e+00,-8.53649168892330295e+01, 3.35894463243418343e-06,-8.53649164062114636e+01, 3.35897739358471785e-06
 1.50000000000000000e+00,-8.53649281494049887e+01, 3.35888074388864795e-06,-8.53649276642139938e+01, 3.35891337674478841e-06
 1.60000000000000009e+00,-8.53649394029495738e+01, 3.35881690486838183e-06,-8.53649389177811173e+01, 3.35884939567876102e-06
 1.70000000000000018e+00,-8.53649506524710091e+01, 3.35875309453834982e-06,-8.53649501669165147e+01, 3.35878545036448366e-06
