"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53289577517676605e+01, 7.27777801773499066e-08,-8.53289576444585691e+01, 7.27779341314743931e-08
 1.00000000000000006e-01,-8.53289707669941038e+01, 7.27761805814389313e-08,-8.53289706623472739e+01, 7.27763337489661920e-08
 2.00000000000000011e-01,-8.53289837643216913e+01, 7.27745844249750656e-08,-8.53289836746493222e+01, 7.27747344727989179e-08
 3.00000000000000044e-01,-8.53289967534685303e+01, 7.27729898491273014e-08,-8.53289966813695742e+01, 7.27731363009131161e-08
 4.00000000000000022e-01,-8.53290097426153551e+01, 7.27713952866512361e-08,-8.53290096825128472e+01, 7.27715392312470554e-08
 5.00000000000000000e-01,-8.53290227317621799e+01, 7.27698007375428065e-08,-8.53290226780839731e+01, 7.27699432617422210e-08
 6.00000000000000089e-01,-8.53290357144356051e+01, 7.27682074478600185e-08,-8.53290356680877977e+01, 7.27683483903323948e-08
 7.00000000000000067e-01,-8.53290486791560454e+01, 7.27666176272324033e-08,-8.53290486525291385e+01, 7.27667546149544430e-08
 8.00000000000000044e-01,-8.53290616438764857e+01, 7.27650278198705549e-08,-8.53290616314128130e+01, 7.27651619335388920e-08
 9.00000000000000022e-01,-8.53290746085969118e+01, 7.27634380257758364e-08,-8.53290746047436386e+01, 7.27635703440165859e-08
 1.00000000000000000e+00,-8.53290875733173522e+01, 7.27618482449455216e-08,-8.53290875725264328e+01, 7.27619798443186731e-08
 1.10000000000000009e+00,-8.53291005158852869e+01, 7.27602627454212819e-08,-8.53291005347659848e+01, 7.27603904323698436e-08
 1.20000000000000018e+00,-8.53291134515345533e+01, 7.27586785920476213e-08,-8.53291134914671261e+01, 7.27588021060949990e-08
 1.30000000000000004e+00,-8.53291263835124312e+01, 7.27570951591542563e-08,-8.53291264426346316e+01, 7.27572148634165924e-08
 1.40000000000000013e+00,-8.53291393118189063e+01, 7.27555124467207391e-08,-8.53291393882733189e+01, 7.27556287022558991e-08
 1.50000000000000000e+00,-8.53291522364539929e+01, 7.27539304547211956e-08,-8.53291523283879627e+01, 7.27540436205303034e-08
 1.60000000000000009e+00,-8.53291651574176768e+01, 7.27523491831351644e-08,-8.53291652629833663e+01, 7.27524596161559453e-08
 1.70000000000000018e+00,-8.53291780747099722e+01, 7.27507686319367980e-08,-8.53291781920642904e+01, 7.27508766870463974e-08
 1.80000000000000004e+00,-8.53291909883308648e+01, 7.27491888011070513e-08,-8.53291911156355383e+01, 7.27492948311138956e-08
 1.90000000000000013e+00,-8.53292038982803689e+01, 7.27476096906186869e-08,-8.53292040337018705e+01, 7.27477140462680552e-08
 2.00000000000000000e+00,-8.53292168045584845e+01, 7.27460313004472600e-08,-8.53292169462680619e+01, 7.27461343304144020e-08
 2.10000000000000009e+00,-8.53292297071651973e+01, 7.27444536305737387e-08,-8.53292298533388873e+01, 7.27445556814571249e-08
 2.20000000000000018e+00,-8.53292426061005216e+01, 7.27428766809736651e-08,-8.53292427549191075e+01, 7.27429780973016967e-08
 2.30000000000000027e+00,-8.53292555013644431e+01, 7.27413004516253206e-08,-8.53292556510134688e+01, 7.27414015758453583e-08
 2.40000000000000036e+00,-8.53292683867477848e+01, 7.27397261251952153e-08,-8.53292685416267460e+01, 7.27398261149852841e-08
 2.50000000000000000e+00,-8.53292812653961477e+01, 7.27381531024702062e-08,-8.53292814267636714e+01, 7.27382517126171133e-08
 2.60000000000000009e+00,-8.53292941391856772e+01, 7.27365810260608482e-08,-8.53292943064290057e+01, 7.27366783666350163e-08
 2.70000000000000018e+00,-8.53293070081163592e+01, 7.27350098959394935e-08,-8.53293071806274952e+01, 7.27351060749261091e-08
 2.80000000000000027e+00,-8.53293198721882078e+01, 7.27334397120717843e-08,-8.53293200493638579e+01, 7.27335348353800354e-08
 2.90000000000000036e+00,-8.53293327314012089e+01, 7.27318704744300994e-08,-8.53293329126428546e+01, 7.27319646458793851e-08
 3.00000000000000000e+00,-8.53293455857553624e+01, 7.27303021829842104e-08,-8.53293457704692031e+01, 7.27303955043091962e-08
 3.10000000000000009e+00,-8.53293584352506826e+01, 7.27287348377038358e-08,-8.53293586228476357e+01, 7.27288274085459968e-08
 3.20000000000000018e+00,-8.53293712798871553e+01, 7.27271684385559942e-08,-8.53293714697828705e+01, 7.27272603564673475e-08
 3.30000000000000027e+00,-8.53293841196647946e+01, 7.27256029855131969e-08,-8.53293843112796253e+01, 7.27256943459490880e-08
 3.40000000000000036e+00,-8.53293969545835864e+01, 7.27240384785466181e-08,-8.53293971473426183e+01, 7.27241293748611819e-08
 3.50000000000000000e+00,-8.53294097846435307e+01, 7.27224749176233296e-08,-8.53294099779765673e+01, 7.27225654410718460e-08
 3.60000000000000009e+00,-8.53294226098446416e+01, 7.27209123027117925e-08,-8.53294228031861763e+01, 7.27210025424460541e-08
 3.70000000000000018e+00,-8.53294354286084484e+01, 7.27193509142282198e-08,-8.53294356229761490e+01, 7.27194406768496671e-08
 3.80000000000000027e+00,-8.53294482413522104e+01, 7.27177906779996832e-08,-8.53294484373492281e+01, 7.27178799113501186e-08
 3.90000000000000036e+00,-8.53294610488812992e+01, 7.27162314509019669e-08,-8.53294612462919133e+01, 7.27163208936496406e-08
 4.00000000000000000e+00,-8.53294738511957434e+01, 7.27146732328989662e-08,-8.53294740498282920e+01, 7.27147629290576424e-08
 4.10000000000000053e+00,-8.53294866482955285e+01, 7.27131160239627817e-08,-8.53294868479630537e+01, 7.27132060158747509e-08
 4.20000000000000018e+00,-8.53294994401806548e+01, 7.27115598240599691e-08,-8.53294996407008597e+01, 7.27116501524010502e-08
 4.29999999999999982e+00,-8.53295122268511363e+01, 7.27100046331559057e-08,-8.53295124280463853e+01, 7.27100953369358837e-08
 4.40000000000000036e+00,-8.53295250083069448e+01, 7.27084504512226528e-08,-8.53295252100043058e+01, 7.27085415677833853e-08
 4.50000000000000000e+00,-8.53295377845481084e+01, 7.27068972782255747e-08,-8.53295379865792540e+01, 7.27069888432457173e-08
 4.60000000000000053e+00,-8.53295505555746132e+01, 7.27053451141341119e-08,-8.53295507577758912e+01, 7.27054371616283242e-08
 4.70000000000000018e+00,-8.53295633213864591e+01, 7.27037939589176920e-08,-8.53295635235988925e+01, 7.27038865212346253e-08
 4.80000000000000071e+00,-8.53295760819836460e+01, 7.27022438125417453e-08,-8.53295762840528766e+01, 7.27023369203727253e-08
 4.90000000000000036e+00,-8.53295888373661739e+01, 7.27006946749771154e-08,-8.53295890391424905e+01, 7.27007883573514170e-08
 5.00000000000000000e+00,-8.53296015871597291e+01, 7.26991465718176969e-08,-8.53296017888723952e+01, 7.26992408304786595e-08
 5.10000000000000053e+00,-8.53296143313630751e+01, 7.26975995031185337e-08,-8.53296145332471951e+01, 7.26976943380616707e-08
 5.20000000000000018e+00,-8.53296270702851274e+01, 7.26960534476979391e-08,-8.53296272722715514e+01, 7.26961488784136903e-08
 5.30000000000000071e+00,-8.53296398039258861e+01, 7.26945084055200332e-08,-8.53296400059500684e+01, 7.26946044498431274e-08
 5.40000000000000036e+00,-8.53296525322853512e+01, 7.26929643765571155e-08,-8.53296527342873645e+01, 7.26930610506656438e-08
 5.50000000000000000e+00,-8.53296652553635226e+01, 7.26914213607747356e-08,-8.53296654572880868e+01, 7.26915186791920571e-08
 5.60000000000000053e+00,-8.53296779731603863e+01, 7.26898793581438825e-08,-8.53296781749568254e+01, 7.26899773337377645e-08
 5.70000000000000018e+00,-8.53296906856759705e+01, 7.26883383686301190e-08,-8.53296908872982129e+01, 7.26884370126173424e-08
 5.80000000000000071e+00,-8.53297033929102611e+01, 7.26867983922017477e-08,-8.53297035943168396e+01, 7.26868977141458173e-08
 5.90000000000000036e+00,-8.53297160948632438e+01, 7.26852594288298371e-08,-8.53297162960172955e+01, 7.26853594366428082e-08
 6.00000000000000000e+00,-8.53297287915349472e+01, 7.26837214784786396e-08,-8.53297289924042133e+01, 7.26838221784215681e-08
 6.10000000000000053e+00,-8.53297414829253427e+01, 7.26821845411219767e-08,-8.53297416834821689e+01, 7.26822859378053291e-08
 6.20000000000000018e+00,-8.53297541690344445e+01, 7.26806486167228305e-08,-8.53297543692557667e+01, 7.26807507131082839e-08
 6.30000000000000071e+00,-8.53297668498622670e+01, 7.26791137052522958e-08,-8.53297670497295684e+01, 7.26792165026558219e-08
 6.40000000000000036e+00,-8.53297795254087816e+01, 7.26775798066788208e-08,-8.53297797249081782e+01, 7.26776833047643459e-08
 6.50000000000000000e+00,-8.53297921956740026e+01, 7.26760469209708534e-08,-8.53297923947961721e+01, 7.26761511177573528e-08
 6.60000000000000053e+00,-8.53298048606579300e+01, 7.26745150480955315e-08,-8.53298050593981259e+01, 7.26746199399573998e-08
 6.70000000000000018e+00,-8.53298175203605638e+01, 7.26729841880226927e-08,-8.53298177187186155e+01, 7.26730897696860512e-08
 6.80000000000000071e+00,-8.53298301747818897e+01, 7.26714543407222276e-08,-8.53298303727622027e+01, 7.26715606052679554e-08
 6.90000000000000036e+00,-8.53298428239219362e+01, 7.26699255061586005e-08,-8.53298430215334491e+01, 7.26700324450294282e-08
 7.00000000000000000e+00,-8.53298554679028172e+01, 7.26683976360428867e-08,-8.53298556650369164e+01, 7.26685052872930002e-08
 7.10000000000000053e+00,-8.53298681077187098e+01, 7.26668703374737449e-08,-8.53298683032771521e+01, 7.26669791303870387e-08
 7.20000000000000018e+00,-8.53298807423180108e+01, 7.26653440259970290e-08,-8.53298809362587320e+01, 7.26654539726346965e-08
 7.30000000000000071e+00,-8.53298933717007060e+01, 7.26638187015864412e-08,-8.53298935639861895e+01, 7.26639298123662332e-08
 7.40000000000000036e+00,-8.53299059958667812e+01, 7.26622943642102576e-08,-8.53299061864640578e+01, 7.26624066479094339e-08
 7.50000000000000000e+00,-8.53299186148162647e+01, 7.26607710138367673e-08,-8.53299188036968985e+01, 7.26608844775910246e-08
 7.60000000000000053e+00,-8.53299312285491425e+01, 7.26592486504370521e-08,-8.53299314156892450e+01, 7.26593632997405902e-08
 7.70000000000000018e+00,-8.53299438370654144e+01, 7.26577272739807909e-08,-8.53299440224456163e+01, 7.26578431126894229e-08
 7.80000000000000071e+00,-8.53299564403650805e+01, 7.26562068844377287e-08,-8.53299566239705598e+01, 7.26563239147635208e-08
 7.90000000000000036e+00,-8.53299690384481409e+01, 7.26546874817775708e-08,-8.53299692202685804e+01, 7.26548057042999069e-08
 8.00000000000000000e+00,-8.53299816313145953e+01, 7.26531690659687918e-08,-8.53299818113442115e+01, 7.26532884796263659e-08
 8.09999999999999964e+00,-8.53299942189644582e+01, 7.26516516369824601e-08,-8.53299943972019719e+01, 7.26517722390735285e-08
 8.20000000000000107e+00,-8.53300068013977011e+01, 7.26501351947897635e-08,-8.53300069778463666e+01, 7.26502569809776099e-08
 8.30000000000000071e+00,-8.53300193786143382e+01, 7.26486197393591764e-08,-8.53300195532819004e+01, 7.26487427036681291e-08
 8.40000000000000036e+00,-8.53300319506143836e+01, 7.26471052706578233e-08,-8.53300321235131065e+01, 7.26472294054802558e-08
 8.50000000000000000e+00,-8.53300445173978090e+01, 7.26455917886609947e-08,-8.53300446885444615e+01, 7.26457170847478764e-08
 8.59999999999999964e+00,-8.53300570789646429e+01, 7.26440792933331284e-08,-8.53300572483804842e+01, 7.26442057398035667e-08
 8.70000000000000107e+00,-8.53300696353148567e+01, 7.26425677846482180e-08,-8.53300698030256370e+01, 7.26426953689841114e-08
 8.80000000000000071e+00,-8.53300821864484789e+01, 7.26410572625748040e-08,-8.53300823524844390e+01, 7.26411859706250114e-08
 8.90000000000000036e+00,-8.53300947323654952e+01, 7.26395477270828432e-08,-8.53300948967613664e+01, 7.26396775430604175e-08
 9.00000000000000000e+00,-8.53301072730659058e+01, 7.26380391781395926e-08,-8.53301074358609100e+01, 7.26381700846272864e-08
 9.09999999999999964e+00,-8.53301198085496964e+01, 7.26365316157217985e-08,-8.53301199697875461e+01, 7.26366635936612380e-08
 9.20000000000000107e+00,-8.53301323388168953e+01, 7.26350250397940045e-08,-8.53301324985457370e+01, 7.26351580685005924e-08
 9.30000000000000071e+00,-8.53301448638674884e+01, 7.26335194503249367e-08,-8.53301450221399591e+01, 7.26336535074823325e-08
 9.40000000000000036e+00,-8.53301573837014757e+01, 7.26320148472886810e-08,-8.53301575405746888e+01, 7.26321499089434020e-08
 9.50000000000000000e+00,-8.53301698983188572e+01, 7.26305112306552341e-08,-8.53301700538543884e+01, 7.26306472712207574e-08
 9.60000000000000142e+00,-8.53301824077196471e+01, 7.26290086003893514e-08,-8.53301825619835199e+01, 7.26291455926539891e-08
 9.70000000000000107e+00,-8.53301949119038170e+01, 7.26275069564678322e-08,-8.53301950649665315e+01, 7.26276448715813113e-08
 9.80000000000000071e+00,-8.53302074108713811e+01, 7.26260062988581053e-08,-8.53302075628078853e+01, 7.26261451063407923e-08
 9.90000000000000036e+00,-8.53302199046223393e+01, 7.26245066275303261e-08,-8.53302200555120294e+01, 7.26246462952732136e-08
 1.00000000000000000e+01,-8.53302323931567059e+01, 7.26230079424518971e-08,-8.53302325430833974e+01, 7.26231484367151747e-08
 1.01000000000000014e+01,-8.53302448764744526e+01, 7.26215102435984661e-08,-8.53302450255264375e+01, 7.26216515290098658e-08
