"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53598251486096444e+01, 2.83276191205331068e-06,-8.53598253447480175e+01, 2.83260422220229101e-06
 1.00000000000000006e-01,-8.53598366722011548e+01, 2.83270670353000701e-06,-8.53598368653620838e+01, 2.83254912544164106e-06
 2.00000000000000011e-01,-8.53598481739599180e+01, 2.83265154501907591e-06,-8.53598483813637472e+01, 2.83249406028069956e-06
 3.00000000000000044e-01,-8.53598596755630012e+01, 2.83259638723862095e-06,-8.53598598927569014e+01, 2.83243902668274676e-06
 4.00000000000000022e-01,-8.53598711771660987e+01, 2.83254122981150070e-06,-8.53598713995454119e+01, 2.83238402461098672e-06
 5.00000000000000000e-01,-8.53598826787691962e+01, 2.83248607273766095e-06,-8.53598829017331582e+01, 2.83232905402865821e-06
 6.00000000000000089e-01,-8.53598941746761710e+01, 2.83243094026748176e-06,-8.53598943993239772e+01, 2.83227411489926088e-06
 7.00000000000000067e-01,-8.53599056626423618e+01, 2.83237584195675390e-06,-8.53599058923217626e+01, 2.83221920718581708e-06
 8.00000000000000044e-01,-8.53599171475290319e+01, 2.83232075710930811e-06,-8.53599173807303373e+01, 2.83216433085178116e-06
 9.00000000000000022e-01,-8.53599286293361956e+01, 2.83226568572479032e-06,-8.53599288645535808e+01, 2.83210948586023984e-06
 1.00000000000000000e+00,-8.53599401080638387e+01, 2.83221062780313237e-06,-8.53599403437953441e+01, 2.83205467217437048e-06
 1.10000000000000009e+00,-8.53599515837119753e+01, 2.83215558334409325e-06,-8.53599518184594643e+01, 2.83199988975755246e-06
 1.20000000000000018e+00,-8.53599630562806055e+01, 2.83210055234749002e-06,-8.53599632885497783e+01, 2.83194513857291148e-06
 1.30000000000000004e+00,-8.53599745232032632e+01, 2.83204555640534532e-06,-8.53599747540701514e+01, 2.83189041858360243e-06
 1.40000000000000013e+00,-8.53599859848146991e+01, 2.83199059270070453e-06,-8.53599862150243922e+01, 2.83183572975292637e-06
 1.50000000000000000e+00,-8.53599974422984928e+01, 2.83193565127516182e-06,-8.53599976714163517e+01, 2.83178107204387005e-06
 1.60000000000000009e+00,-8.53600088956546585e+01, 2.83188073212809968e-06,-8.53600091232498528e+01, 2.83172644541973493e-06
 1.70000000000000018e+00,-8.53600203448831962e+01, 2.83182583525918695e-06,-8.53600205705287323e+01, 2.83167184984350779e-06
 1.80000000000000004e+00,-8.53600317899840917e+01, 2.83177096066797933e-06,-8.53600320132568129e+01, 2.83161728527843248e-06
 1.90000000000000013e+00,-8.53600432309573733e+01, 2.83171610835403131e-06,-8.53600434514379032e+01, 2.83156275168755126e-06
 2.00000000000000000e+00,-8.53600546662819823e+01, 2.83166130235299584e-06,-8.53600548850758400e+01, 2.83150824903387378e-06
 2.10000000000000009e+00,-8.53600660968288736e+01, 2.83160652890106908e-06,-8.53600663141744178e+01, 2.83145377728061212e-06
 2.20000000000000018e+00,-8.53600775229426034e+01, 2.83155178255212268e-06,-8.53600777387374592e+01, 2.83139933639071410e-06
 2.30000000000000027e+00,-8.53600889446231719e+01, 2.83149706330587710e-06,-8.53600891587687585e+01, 2.83134492632726729e-06
 2.40000000000000036e+00,-8.53601003618705647e+01, 2.83144237116147897e-06,-8.53601005742721242e+01, 2.83129054705332963e-06
 2.50000000000000000e+00,-8.53601117746848104e+01, 2.83138770611830656e-06,-8.53601119852513790e+01, 2.83123619853163548e-06
 2.60000000000000009e+00,-8.53601231830658804e+01, 2.83133306817590756e-06,-8.53601233917102888e+01, 2.83118188072540369e-06
 2.70000000000000018e+00,-8.53601345870137891e+01, 2.83127845733348830e-06,-8.53601347936526622e+01, 2.83112759359753084e-06
 2.80000000000000027e+00,-8.53601459865285364e+01, 2.83122387359048338e-06,-8.53601461910822934e+01, 2.83107333711087919e-06
 2.90000000000000036e+00,-8.53601573816101222e+01, 2.83116931694627151e-06,-8.53601575840029625e+01, 2.83101911122839063e-06
 3.00000000000000000e+00,-8.53601687722585467e+01, 2.83111478740023180e-06,-8.53601689724184496e+01, 2.83096491591297020e-06
 3.10000000000000009e+00,-8.53601801583836703e+01, 2.83106028906949454e-06,-8.53601803563325632e+01, 2.83091075112742849e-06
 3.20000000000000018e+00,-8.53601915396761655e+01, 2.83100583608490243e-06,-8.53601917357490407e+01, 2.83085661683465529e-06
 3.30000000000000027e+00,-8.53602029164901808e+01, 2.83095141226637621e-06,-8.53602031106716908e+01, 2.83080251299732907e-06
 3.40000000000000036e+00,-8.53602142888257021e+01, 2.83089701761337801e-06,-8.53602144811042507e+01, 2.83074843957837730e-06
 3.50000000000000000e+00,-8.53602256566827435e+01, 2.83084265212508664e-06,-8.53602258470505291e+01, 2.83069439654045981e-06
 3.60000000000000009e+00,-8.53602370200613052e+01, 2.83078831580067879e-06,-8.53602372085142491e+01, 2.83064038384642489e-06
 3.70000000000000018e+00,-8.53602483789613729e+01, 2.83073400863973431e-06,-8.53602485654992051e+01, 2.83058640145879599e-06
 3.80000000000000027e+00,-8.53602597333829607e+01, 2.83067973064126134e-06,-8.53602599180091488e+01, 2.83053244934039937e-06
 3.90000000000000036e+00,-8.53602710833260687e+01, 2.83062548180472371e-06,-8.53602712660478176e+01, 2.83047852745384743e-06
 4.00000000000000000e+00,-8.53602824287906827e+01, 2.83057126212935992e-06,-8.53602826096189773e+01, 2.83042463576176906e-06
 4.10000000000000053e+00,-8.53602937697768169e+01, 2.83051707161446357e-06,-8.53602939487263654e+01, 2.83037077422674999e-06
 4.20000000000000018e+00,-8.53603051062844571e+01, 2.83046291025938750e-06,-8.53603052833737479e+01, 2.83031694281127850e-06
 4.29999999999999982e+00,-8.53603164383136175e+01, 2.83040877806331181e-06,-8.53603166135648479e+01, 2.83026314147796867e-06
 4.40000000000000036e+00,-8.53603277658642980e+01, 2.83035467502564821e-06,-8.53603279393034029e+01, 2.83020937018933465e-06
 4.50000000000000000e+00,-8.53603390889364988e+01, 2.83030060114563481e-06,-8.53603392605931646e+01, 2.83015562890778808e-06
 4.60000000000000053e+00,-8.53603504075302055e+01, 2.83024655642256814e-06,-8.53603505774378561e+01, 2.83010191759575542e-06
 4.70000000000000018e+00,-8.53603617216454182e+01, 2.83019254085574602e-06,-8.53603618898412151e+01, 2.83004823621561485e-06
 4.80000000000000071e+00,-8.53603730312821654e+01, 2.83013855444446583e-06,-8.53603731978069504e+01, 2.82999458472992752e-06
 4.90000000000000036e+00,-8.53603843364404185e+01, 2.83008459718802410e-06,-8.53603845013387854e+01, 2.82994096310080946e-06
 5.00000000000000000e+00,-8.53603956371201917e+01, 2.83003066908572120e-06,-8.53603958004404575e+01, 2.82988737129067146e-06
 5.10000000000000053e+00,-8.53604069333214710e+01, 2.82997677013696885e-06,-8.53604070951156757e+01, 2.82983380926182014e-06
 5.20000000000000018e+00,-8.53604182264230360e+01, 2.82992290155264894e-06,-8.53604183853681349e+01, 2.82978027697639734e-06
 5.30000000000000071e+00,-8.53604295151452845e+01, 2.82986906220733250e-06,-8.53604296712015724e+01, 2.82972677439661356e-06
 5.40000000000000036e+00,-8.53604407994594396e+01, 2.82981525207507110e-06,-8.53604409526196832e+01, 2.82967330148468561e-06
 5.50000000000000000e+00,-8.53604520793655155e+01, 2.82976147115509564e-06,-8.53604522296261763e+01, 2.82961985820260882e-06
 5.60000000000000053e+00,-8.53604633548635121e+01, 2.82970771944675221e-06,-8.53604635022247464e+01, 2.82956644451261229e-06
 5.70000000000000018e+00,-8.53604746259534011e+01, 2.82965399694938605e-06,-8.53604747704190885e+01, 2.82951306037670575e-06
 5.80000000000000071e+00,-8.53604858926352250e+01, 2.82960030366211540e-06,-8.53604860342128973e+01, 2.82945970575684556e-06
 5.90000000000000036e+00,-8.53604971549089555e+01, 2.82954663958434353e-06,-8.53604972936098676e+01, 2.82940638061505119e-06
 6.00000000000000000e+00,-8.53605084127745926e+01, 2.82949300471536274e-06,-8.53605085486136943e+01, 2.82935308491323030e-06
 6.10000000000000053e+00,-8.53605196662321504e+01, 2.82943939905446110e-06,-8.53605197992280438e+01, 2.82929981861329647e-06
 6.20000000000000018e+00,-8.53605309152816289e+01, 2.82938582260087500e-06,-8.53605310454566109e+01, 2.82924658167705106e-06
 6.30000000000000071e+00,-8.53605421599230141e+01, 2.82933227535389379e-06,-8.53605422873030619e+01, 2.82919337406635640e-06
 6.40000000000000036e+00,-8.53605534001563058e+01, 2.82927875731292455e-06,-8.53605535247710918e+01, 2.82914019574290502e-06
 6.50000000000000000e+00,-8.53605646359815182e+01, 2.82922526847714565e-06,-8.53605647578643669e+01, 2.82908704666844745e-06
 6.60000000000000053e+00,-8.53605758673986514e+01, 2.82917180884584939e-06,-8.53605759865865394e+01, 2.82903392680468042e-06
 6.70000000000000018e+00,-8.53605870944076912e+01, 2.82911837841844202e-06,-8.53605872109413042e+01, 2.82898083611318423e-06
 6.80000000000000071e+00,-8.53605983170086517e+01, 2.82906497719410486e-06,-8.53605984309322849e+01, 2.82892777455571321e-06
 6.90000000000000036e+00,-8.53606095352015188e+01, 2.82901160517213107e-06,-8.53606096465631765e+01, 2.82887474209361895e-06
 7.00000000000000000e+00,-8.53606207489863067e+01, 2.82895826235187098e-06,-8.53606208578376311e+01, 2.82882173868836779e-06
 7.10000000000000053e+00,-8.53606319583630011e+01, 2.82890494873262112e-06,-8.53606320647592867e+01, 2.82876876430153749e-06
 7.20000000000000018e+00,-8.53606431633316163e+01, 2.82885166431361874e-06,-8.53606432673317954e+01, 2.82871581889459015e-06
 7.30000000000000071e+00,-8.53606543638921380e+01, 2.82879840909427431e-06,-8.53606544655588095e+01, 2.82866290242869949e-06
 7.40000000000000036e+00,-8.53606655600445805e+01, 2.82874518307365483e-06,-8.53606656594439812e+01, 2.82861001486526366e-06
 7.50000000000000000e+00,-8.53606767517889296e+01, 2.82869198625134184e-06,-8.53606768489909484e+01, 2.82855715616550550e-06
 7.60000000000000053e+00,-8.53606879391251994e+01, 2.82863881862646250e-06,-8.53606880342033350e+01, 2.82850432629070163e-06
 7.70000000000000018e+00,-8.53606991220533757e+01, 2.82858568019836924e-06,-8.53606992150847930e+01, 2.82845152520200923e-06
 7.80000000000000071e+00,-8.53607103005734729e+01, 2.82853257096630439e-06,-8.53607103916389462e+01, 2.82839875286046437e-06
 7.90000000000000036e+00,-8.53607214746854766e+01, 2.82847949092962208e-06,-8.53607215638694186e+01, 2.82834600922721195e-06
 8.00000000000000000e+00,-8.53607326443894010e+01, 2.82842644008756423e-06,-8.53607327317798621e+01, 2.82829329426316267e-06
 8.09999999999999964e+00,-8.53607438096852462e+01, 2.82837341843954469e-06,-8.53607438953738580e+01, 2.82824060792933311e-06
 8.20000000000000107e+00,-8.53607549705729980e+01, 2.82832042598469016e-06,-8.53607550546550584e+01, 2.82818795018667462e-06
 8.30000000000000071e+00,-8.53607661270526563e+01, 2.82826746272241535e-06,-8.53607662096270730e+01, 2.82813532099596027e-06
 8.40000000000000036e+00,-8.53607772791242354e+01, 2.82821452865207821e-06,-8.53607773602934969e+01, 2.82808272031795380e-06
 8.50000000000000000e+00,-8.53607884267877353e+01, 2.82816162377280713e-06,-8.53607885066579684e+01, 2.82803014811352185e-06
 8.59999999999999964e+00,-8.53607995700431417e+01, 2.82810874808401809e-06,-8.53607996487240825e+01, 2.82797760434323844e-06
 8.70000000000000107e+00,-8.53608107088904546e+01, 2.82805590158501229e-06,-8.53608107864954491e+01, 2.82792508896772245e-06
 8.80000000000000071e+00,-8.53608218433296884e+01, 2.82800308427509135e-06,-8.53608219199756491e+01, 2.82787260194769655e-06
 8.90000000000000036e+00,-8.53608329733608429e+01, 2.82795029615350098e-06,-8.53608330491683063e+01, 2.82782014324352808e-06
 9.00000000000000000e+00,-8.53608440989839039e+01, 2.82789753721960083e-06,-8.53608441740770161e+01, 2.82776771281568726e-06
 9.09999999999999964e+00,-8.53608552263171276e+01, 2.82784475887662552e-06,-8.53608552947053454e+01, 2.82771531062468796e-06
 9.20000000000000107e+00,-8.53608663497303723e+01, 2.82779200584388660e-06,-8.53608664110569038e+01, 2.82766293663080392e-06
 9.30000000000000071e+00,-8.53608774689041496e+01, 2.82773928065839344e-06,-8.53608775231352723e+01, 2.82761059079434911e-06
 9.40000000000000036e+00,-8.53608885838384737e+01, 2.82768658331948662e-06,-8.53608886309529993e+01, 2.82755827738790424e-06
 9.50000000000000000e+00,-8.53608996945333161e+01, 2.82763391382667952e-06,-8.53608997345915128e+01, 2.82750603387056839e-06
 9.60000000000000142e+00,-8.53609108009886910e+01, 2.82758127217908444e-06,-8.53609108339693705e+01, 2.82745381924474076e-06
 9.70000000000000107e+00,-8.53609219032045985e+01, 2.82752865837615845e-06,-8.53609219290901393e+01, 2.82740163347719774e-06
 9.80000000000000071e+00,-8.53609330011810243e+01, 2.82747607241729931e-06,-8.53609330199574146e+01, 2.82734947653448576e-06
 9.90000000000000036e+00,-8.53609440949179969e+01, 2.82742351430167987e-06,-8.53609441065747774e+01, 2.82729734838337742e-06
 1.00000000000000000e+01,-8.53609551844154879e+01, 2.82737098402875721e-06,-8.53609551889457947e+01, 2.82724524899024635e-06
 1.01000000000000014e+01,-8.53609662696735114e+01, 2.82731848159787358e-06,-8.53609662670740619e+01, 2.82719317832163010e-06
 1.02000000000000011e+01,-8.53609773506920675e+01, 2.82726600700837383e-06,-8.53609773409631458e+01, 2.82714113634400903e-06
 1.03000000000000007e+01,-8.53609884274711561e+01, 2.82721356025960233e-06,-8.53609884106165993e+01, 2.82708912302386011e-06
 1.04000000000000004e+01,-8.53609995000107773e+01, 2.82716114135078872e-06,-8.53609994760380175e+01, 2.82703713832730966e-06
 1.05000000000000000e+01,-8.53610105683109310e+01, 2.82710875028144891e-06,-8.53610105372309675e+01, 2.82698518222070929e-06
 1.06000000000000014e+01,-8.53610216323716031e+01, 2.82705638705087267e-06,-8.53610215941989878e+01, 2.82693325467046228e-06
 1.07000000000000011e+01,-8.53610326921928220e+01, 2.82700405165828920e-06,-8.53610326469456453e+01, 2.82688135564262294e-06
 1.08000000000000007e+01,-8.53610437477745592e+01, 2.82695174410327541e-06,-8.53610436954744927e+01, 2.82682948510335104e-06
 1.09000000000000004e+01,-8.53610547991168289e+01, 2.82689946438500544e-06,-8.53610547397891111e+01, 2.82677764301868648e-06
 1.10000000000000000e+01,-8.53610658462196312e+01, 2.82684721250276862e-06,-8.53610657798930106e+01, 2.82672582935483054e-06
 1.11000000000000014e+01,-8.53610768890829661e+01, 2.82679498845614017e-06,-8.53610768157897581e+01, 2.82667404407763507e-06
 1.12000000000000011e+01,-8.53610879277068335e+01, 2.82674279224424087e-06,-8.53610878474829065e+01, 2.82662228715299811e-06
 1.13000000000000007e+01,-8.53610989620912193e+01, 2.82669062386658919e-06,-8.53610988749759940e+01, 2.82657055854674949e-06
 1.14000000000000004e+01,-8.53611099922361518e+01, 2.82663848332241855e-06,-8.53611098982725451e+01, 2.82651885822488383e-06
 1.15000000000000000e+01,-8.53611210181416027e+01, 2.82658637061113562e-06,-8.53611209173761125e+01, 2.82646718615292305e-06
 1.16000000000000014e+01,-8.53611320398075861e+01, 2.82653428573203226e-06,-8.53611319322902204e+01, 2.82641554229678044e-06
