"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53383463002837885e+01, 7.46200337011291003e-05,-8.53383468194785735e+01, 7.46200205229673592e-05
 1.00000000000000006e-01,-8.53383587475596954e+01, 7.46153939885463264e-05,-8.53383592758766696e+01, 7.46153798256909626e-05
 2.00000000000000011e-01,-8.53383711857712086e+01, 7.46107557048168312e-05,-8.53383717270457396e+01, 7.46107399924161581e-05
 3.00000000000000044e-01,-8.53383836239827076e+01, 7.46061175311661792e-05,-8.53383841729901604e+01, 7.46061010225834432e-05
 4.00000000000000022e-01,-8.53383960441313008e+01, 7.46014821167943082e-05,-8.53383966137143091e+01, 7.46014629156334375e-05
 5.00000000000000000e-01,-8.53384084591752554e+01, 7.45968475609488490e-05,-8.53384090492225766e+01, 7.45968256710097689e-05
 6.00000000000000089e-01,-8.53384208742192243e+01, 7.45922131149282316e-05,-8.53384214795192975e+01, 7.45921892881575699e-05
 7.00000000000000067e-01,-8.53384332892631789e+01, 7.45875787787367522e-05,-8.53384339046088627e+01, 7.45875537665164029e-05
 8.00000000000000044e-01,-8.53384456972885346e+01, 7.45829455783706340e-05,-8.53384463244956066e+01, 7.45829191055331079e-05
 9.00000000000000022e-01,-8.53384580821211784e+01, 7.45783158780107631e-05,-8.53384587391839062e+01, 7.45782853046518144e-05
 1.00000000000000000e+00,-8.53384704635665230e+01, 7.45736867822834065e-05,-8.53384711486780816e+01, 7.45736523633181293e-05
 1.10000000000000009e+00,-8.53384828416245540e+01, 7.45690582911339204e-05,-8.53384835529824954e+01, 7.45690202809778761e-05
 1.20000000000000018e+00,-8.53384952162952715e+01, 7.45644304045076745e-05,-8.53384959521014821e+01, 7.45643890570783557e-05
 1.30000000000000004e+00,-8.53385075875786754e+01, 7.45598031223500388e-05,-8.53385083460393474e+01, 7.45597586910684410e-05
 1.40000000000000013e+00,-8.53385199554747658e+01, 7.45551764446063828e-05,-8.53385207348004542e+01, 7.45551291823943216e-05
 1.50000000000000000e+00,-8.53385323199835426e+01, 7.45505503712220899e-05,-8.53385331183891083e+01, 7.45505005305036777e-05
 1.60000000000000009e+00,-8.53385446811050201e+01, 7.45459249021425299e-05,-8.53385454968096155e+01, 7.45458727348500308e-05
 1.70000000000000018e+00,-8.53385570388391841e+01, 7.45413000373102265e-05,-8.53385578700663103e+01, 7.45412457948799092e-05
 1.80000000000000004e+00,-8.53385693931860345e+01, 7.45366757766748999e-05,-8.53385702381634701e+01, 7.45366197100456824e-05
 1.90000000000000013e+00,-8.53385817441455714e+01, 7.45320521201818927e-05,-8.53385826011054291e+01, 7.45319944797955323e-05
 2.00000000000000000e+00,-8.53385940917177948e+01, 7.45274290677737828e-05,-8.53385949588964507e+01, 7.45273701035877912e-05
 2.10000000000000009e+00,-8.53386064359027046e+01, 7.45228066193988131e-05,-8.53386073115408550e+01, 7.45227465808680255e-05
 2.20000000000000018e+00,-8.53386187767003150e+01, 7.45181847749981115e-05,-8.53386196590429051e+01, 7.45181239110933479e-05
 2.30000000000000027e+00,-8.53386311141106120e+01, 7.45135635345199344e-05,-8.53386320014069071e+01, 7.45135020937153284e-05
 2.40000000000000036e+00,-8.53386434481335954e+01, 7.45089428979111423e-05,-8.53386443386371099e+01, 7.45088811281899142e-05
 2.50000000000000000e+00,-8.53386557701274313e+01, 7.45043241168759200e-05,-8.53386566707377909e+01, 7.45042610139731747e-05
 2.60000000000000009e+00,-8.53386680868446916e+01, 7.44997062131556962e-05,-8.53386689977132278e+01, 7.44996417505198647e-05
 2.70000000000000018e+00,-8.53386803990754572e+01, 7.44950890722319281e-05,-8.53386813195676694e+01, 7.44950233372862838e-05
 2.80000000000000027e+00,-8.53386927068196854e+01, 7.44904726940367719e-05,-8.53386936363053934e+01, 7.44904057737260484e-05
 2.90000000000000036e+00,-8.53387050100774189e+01, 7.44858570784937099e-05,-8.53387059479306203e+01, 7.44857890593013941e-05
 3.00000000000000000e+00,-8.53387173088486293e+01, 7.44812422255305615e-05,-8.53387182544475991e+01, 7.44811731934704504e-05
 3.10000000000000009e+00,-8.53387296031333449e+01, 7.44766281350780460e-05,-8.53387305558605931e+01, 7.44765581756900047e-05
 3.20000000000000018e+00,-8.53387418929315231e+01, 7.44720148070639827e-05,-8.53387428521738229e+01, 7.44719440054198535e-05
 3.30000000000000027e+00,-8.53387541782432066e+01, 7.44674022414119218e-05,-8.53387551433915093e+01, 7.44673306821198606e-05
 3.40000000000000036e+00,-8.53387664590683670e+01, 7.44627904380540465e-05,-8.53387674295179011e+01, 7.44627182052515164e-05
 3.50000000000000000e+00,-8.53387787354070326e+01, 7.44581793969167395e-05,-8.53387797105572048e+01, 7.44581065742763520e-05
 3.60000000000000009e+00,-8.53387910072591609e+01, 7.44535691179279012e-05,-8.53387919865136269e+01, 7.44534957886575246e-05
 3.70000000000000018e+00,-8.53388032746247944e+01, 7.44489596010153781e-05,-8.53388042573913879e+01, 7.44488858478539495e-05
 3.80000000000000027e+00,-8.53388155375039048e+01, 7.44443508461085072e-05,-8.53388165231947085e+01, 7.44442767513318605e-05
 3.90000000000000036e+00,-8.53388277958965062e+01, 7.44397428531323160e-05,-8.53388287839277524e+01, 7.44396684985547402e-05
 4.00000000000000000e+00,-8.53388400498025987e+01, 7.44351356220161145e-05,-8.53388410395947403e+01, 7.44350610889876161e-05
 4.10000000000000053e+00,-8.53388522976206332e+01, 7.44305293865617180e-05,-8.53388532901998502e+01, 7.44304545220942010e-05
 4.20000000000000018e+00,-8.53388645394999656e+01, 7.44259241248610462e-05,-8.53388655357472743e+01, 7.44258487973411761e-05
 4.29999999999999982e+00,-8.53388767765623868e+01, 7.44213196730158122e-05,-8.53388777762411905e+01, 7.44212439141953984e-05
 4.40000000000000036e+00,-8.53388890088078824e+01, 7.44167160309515315e-05,-8.53388900116857627e+01, 7.44166398721237657e-05
 4.50000000000000000e+00,-8.53389012362364809e+01, 7.44121131985851271e-05,-8.53389022420851830e+01, 7.44120366705919154e-05
 4.60000000000000053e+00,-8.53389134588481397e+01, 7.44075111758463290e-05,-8.53389144674436011e+01, 7.44074343090713125e-05
 4.70000000000000018e+00,-8.53389256766429014e+01, 7.44029099626535240e-05,-8.53389266877651664e+01, 7.44028327870292479e-05
 4.80000000000000071e+00,-8.53389378896207234e+01, 7.43983095589308179e-05,-8.53389389030540571e+01, 7.43982321039345437e-05
 4.90000000000000036e+00,-8.53389500977816482e+01, 7.43937099645994028e-05,-8.53389511133143941e+01, 7.43936322592590309e-05
 5.00000000000000000e+00,-8.53389623011256475e+01, 7.43891111795834116e-05,-8.53389633185503413e+01, 7.43890332524732258e-05
 5.10000000000000053e+00,-8.53389744996527355e+01, 7.43845132038055000e-05,-8.53389755187660484e+01, 7.43844350830463166e-05
 5.20000000000000018e+00,-8.53389866933628980e+01, 7.43799160371869415e-05,-8.53389877139656079e+01, 7.43798377504547285e-05
 5.30000000000000071e+00,-8.53389988822561492e+01, 7.43753196796532784e-05,-8.53389999041531979e+01, 7.43752412541665248e-05
