"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53283171427435150e+01, 5.64607603480404785e-06,-8.53283142828493055e+01, 5.64609791993027405e-06
 1.00000000000000006e-01,-8.53283301916469128e+01, 5.64597057542338297e-06,-8.53283273347393845e+01, 5.64599243839410041e-06
 2.00000000000000011e-01,-8.53283432352911717e+01, 5.64586515559986570e-06,-8.53283403810224002e+01, 5.64588699898949719e-06
 3.00000000000000044e-01,-8.53283562693265196e+01, 5.64575980768750933e-06,-8.53283534217032411e+01, 5.64578160167985477e-06
 4.00000000000000022e-01,-8.53283692880091422e+01, 5.64565457441103435e-06,-8.53283664567867675e+01, 5.64567624642908955e-06
 5.00000000000000000e-01,-8.53283823066917648e+01, 5.64554934156885688e-06,-8.53283794862778819e+01, 5.64557093320038270e-06
 6.00000000000000089e-01,-8.53283953253743732e+01, 5.64544410916118614e-06,-8.53283925101814589e+01, 5.64546566195744141e-06
 7.00000000000000067e-01,-8.53284083440569958e+01, 5.64533887718749611e-06,-8.53284055285023726e+01, 5.64536043266386612e-06
 8.00000000000000044e-01,-8.53284213388528627e+01, 5.64523382331735460e-06,-8.53284185412454974e+01, 5.64525524528315649e-06
 9.00000000000000022e-01,-8.53284343326925097e+01, 5.64512877699280875e-06,-8.53284315484156792e+01, 5.64515009977912388e-06
 1.00000000000000000e+00,-8.53284473265321566e+01, 5.64502373110176673e-06,-8.53284445500177924e+01, 5.64504499611526796e-06
 1.10000000000000009e+00,-8.53284603203718177e+01, 5.64491868564402018e-06,-8.53284575460566970e+01, 5.64493993425540094e-06
 1.20000000000000018e+00,-8.53284733005901614e+01, 5.64481374192763779e-06,-8.53284705365372389e+01, 5.64483491416333755e-06
 1.30000000000000004e+00,-8.53284862662614358e+01, 5.64470890683693064e-06,-8.53284835214642783e+01, 5.64472993580278838e-06
 1.40000000000000013e+00,-8.53284992282224835e+01, 5.64460409977310547e-06,-8.53284965008426610e+01, 5.64462499913735727e-06
 1.50000000000000000e+00,-8.53285121864732901e+01, 5.64449932073617326e-06,-8.53285094748559487e+01, 5.64452010283771240e-06
