"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.54263880819041930e+01, 6.56454112393607791e-06,-8.54263862538106054e+01, 6.56627619934135839e-06
 1.00000000000000006e-01,-8.54263974937581310e+01, 6.56443102407086371e-06,-8.54263956624389209e+01, 6.56616587517065163e-06
 2.00000000000000011e-01,-8.54264068908372991e+01, 6.56432115514357268e-06,-8.54264050677203386e+01, 6.56605557750852789e-06
 3.00000000000000044e-01,-8.54264162839730687e+01, 6.56421134795444896e-06,-8.54264144696577574e+01, 6.56594530617899576e-06
 4.00000000000000022e-01,-8.54264256771088384e+01, 6.56410154124223019e-06,-8.54264238682540338e+01, 6.56583506100606382e-06
 5.00000000000000000e-01,-8.54264350702446080e+01, 6.56399173500722217e-06,-8.54264332635120525e+01, 6.56572484181297406e-06
 6.00000000000000089e-01,-8.54264444633803777e+01, 6.56388192924911995e-06,-8.54264426554346556e+01, 6.56561464842282028e-06
 7.00000000000000067e-01,-8.54264538485797971e+01, 6.56377224208938956e-06,-8.54264520440247423e+01, 6.56550448065792460e-06
 8.00000000000000044e-01,-8.54264632238837720e+01, 6.56366270268499550e-06,-8.54264614292851547e+01, 6.56539433834030508e-06
 9.00000000000000022e-01,-8.54264725991877469e+01, 6.56355316375426989e-06,-8.54264708112187776e+01, 6.56528422129181375e-06
 1.00000000000000000e+00,-8.54264819744917219e+01, 6.56344362529736519e-06,-8.54264801898284531e+01, 6.56517412933339123e-06
 1.10000000000000009e+00,-8.54264913497956968e+01, 6.56333408731458549e-06,-8.54264895651170519e+01, 6.56506406228596459e-06
 1.20000000000000018e+00,-8.54265007231591795e+01, 6.56322457771354967e-06,-8.54264989370874304e+01, 6.56495401996953509e-06
 1.30000000000000004e+00,-8.54265100796276471e+01, 6.56311531156770356e-06,-8.54265083057424448e+01, 6.56484400220409722e-06
 1.40000000000000013e+00,-8.54265194338889273e+01, 6.56300607763626025e-06,-8.54265176710849659e+01, 6.56473400880887128e-06
 1.50000000000000000e+00,-8.54265287859430202e+01, 6.56289687591823547e-06,-8.54265270331178357e+01, 6.56462403960275909e-06
 1.60000000000000009e+00,-8.54265381357899116e+01, 6.56278770641371986e-06,-8.54265363918439249e+01, 6.56451409440419066e-06
 1.70000000000000018e+00,-8.54265474834296157e+01, 6.56267856912173001e-06,-8.54265457472660614e+01, 6.56440417303127753e-06
 1.80000000000000004e+00,-8.54265568288621182e+01, 6.56256946404220325e-06,-8.54265550993871017e+01, 6.56429427530150526e-06
 1.90000000000000013e+00,-8.54265661720874334e+01, 6.56246039117400455e-06,-8.54265644482099162e+01, 6.56418440103173010e-06
 2.00000000000000000e+00,-8.54265755131055471e+01, 6.56235135051722116e-06,-8.54265737937373331e+01, 6.56407455003879303e-06
 2.10000000000000009e+00,-8.54265848519164734e+01, 6.56224234207102721e-06,-8.54265831359721943e+01, 6.56396472213890313e-06
 2.20000000000000018e+00,-8.54265941885202125e+01, 6.56213336583490009e-06,-8.54265924749173706e+01, 6.56385491714733354e-06
 2.30000000000000027e+00,-8.54266035229167500e+01, 6.56202442180831718e-06,-8.54266018105756899e+01, 6.56374513487979531e-06
 2.40000000000000036e+00,-8.54266128551061001e+01, 6.56191550999090832e-06,-8.54266111429499801e+01, 6.56363537515075348e-06
 2.50000000000000000e+00,-8.54266221850882488e+01, 6.56180663038185105e-06,-8.54266204720431119e+01, 6.56352563777449946e-06
 2.60000000000000009e+00,-8.54266315128632101e+01, 6.56169778298092260e-06,-8.54266297978578990e+01, 6.56341592256499180e-06
 2.70000000000000018e+00,-8.54266408384309841e+01, 6.56158896778730134e-06,-8.54266391203971978e+01, 6.56330622933524797e-06
 2.80000000000000027e+00,-8.54266501602883608e+01, 6.56148020515880329e-06,-8.54266484396638504e+01, 6.56319655789856411e-06
 2.90000000000000036e+00,-8.54266594752825341e+01, 6.56137153779235947e-06,-8.54266577556606563e+01, 6.56308690806713694e-06
 3.00000000000000000e+00,-8.54266687873604695e+01, 6.56126291223382038e-06,-8.54266670683904863e+01, 6.56297727965283111e-06
 3.10000000000000009e+00,-8.54266780965221812e+01, 6.56115432848206454e-06,-8.54266763778561540e+01, 6.56286767246732663e-06
 3.20000000000000018e+00,-8.54266874027676550e+01, 6.56104578653673621e-06,-8.54266856840605016e+01, 6.56275808632150563e-06
 3.30000000000000027e+00,-8.54266967060968909e+01, 6.56093728639686976e-06,-8.54266949870063570e+01, 6.56264852102561491e-06
 3.40000000000000036e+00,-8.54267060065099031e+01, 6.56082882806180366e-06,-8.54267042866965340e+01, 6.56253897639015882e-06
