"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53332493697254932e+01, 5.11234123179994693e-07,-8.53332501262473784e+01, 5.11176081779353983e-07
 1.00000000000000006e-01,-8.53332621557837427e+01, 5.11222997225212151e-07,-8.53332629066175485e+01, 5.11164926725804541e-07
 2.00000000000000011e-01,-8.53332749197918190e+01, 5.11211874234588797e-07,-8.53332756815605364e+01, 5.11153779335647623e-07
 3.00000000000000044e-01,-8.53332876800745908e+01, 5.11200752016498031e-07,-8.53332884510810459e+01, 5.11142639611479597e-07
 4.00000000000000022e-01,-8.53333004403573767e+01, 5.11189629891055729e-07,-8.53333012151836812e+01, 5.11131507556095353e-07
 5.00000000000000000e-01,-8.53333132006401485e+01, 5.11178507858281054e-07,-8.53333139738731319e+01, 5.11120383172305560e-07
 6.00000000000000089e-01,-8.53333259492019494e+01, 5.11167393544255895e-07,-8.53333267271540308e+01, 5.11109266463060961e-07
 7.00000000000000067e-01,-8.53333386854216229e+01, 5.11156287352984791e-07,-8.53333394750310106e+01, 5.11098157431414899e-07
 8.00000000000000044e-01,-8.53333514216412965e+01, 5.11145181254220062e-07,-8.53333522175087182e+01, 5.11087056080465080e-07
 9.00000000000000022e-01,-8.53333641578609701e+01, 5.11134075247942542e-07,-8.53333649545917865e+01, 5.11075962413469086e-07
 1.00000000000000000e+00,-8.53333768911318629e+01, 5.11122972468594265e-07,-8.53333776862848481e+01, 5.11064876433738604e-07
 1.10000000000000009e+00,-8.53333896022768101e+01, 5.11111893300388178e-07,-8.53333904125925073e+01, 5.11053798144697130e-07
 1.20000000000000018e+00,-8.53334023097808512e+01, 5.11100818094231324e-07,-8.53334031335194112e+01, 5.11042727549841850e-07
 1.30000000000000004e+00,-8.53334150136440002e+01, 5.11089746850005329e-07,-8.53334158490701640e+01, 5.11031664652800502e-07
 1.40000000000000013e+00,-8.53334277138662287e+01, 5.11078679567630256e-07,-8.53334285592493700e+01, 5.11020609457265196e-07
 1.50000000000000000e+00,-8.53334404104475510e+01, 5.11067616246978096e-07,-8.53334412640616478e+01, 5.11009561967039745e-07
 1.60000000000000009e+00,-8.53334531033879671e+01, 5.11056556887930476e-07,-8.53334539635115874e+01, 5.10998522186020501e-07
 1.70000000000000018e+00,-8.53334657926874769e+01, 5.11045501490397823e-07,-8.53334666576038074e+01, 5.10987490118187141e-07
 1.80000000000000004e+00,-8.53334784783460947e+01, 5.11034450054252447e-07,-8.53334793463428980e+01, 5.10976465767641001e-07
 1.90000000000000013e+00,-8.53334911603637920e+01, 5.11023402579404985e-07,-8.53334920297334349e+01, 5.10965449138566210e-07
 2.00000000000000000e+00,-8.53335038387405831e+01, 5.11012359065736959e-07,-8.53335047077800084e+01, 5.10954440235230226e-07
 2.10000000000000009e+00,-8.53335165134764679e+01, 5.11001319513140160e-07,-8.53335173804872227e+01, 5.10943439062003211e-07
 2.20000000000000018e+00,-8.53335291845714607e+01, 5.10990283921496215e-07,-8.53335300478596253e+01, 5.10932445623366815e-07
 2.30000000000000027e+00,-8.53335418473572815e+01, 5.10979260752579353e-07,-8.53335427099018204e+01, 5.10921459923876806e-07
 2.40000000000000036e+00,-8.53335545025841782e+01, 5.10968248646125176e-07,-8.53335553666183557e+01, 5.10910481968190698e-07
 2.50000000000000000e+00,-8.53335671530050064e+01, 5.10957242611894449e-07,-8.53335680180137928e+01, 5.10899511761098465e-07
 2.60000000000000009e+00,-8.53335797986197662e+01, 5.10946242649702414e-07,-8.53335806640927217e+01, 5.10888549307395372e-07
 2.70000000000000018e+00,-8.53335924394284717e+01, 5.10935248759355100e-07,-8.53335933048596758e+01, 5.10877594612066206e-07
 2.80000000000000027e+00,-8.53336050754311231e+01, 5.10924260940677594e-07,-8.53336059403192024e+01, 5.10866647680150074e-07
 2.90000000000000036e+00,-8.53336177066277202e+01, 5.10913279193475927e-07,-8.53336185704758776e+01, 5.10855708516778935e-07
 3.00000000000000000e+00,-8.53336303330182488e+01, 5.10902303517565657e-07,-8.53336311953342204e+01, 5.10844777127187772e-07
 3.10000000000000009e+00,-8.53336429546027233e+01, 5.10891333912772824e-07,-8.53336438148987781e+01, 5.10833853516723161e-07
 3.20000000000000018e+00,-8.53336555713811293e+01, 5.10880370378912881e-07,-8.53336564291740984e+01, 5.10822937690786527e-07
 3.30000000000000027e+00,-8.53336681833534811e+01, 5.10869412915792494e-07,-8.53336690381647003e+01, 5.10812029654920430e-07
