"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.54284464344342211e+01, 6.64788300606381196e-06,-8.54284461140672136e+01, 6.64799911157482152e-06
 1.00000000000000006e-01,-8.54284557921392746e+01, 6.64777203984924711e-06,-8.54284554755767545e+01, 6.64788802332895264e-06
 2.00000000000000011e-01,-8.54284651362686844e+01, 6.64766128323017036e-06,-8.54284648337616233e+01, 6.64777698307164221e-06
 3.00000000000000044e-01,-8.54284744763075707e+01, 6.64755059009576069e-06,-8.54284741886246195e+01, 6.64766599074631859e-06
 4.00000000000000022e-01,-8.54284838163464428e+01, 6.64743989743601473e-06,-8.54284835401685569e+01, 6.64755504629581893e-06
 5.00000000000000000e-01,-8.54284931563853149e+01, 6.64732920525077579e-06,-8.54284928883962777e+01, 6.64744414966330985e-06
 6.00000000000000089e-01,-8.54285024964242012e+01, 6.64721851353973383e-06,-8.54285022333105815e+01, 6.64733330079167422e-06
 7.00000000000000067e-01,-8.54285118327861284e+01, 6.64710787699597993e-06,-8.54285115749142818e+01, 6.64722249962459114e-06
 8.00000000000000044e-01,-8.54285211612991731e+01, 6.64699735767279880e-06,-8.54285209132102068e+01, 6.64711174610499175e-06
 9.00000000000000022e-01,-8.54285304879048937e+01, 6.64688686719225504e-06,-8.54285302482011559e+01, 6.64700104017598085e-06
 1.00000000000000000e+00,-8.54285398126033044e+01, 6.64677640555356176e-06,-8.54285395798899430e+01, 6.64689038178115368e-06
 1.10000000000000009e+00,-8.54285491353943769e+01, 6.64666597275670371e-06,-8.54285489082793674e+01, 6.64677977086381577e-06
 1.20000000000000018e+00,-8.54285584562781253e+01, 6.64655556880104477e-06,-8.54285582333722573e+01, 6.64666920736699146e-06
 1.30000000000000004e+00,-8.54285677752545354e+01, 6.64644519368610891e-06,-8.54285675551713979e+01, 6.64655869123465290e-06
 1.40000000000000013e+00,-8.54285770923236356e+01, 6.64633484741126339e-06,-8.54285768736796030e+01, 6.64644822241001839e-06
 1.50000000000000000e+00,-8.54285864074854118e+01, 6.64622452997587464e-06,-8.54285861888996862e+01, 6.64633780083649174e-06
 1.60000000000000009e+00,-8.54285957207398639e+01, 6.64611424137992740e-06,-8.54285955008344331e+01, 6.64622742645749283e-06
 1.70000000000000018e+00,-8.54286050320869776e+01, 6.64600398162263562e-06,-8.54286048094866430e+01, 6.64611709921692860e-06
 1.80000000000000004e+00,-8.54286143358210808e+01, 6.64589382966169762e-06,-8.54286141148591156e+01, 6.64600681905842393e-06
 1.90000000000000013e+00,-8.54286236365963276e+01, 6.64578372108892458e-06,-8.54286234169546503e+01, 6.64589658592546478e-06
 2.00000000000000000e+00,-8.54286329344520823e+01, 6.64567365535931011e-06,-8.54286327157760610e+01, 6.64578639976141091e-06
 2.10000000000000009e+00,-8.54286422293883305e+01, 6.64556363247216894e-06,-8.54286420113261045e+01, 6.64567626051087906e-06
 2.20000000000000018e+00,-8.54286515214050866e+01, 6.64545365242681414e-06,-8.54286513036076087e+01, 6.64556616811680462e-06
 2.30000000000000027e+00,-8.54286608105023504e+01, 6.64534371522225383e-06,-8.54286605926233449e+01, 6.64545612252323345e-06
