"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.54282558855141048e+01, 6.64066760577946843e-06,-8.54282567745474211e+01, 6.64048601510679474e-06
 1.00000000000000006e-01,-8.54282652483815070e+01, 6.64055641633276777e-06,-8.54282661431340529e+01, 6.64037493652490686e-06
 2.00000000000000011e-01,-8.54282746057067186e+01, 6.64044530355072779e-06,-8.54282755083839334e+01, 6.64026390732847029e-06
 3.00000000000000044e-01,-8.54282839630319160e+01, 6.64033419125440785e-06,-8.54282848702997057e+01, 6.64015292746959040e-06
 4.00000000000000022e-01,-8.54282933137375409e+01, 6.64022317264911794e-06,-8.54282942288840417e+01, 6.64004199689888263e-06
 5.00000000000000000e-01,-8.54283026528183314e+01, 6.64011231820847701e-06,-8.54283035841395844e+01, 6.63993111556809658e-06
 6.00000000000000089e-01,-8.54283119918991218e+01, 6.64000146425056523e-06,-8.54283129360689770e+01, 6.63982028342904287e-06
 7.00000000000000067e-01,-8.54283213309798981e+01, 6.63989061077584849e-06,-8.54283222846748629e+01, 6.63970950043311535e-06
 8.00000000000000044e-01,-8.54283306700606886e+01, 6.63977975778386005e-06,-8.54283316299598852e+01, 6.63959876653238382e-06
 9.00000000000000022e-01,-8.54283400091414791e+01, 6.63966890527445001e-06,-8.54283409719266871e+01, 6.63948808167850895e-06
 1.00000000000000000e+00,-8.54283493323708711e+01, 6.63955827923113823e-06,-8.54283503105779118e+01, 6.63937744582320817e-06
 1.10000000000000009e+00,-8.54283586532975221e+01, 6.63944768649672372e-06,-8.54283596459161600e+01, 6.63926685891902139e-06
 1.20000000000000018e+00,-8.54283679742241731e+01, 6.63933709424229059e-06,-8.54283689779440891e+01, 6.63915632091746612e-06
 1.30000000000000004e+00,-8.54283772951508240e+01, 6.63922650246829963e-06,-8.54283783066643281e+01, 6.63904583177118814e-06
 1.40000000000000013e+00,-8.54283866160774750e+01, 6.63911591117413420e-06,-8.54283876320794917e+01, 6.63893539143212596e-06
 1.50000000000000000e+00,-8.54283959301641147e+01, 6.63900541864396807e-06,-8.54283969541921948e+01, 6.63882499985303885e-06
 1.60000000000000009e+00,-8.54284052317435112e+01, 6.63889510630876205e-06,-8.54284062730050522e+01, 6.63871465698643030e-06
 1.70000000000000018e+00,-8.54284145311388983e+01, 6.63878482583239895e-06,-8.54284155885207070e+01, 6.63860436278409057e-06
 1.80000000000000004e+00,-8.54284238283502759e+01, 6.63867457721437648e-06,-8.54284249007417458e+01, 6.63849411719924904e-06
 1.90000000000000013e+00,-8.54284331233776442e+01, 6.63856436045388234e-06,-8.54284342096707974e+01, 6.63838392018442274e-06
 2.00000000000000000e+00,-8.54284424162210172e+01, 6.63845417555071832e-06,-8.54284435153104482e+01, 6.63827377169264369e-06
 2.10000000000000009e+00,-8.54284517068803808e+01, 6.63834402250407551e-06,-8.54284528176633131e+01, 6.63816367167653312e-06
 2.20000000000000018e+00,-8.54284609953557492e+01, 6.63823390131375485e-06,-8.54284621167319926e+01, 6.63805362008923399e-06
