"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.54284583239097373e+01, 6.67753838408715241e-06,-8.54284592334482369e+01, 6.67815902266868897e-06
 1.00000000000000006e-01,-8.54284676824950395e+01, 6.67742622274406196e-06,-8.54284685955837659e+01, 6.67804580603643490e-06
 2.00000000000000011e-01,-8.54284770248500962e+01, 6.67731457605695952e-06,-8.54284779543766177e+01, 6.67793263907141882e-06
 3.00000000000000044e-01,-8.54284863672051529e+01, 6.67720292985899319e-06,-8.54284873098294213e+01, 6.67781952172824655e-06
 4.00000000000000022e-01,-8.54284957095602095e+01, 6.67709128414984873e-06,-8.54284966619447630e+01, 6.67770645396185847e-06
 5.00000000000000000e-01,-8.54285050519152662e+01, 6.67697963892968708e-06,-8.54285060107252576e+01, 6.67759343572659273e-06
 6.00000000000000089e-01,-8.54285143942703229e+01, 6.67686799419834898e-06,-8.54285153561734774e+01, 6.67748046697789540e-06
 7.00000000000000067e-01,-8.54285237282581562e+01, 6.67675654516325331e-06,-8.54285246982920228e+01, 6.67736754767013935e-06
 8.00000000000000044e-01,-8.54285330590631276e+01, 6.67664517086903707e-06,-8.54285340370835087e+01, 6.67725467775865715e-06
 9.00000000000000022e-01,-8.54285423877132786e+01, 6.67653384733003454e-06,-8.54285433725504788e+01, 6.67714185719848067e-06
 1.00000000000000000e+00,-8.54285517142085951e+01, 6.67642257454540206e-06,-8.54285527046955480e+01, 6.67702908594451302e-06
 1.10000000000000009e+00,-8.54285610385490912e+01, 6.67631135251335832e-06,-8.54285620335213025e+01, 6.67691636395167088e-06
 1.20000000000000018e+00,-8.54285703607347671e+01, 6.67620018123275136e-06,-8.54285713590303004e+01, 6.67680369117551382e-06
 1.30000000000000004e+00,-8.54285796807656084e+01, 6.67608906070242413e-06,-8.54285806812251280e+01, 6.67669106757083907e-06
 1.40000000000000013e+00,-8.54285889986416436e+01, 6.67597799092060210e-06,-8.54285900001083576e+01, 6.67657849309324178e-06
 1.50000000000000000e+00,-8.54285983112882548e+01, 6.67586698783149381e-06,-8.54285993156825612e+01, 6.67646596769802233e-06
 1.60000000000000009e+00,-8.54286076207687159e+01, 6.67575604073349780e-06,-8.54286086279503110e+01, 6.67635349134018801e-06
 1.70000000000000018e+00,-8.54286169273372025e+01, 6.67564514830790152e-06,-8.54286179369141792e+01, 6.67624106397522981e-06
 1.80000000000000004e+00,-8.54286262309937428e+01, 6.67553431055274239e-06,-8.54286272425767095e+01, 6.67612868555881061e-06
 1.90000000000000013e+00,-8.54286355317383226e+01, 6.67542352746729958e-06,-8.54286365449404883e+01, 6.67601635604599023e-06
 2.00000000000000000e+00,-8.54286448295709278e+01, 6.67531279905023478e-06,-8.54286458440080452e+01, 6.67590407539277549e-06
 2.10000000000000009e+00,-8.54286541244915867e+01, 6.67520212530035961e-06,-8.54286551397819665e+01, 6.67579184355425754e-06
 2.20000000000000018e+00,-8.54286634165002852e+01, 6.67509150621664662e-06,-8.54286644322647817e+01, 6.67567966048631952e-06
 2.30000000000000027e+00,-8.54286727040847893e+01, 6.67498090562424393e-06,-8.54286737214590488e+01, 6.67556752614470819e-06
 2.40000000000000036e+00,-8.54286819884617472e+01, 6.67487035262690291e-06,-8.54286830073673258e+01, 6.67545544048471800e-06
 2.50000000000000000e+00,-8.54286912697032790e+01, 6.67475984894856346e-06,-8.54286922899921422e+01, 6.67534340346259292e-06
 2.60000000000000009e+00,-8.54287005478093704e+01, 6.67464939458851324e-06,-8.54287015693360559e+01, 6.67523141503365366e-06
 2.70000000000000018e+00,-8.54287098227800499e+01, 6.67453898954540799e-06,-8.54287108454015964e+01, 6.67511947515417892e-06
 2.80000000000000027e+00,-8.54287190946153032e+01, 6.67442863381868953e-06,-8.54287201181913076e+01, 6.67500758377951904e-06
 2.90000000000000036e+00,-8.54287283633151446e+01, 6.67431832740733124e-06,-8.54287293877077190e+01, 6.67489574086597815e-06
 3.00000000000000000e+00,-8.54287376288795457e+01, 6.67420807031092571e-06,-8.54287386539533600e+01, 6.67478394636956389e-06
 3.10000000000000009e+00,-8.54287468913085206e+01, 6.67409786252814055e-06,-8.54287479169307744e+01, 6.67467220024598236e-06
 3.20000000000000018e+00,-8.54287561506020694e+01, 6.67398770405840995e-06,-8.54287571766424776e+01, 6.67456050245126918e-06
 3.30000000000000027e+00,-8.54287654067601920e+01, 6.67387759490055823e-06,-8.54287664330909990e+01, 6.67444885294193935e-06
 3.40000000000000036e+00,-8.54287746597828885e+01, 6.67376753505371632e-06,-8.54287756862788683e+01, 6.67433725167343049e-06
 3.50000000000000000e+00,-8.54287839096701589e+01, 6.67365752451732180e-06,-8.54287849362085865e+01, 6.67422569860275227e-06
 3.60000000000000009e+00,-8.54287931561025857e+01, 6.67354752709279147e-06,-8.54287941828826831e+01, 6.67411419368521355e-06
 3.70000000000000018e+00,-8.54288023992116763e+01, 6.67343755768553182e-06,-8.54288034263036735e+01, 6.67400273687769357e-06
 3.80000000000000027e+00,-8.54288116391456072e+01, 6.67332763308648788e-06,-8.54288126664740588e+01, 6.67389132813645918e-06
 3.90000000000000036e+00,-8.54288208759044068e+01, 6.67321775329453139e-06,-8.54288219033963543e+01, 6.67377996741763999e-06
 4.00000000000000000e+00,-8.54288301094880467e+01, 6.67310791830946077e-06,-8.54288311370730753e+01, 6.67366865467752572e-06
 4.10000000000000053e+00,-8.54288393398965411e+01, 6.67299812813015115e-06,-8.54288403675067229e+01, 6.67355738987258057e-06
 4.20000000000000018e+00,-8.54288485671298758e+01, 6.67288838275640009e-06,-8.54288495946997841e+01, 6.67344617295958723e-06
 4.29999999999999982e+00,-8.54288577911880651e+01, 6.67277868218739360e-06,-8.54288588186547742e+01, 6.67333500389456181e-06
 4.40000000000000036e+00,-8.54288670120711089e+01, 6.67266902642215334e-06,-8.54288680393741799e+01, 6.67322388263431580e-06
 4.50000000000000000e+00,-8.54288762297790072e+01, 6.67255941546048451e-06,-8.54288772568604884e+01, 6.67311280913550737e-06
 4.60000000000000053e+00,-8.54288854443117458e+01, 6.67244984930125970e-06,-8.54288864711162148e+01, 6.67300178335434661e-06
 4.70000000000000018e+00,-8.54288946556693247e+01, 6.67234032794428155e-06,-8.54288956821438319e+01, 6.67289080524782796e-06
 4.80000000000000071e+00,-8.54289038638517724e+01, 6.67223085138857852e-06,-8.54289048899458265e+01, 6.67277987477249016e-06
 4.90000000000000036e+00,-8.54289130688590603e+01, 6.67212141963364239e-06,-8.54289140945246857e+01, 6.67266899188503967e-06
 5.00000000000000000e+00,-8.54289222706912028e+01, 6.67201203267865915e-06,-8.54289232958828961e+01, 6.67255815654234642e-06
 5.10000000000000053e+00,-8.54289314693481856e+01, 6.67190269052327561e-06,-8.54289324940229164e+01, 6.67244736870129218e-06
 5.20000000000000018e+00,-8.54289406648300229e+01, 6.67179339316636858e-06,-8.54289416889472477e+01, 6.67233662831829967e-06
 5.30000000000000071e+00,-8.54289498571367147e+01, 6.67168414060743154e-06,-8.54289508806583342e+01, 6.67222593535088932e-06
 5.40000000000000036e+00,-8.54289590462682469e+01, 6.67157493284626883e-06,-8.54289600691586770e+01, 6.67211528975535255e-06
 5.50000000000000000e+00,-8.54289682322246335e+01, 6.67146576988160228e-06,-8.54289692544507204e+01, 6.67200469148907174e-06
 5.60000000000000053e+00,-8.54289774150058747e+01, 6.67135665171308037e-06,-8.54289784365369513e+01, 6.67189414050866017e-06
 5.70000000000000018e+00,-8.54289865946119562e+01, 6.67124757834004664e-06,-8.54289876154198140e+01, 6.67178363677136977e-06
 5.80000000000000071e+00,-8.54289957710428922e+01, 6.67113854976152871e-06,-8.54289967911017811e+01, 6.67167318023429494e-06
 5.90000000000000036e+00,-8.54290049447722026e+01, 6.67102953863103569e-06,-8.54290059635853112e+01, 6.67156277085439202e-06
 6.00000000000000000e+00,-8.54290141158727181e+01, 6.67092054074079079e-06,-8.54290151328728484e+01, 6.67145240858892987e-06
 6.10000000000000053e+00,-8.54290232838404080e+01, 6.67081158520081344e-06,-8.54290242989668656e+01, 6.67134209339503170e-06
 6.20000000000000018e+00,-8.54290324486752723e+01, 6.67070267201022103e-06,-8.54290334618697926e+01, 6.67123182522982747e-06
 6.30000000000000071e+00,-8.54290416103772969e+01, 6.67059380116875097e-06,-8.54290426215840881e+01, 6.67112160405045815e-06
 6.40000000000000036e+00,-8.54290507689464960e+01, 6.67048497267567483e-06,-8.54290517781121963e+01, 6.67101142981437899e-06
 6.50000000000000000e+00,-8.54290599243828694e+01, 6.67037618652995837e-06,-8.54290609314565614e+01, 6.67090130247889613e-06
 6.60000000000000053e+00,-8.54290690766864174e+01, 6.67026744273180148e-06,-8.54290700816196136e+01, 6.67079122200148259e-06
 6.70000000000000018e+00,-8.54290782258571397e+01, 6.67015874128001749e-06,-8.54290792286038112e+01, 6.67068118833883381e-06
