"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53295348696147187e+01, 8.44561343382834638e-05,-8.53295354475515495e+01, 8.44560872979234804e-05
 1.00000000000000006e-01,-8.53295478171943529e+01, 8.44533897263933549e-05,-8.53295483948224813e+01, 8.44533426579547578e-05
 2.00000000000000011e-01,-8.53295607597837176e+01, 8.44506457487358348e-05,-8.53295613365620937e+01, 8.44505987183997070e-05
 3.00000000000000044e-01,-8.53295736857611757e+01, 8.44479037792999473e-05,-8.53295742727264894e+01, 8.44478554841274123e-05
 4.00000000000000022e-01,-8.53295866034185195e+01, 8.44451628378556216e-05,-8.53295872024435482e+01, 8.44451130525694036e-05
 5.00000000000000000e-01,-8.53295995210758491e+01, 8.44424219408936445e-05,-8.53296001266249249e+01, 8.44423713217990081e-05
 6.00000000000000089e-01,-8.53296124387331929e+01, 8.44396810884108447e-05,-8.53296130452754653e+01, 8.44396302912382376e-05
 7.00000000000000067e-01,-8.53296253493937087e+01, 8.44369411087950091e-05,-8.53296259584000012e+01, 8.44368899603106489e-05
 8.00000000000000044e-01,-8.53296382336982617e+01, 8.44342042939895469e-05,-8.53296388660033926e+01, 8.44341503284351639e-05
 9.00000000000000022e-01,-8.53296511143077367e+01, 8.44314679610007655e-05,-8.53296517680904429e+01, 8.44314113950386325e-05
 1.00000000000000000e+00,-8.53296639912221195e+01, 8.44287321098090000e-05,-8.53296646646659838e+01, 8.44286731595463599e-05
 1.10000000000000009e+00,-8.53296768644414101e+01, 8.44259967403913469e-05,-8.53296775557348468e+01, 8.44259356213774035e-05
 1.20000000000000018e+00,-8.53296897339656226e+01, 8.44232618527265420e-05,-8.53296904413018353e+01, 8.44231987799650237e-05
 1.30000000000000004e+00,-8.53297025997947571e+01, 8.44205274467933081e-05,-8.53297033213717810e+01, 8.44204626347267736e-05
 1.40000000000000013e+00,-8.53297154619287852e+01, 8.44177935225718989e-05,-8.53297161959494730e+01, 8.44177271850944498e-05
 1.50000000000000000e+00,-8.53297283203677353e+01, 8.44150600800394786e-05,-8.53297290650397429e+01, 8.44149924304903894e-05
 1.60000000000000009e+00,-8.53297411751116073e+01, 8.44123271191731976e-05,-8.53297419286473655e+01, 8.44122583703449256e-05
 1.70000000000000018e+00,-8.53297540261603871e+01, 8.44095946399580667e-05,-8.53297547867771584e+01, 8.44095250040836209e-05
 1.80000000000000004e+00,-8.53297668735140746e+01, 8.44068626423649074e-05,-8.53297676394339248e+01, 8.44067923311337320e-05
 1.90000000000000013e+00,-8.53297797171726700e+01, 8.44041311263787712e-05,-8.53297804866224396e+01, 8.44040603509224884e-05
 2.00000000000000000e+00,-8.53297925571361873e+01, 8.44014000919752095e-05,-8.53297933283474919e+01, 8.44013290628819714e-05
 2.10000000000000009e+00,-8.53298053934046266e+01, 8.43986695391313454e-05,-8.53298061646138706e+01, 8.43985984664410912e-05
 2.20000000000000018e+00,-8.53298182259779594e+01, 8.43959394678291000e-05,-8.53298189954263648e+01, 8.43958685610256542e-05
 2.30000000000000027e+00,-8.53298310548562284e+01, 8.43932098780455830e-05,-8.53298318207897353e+01, 8.43931393460694358e-05
 2.40000000000000036e+00,-8.53298438737442098e+01, 8.43904815183045147e-05,-8.53298446407087567e+01, 8.43904108210014547e-05
 2.50000000000000000e+00,-8.53298566841697408e+01, 8.43877542068776189e-05,-8.53298574551882041e+01, 8.43876829852539546e-05
 2.60000000000000009e+00,-8.53298694897263204e+01, 8.43850275164407311e-05,-8.53298702642328522e+01, 8.43849558382561167e-05
 2.70000000000000018e+00,-8.53298822904139058e+01, 8.43823014469689825e-05,-8.53298830678474474e+01, 8.43822293794418250e-05
 2.80000000000000027e+00,-8.53298950862325256e+01, 8.43795759984326929e-05,-8.53298958660367504e+01, 8.43795036082418731e-05
 2.90000000000000036e+00,-8.53299078771821655e+01, 8.43768511708038223e-05,-8.53299086588055218e+01, 8.43767785240902670e-05
 3.00000000000000000e+00,-8.53299206632628398e+01, 8.43741269640543032e-05,-8.53299214461585080e+01, 8.43740541264226252e-05
 3.10000000000000009e+00,-8.53299334444745483e+01, 8.43714033781560956e-05,-8.53299342281004556e+01, 8.43713304146682914e-05
 3.20000000000000018e+00,-8.53299462208172628e+01, 8.43686804130811322e-05,-8.53299470046360966e+01, 8.43686073882645240e-05
 3.30000000000000027e+00,-8.53299589922910258e+01, 8.43659580688013592e-05,-8.53299597757701918e+01, 8.43658850466439059e-05
 3.40000000000000036e+00,-8.53299717588957947e+01, 8.43632363452887228e-05,-8.53299725415074732e+01, 8.43631633892422589e-05
 3.50000000000000000e+00,-8.53299845206315979e+01, 8.43605152425151966e-05,-8.53299853018526591e+01, 8.43604424154969498e-05
 3.60000000000000009e+00,-8.53299972774984354e+01, 8.43577947604526996e-05,-8.53299980568104814e+01, 8.43577221248422555e-05
 3.70000000000000018e+00,-8.53300100294962931e+01, 8.43550748990731780e-05,-8.53300108063856726e+01, 8.43550025167141197e-05
