"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 1.23989963438517164e-06,-9.09069230129006058e+01, 1.23990922559412192e-06,-9.09071196673587423e+01
 1.00000000000000006e-01, 1.23988390185084579e-06,-9.09069296184682543e+01, 1.23989191003817182e-06,-9.09071263172917270e+01
 2.00000000000000011e-01, 1.23986816937450442e-06,-9.09069362240359169e+01, 1.23987458255405960e-06,-9.09071329600966038e+01
 3.00000000000000044e-01, 1.23985243695626634e-06,-9.09069428296035653e+01, 1.23985724281954449e-06,-9.09071395957780197e+01
 4.00000000000000022e-01, 1.23983670459598289e-06,-9.09069494351712279e+01, 1.23983989051081808e-06,-9.09071462243406216e+01
 5.00000000000000000e-01, 1.23982097229377286e-06,-9.09069560407388764e+01, 1.23982252530252994e-06,-9.09071528457890139e+01
 6.00000000000000089e-01, 1.23980524004960641e-06,-9.09069626463065248e+01, 1.23980596201138560e-06,-9.09071594601006439e+01
 7.00000000000000067e-01, 1.23978953508068457e-06,-9.09069692409931491e+01, 1.23978984091745120e-06,-9.09071660672921240e+01
 8.00000000000000044e-01, 1.23977392286521899e-06,-9.09069757986213745e+01, 1.23977373838971710e-06,-9.09071726673821985e+01
 9.00000000000000022e-01, 1.23975831070684385e-06,-9.09069823562496140e+01, 1.23975765451454318e-06,-9.09071792603754432e+01
 1.00000000000000000e+00, 1.23974269860567774e-06,-9.09069889138778535e+01, 1.23974158937956410e-06,-9.09071858462764908e+01
 1.10000000000000009e+00, 1.23972708656166179e-06,-9.09069954715060931e+01, 1.23972554307369756e-06,-9.09071924250899315e+01
 1.20000000000000018e+00, 1.23971147457485551e-06,-9.09070020291343184e+01, 1.23970951568729531e-06,-9.09071989968203411e+01
 1.30000000000000004e+00, 1.23969586264516910e-06,-9.09070085867625579e+01, 1.23969350731188263e-06,-9.09072055614723240e+01
 1.40000000000000013e+00, 1.23968029529824046e-06,-9.09070151268555549e+01, 1.23967751804051861e-06,-9.09072121190504561e+01
 1.50000000000000000e+00, 1.23966479021697991e-06,-9.09070216424491235e+01, 1.23966154796738778e-06,-9.09072186695593416e+01
 1.60000000000000009e+00, 1.23964929709026253e-06,-9.09070281533568760e+01, 1.23964559718815913e-06,-9.09072252130035565e+01
 1.70000000000000018e+00, 1.23963381591795767e-06,-9.09070346595788124e+01, 1.23962966579975505e-06,-9.09072317493876767e+01
 1.80000000000000004e+00, 1.23961834669996432e-06,-9.09070411611149183e+01, 1.23961375390056456e-06,-9.09072382787162638e+01
 1.90000000000000013e+00, 1.23960288943612261e-06,-9.09070476579652080e+01, 1.23959786159021058e-06,-9.09072448009939222e+01
 2.00000000000000000e+00, 1.23958744412630208e-06,-9.09070541501296816e+01, 1.23958198896979221e-06,-9.09072513162251994e+01
 2.10000000000000009e+00, 1.23957201077037209e-06,-9.09070606376083390e+01, 1.23956613614168314e-06,-9.09072578244146712e+01
 2.20000000000000018e+00, 1.23955658936826169e-06,-9.09070671204011660e+01, 1.23955030320968448e-06,-9.09072643255669135e+01
 2.30000000000000027e+00, 1.23954117991975214e-06,-9.09070735985081768e+01, 1.23953449027903035e-06,-9.09072708196864596e+01
 2.40000000000000036e+00, 1.23952578242474285e-06,-9.09070800719293715e+01, 1.23951869745624425e-06,-9.09072773067778854e+01
 2.50000000000000000e+00, 1.23951039688313388e-06,-9.09070865406647499e+01, 1.23950292484920428e-06,-9.09072837868457526e+01
 2.60000000000000009e+00, 1.23949502329473570e-06,-9.09070930047143122e+01, 1.23948717256732531e-06,-9.09072902598945944e+01
 2.70000000000000018e+00, 1.23947966165947801e-06,-9.09070994640780441e+01, 1.23947144072132871e-06,-9.09072967259289868e+01
 2.80000000000000027e+00, 1.23946431197723099e-06,-9.09071059187559598e+01, 1.23945572942336377e-06,-9.09073031849534487e+01
 2.90000000000000036e+00, 1.23944897424783584e-06,-9.09071123687480593e+01, 1.23944003878698521e-06,-9.09073096369725420e+01
 3.00000000000000000e+00, 1.23943366204803256e-06,-9.09071188087978470e+01, 1.23942436892715721e-06,-9.09073160819908139e+01
 3.10000000000000009e+00, 1.23941838328838489e-06,-9.09071252358425568e+01, 1.23940871996031843e-06,-9.09073225200127837e+01
 3.20000000000000018e+00, 1.23940312040426409e-06,-9.09071316566824379e+01, 1.23939309200426849e-06,-9.09073289510429845e+01
 3.30000000000000027e+00, 1.23938787339564538e-06,-9.09071380713174904e+01, 1.23937748517823321e-06,-9.09073353750859781e+01
 3.40000000000000036e+00, 1.23937264226220859e-06,-9.09071444797477426e+01, 1.23936189960292706e-06,-9.09073417921462692e+01
 3.50000000000000000e+00, 1.23935742700386987e-06,-9.09071508819731520e+01, 1.23934633540050130e-06,-9.09073482022283912e+01
 3.60000000000000009e+00, 1.23934222762042803e-06,-9.09071572779937469e+01, 1.23933079269445905e-06,-9.09073546053368631e+01
 3.70000000000000018e+00, 1.23932704411168150e-06,-9.09071636678095274e+01, 1.23931527160995749e-06,-9.09073610014762039e+01
 3.80000000000000027e+00, 1.23931187647751782e-06,-9.09071700514204792e+01, 1.23929977227336734e-06,-9.09073673906509470e+01
 3.90000000000000036e+00, 1.23929672471773645e-06,-9.09071764288266024e+01, 1.23928429481269479e-06,-9.09073737728655971e+01
 4.00000000000000000e+00, 1.23928158883213560e-06,-9.09071828000279254e+01, 1.23926883935740690e-06,-9.09073801481246591e+01
 4.10000000000000053e+00, 1.23926646882063374e-06,-9.09071891650244055e+01, 1.23925340603829066e-06,-9.09073865164326520e+01
 4.20000000000000018e+00, 1.23925136468297061e-06,-9.09071955238160712e+01, 1.23923799498778198e-06,-9.09073928777940807e+01
 4.29999999999999982e+00, 1.23923627641900583e-06,-9.09072018764029224e+01, 1.23922260633970614e-06,-9.09073992322134501e+01
 4.40000000000000036e+00, 1.23922120402856807e-06,-9.09072082227849450e+01, 1.23920724022945967e-06,-9.09074055796952507e+01
 4.50000000000000000e+00, 1.23920614751145807e-06,-9.09072145629621531e+01, 1.23919189679383797e-06,-9.09074119202439874e+01
 4.60000000000000053e+00, 1.23919111062547970e-06,-9.09072208954738272e+01, 1.23917657617115939e-06,-9.09074182538641651e+01
 4.70000000000000018e+00, 1.23917609637708407e-06,-9.09072272191512667e+01, 1.23916127850132859e-06,-9.09074245805602459e+01
 4.80000000000000071e+00, 1.23916109918325193e-06,-9.09072335361645258e+01, 1.23914600392563595e-06,-9.09074309003367489e+01
 4.90000000000000036e+00, 1.23914611904380095e-06,-9.09072398465135905e+01, 1.23913075258693992e-06,-9.09074372131981505e+01
 5.00000000000000000e+00, 1.23913115595854882e-06,-9.09072461501984748e+01, 1.23911552462967107e-06,-9.09074435191489414e+01
 5.10000000000000053e+00, 1.23911620992719568e-06,-9.09072524472191930e+01, 1.23910032019972001e-06,-9.09074498181935837e+01
 5.20000000000000018e+00, 1.23910128094976630e-06,-9.09072587375757166e+01, 1.23908513944453169e-06,-9.09074561103365539e+01
 5.30000000000000071e+00, 1.23908636902593183e-06,-9.09072650212680600e+01, 1.23906998251305048e-06,-9.09074623955823569e+01
 5.40000000000000036e+00, 1.23907147415556966e-06,-9.09072712982962230e+01, 1.23905484955584370e-06,-9.09074686739354263e+01
 5.50000000000000000e+00, 1.23905659633843987e-06,-9.09072775686602057e+01, 1.23903974072493026e-06,-9.09074749454002671e+01
 5.60000000000000053e+00, 1.23904173557442069e-06,-9.09072838323600081e+01, 1.23902465617393355e-06,-9.09074812099813130e+01
 5.70000000000000018e+00, 1.23902689186336072e-06,-9.09072900893956160e+01, 1.23900959605799634e-06,-9.09074874676830547e+01
 5.80000000000000071e+00, 1.23901206520496117e-06,-9.09072963397670577e+01, 1.23899456053393619e-06,-9.09074937185099259e+01
 5.90000000000000036e+00, 1.23899725559913098e-06,-9.09073025834743191e+01, 1.23897954975995346e-06,-9.09074999624664031e+01
 6.00000000000000000e+00, 1.23898246304571938e-06,-9.09073088205173860e+01, 1.23896456389590273e-06,-9.09075061995569484e+01
 6.10000000000000053e+00, 1.23896768754442800e-06,-9.09073150508962868e+01, 1.23894960310335766e-06,-9.09075124297859816e+01
 6.20000000000000018e+00, 1.23895293001606552e-06,-9.09073212741920855e+01, 1.23893466754523149e-06,-9.09075186531579789e+01
 6.30000000000000071e+00, 1.23893819135644783e-06,-9.09073274899971580e+01, 1.23891975738610737e-06,-9.09075248696773883e+01
 6.40000000000000036e+00, 1.23892346994973444e-06,-9.09073336990464753e+01, 1.23890487279233220e-06,-9.09075310793486295e+01
 6.50000000000000000e+00, 1.23890876579583345e-06,-9.09073399013400234e+01, 1.23889001393157911e-06,-9.09075372821761647e+01
 6.60000000000000053e+00, 1.23889407889456401e-06,-9.09073460968777880e+01, 1.23887518097332458e-06,-9.09075434781644276e+01
 6.70000000000000018e+00, 1.23887940924571691e-06,-9.09073522856597975e+01, 1.23886037408855851e-06,-9.09075496673178520e+01
 6.80000000000000071e+00, 1.23886475684911279e-06,-9.09073584676860236e+01, 1.23884559344990833e-06,-9.09075558496408576e+01
 6.90000000000000036e+00, 1.23885012170457103e-06,-9.09073646429564945e+01, 1.23883083923164261e-06,-9.09075620251378780e+01
 7.00000000000000000e+00, 1.23883550381194253e-06,-9.09073708114711820e+01, 1.23881611160958907e-06,-9.09075681938133613e+01
 7.10000000000000053e+00, 1.23882090317101830e-06,-9.09073769732301002e+01, 1.23880141076125745e-06,-9.09075743556717129e+01
 7.20000000000000018e+00, 1.23880631978161919e-06,-9.09073831282332492e+01, 1.23878673686584434e-06,-9.09075805107173522e+01
 7.30000000000000071e+00, 1.23879175364359633e-06,-9.09073892764806288e+01, 1.23877209010400260e-06,-9.09075866589546990e+01
 7.40000000000000036e+00, 1.23877720475671128e-06,-9.09073954179722392e+01, 1.23875747065826042e-06,-9.09075928003881728e+01
 7.50000000000000000e+00, 1.23876267312084589e-06,-9.09074015527080803e+01, 1.23874287871264037e-06,-9.09075989350221789e+01
 7.60000000000000053e+00, 1.23874815873579178e-06,-9.09074076806881521e+01, 1.23872831445281524e-06,-9.09076050628611370e+01
 7.70000000000000018e+00, 1.23873366160137107e-06,-9.09074138019124547e+01, 1.23871377806628912e-06,-9.09076111839094381e+01
 7.80000000000000071e+00, 1.23871918171746519e-06,-9.09074199163809737e+01, 1.23869926974192917e-06,-9.09076172981715160e+01
 7.90000000000000036e+00, 1.23870471908377851e-06,-9.09074260240937377e+01, 1.23868478967062233e-06,-9.09076234056517336e+01
 8.00000000000000000e+00, 1.23869027370025195e-06,-9.09074321250507182e+01, 1.23867033804459932e-06,-9.09076295063545246e+01
 8.09999999999999964e+00, 1.23867584556659012e-06,-9.09074382192519437e+01, 1.23865591505809180e-06,-9.09076356002842516e+01
 8.20000000000000107e+00, 1.23866143468276442e-06,-9.09074443066973856e+01, 1.23864152090671440e-06,-9.09076416874453344e+01
 8.30000000000000071e+00, 1.23864704104844960e-06,-9.09074503873870725e+01, 1.23862715578803480e-06,-9.09076477678421497e+01
 8.40000000000000036e+00, 1.23863266466358805e-06,-9.09074564613209759e+01, 1.23861281990107291e-06,-9.09076538414791031e+01
 8.50000000000000000e+00, 1.23861830552791466e-06,-9.09074625284991100e+01, 1.23859851344681167e-06,-9.09076599083605430e+01
 8.59999999999999964e+00, 1.23860396364131254e-06,-9.09074685889214749e+01, 1.23858423662769745e-06,-9.09076659684908890e+01
 8.70000000000000107e+00, 1.23858963900357648e-06,-9.09074746425880704e+01, 1.23856998964803015e-06,-9.09076720218744896e+01
 8.80000000000000071e+00, 1.23857532628738785e-06,-9.09074806910655155e+01, 1.23855577271379250e-06,-9.09076780685157502e+01
 8.90000000000000036e+00, 1.23856102975386639e-06,-9.09074867331006686e+01, 1.23854158603271237e-06,-9.09076841084190193e+01
 9.00000000000000000e+00, 1.23854675021379434e-06,-9.09074927684550289e+01, 1.23852742981417967e-06,-9.09076901415886738e+01
 9.09999999999999964e+00, 1.23853248766708893e-06,-9.09074987971285680e+01, 1.23851330426934172e-06,-9.09076961680290907e+01
 9.20000000000000107e+00, 1.23851824211346004e-06,-9.09075048191213284e+01, 1.23849920961113583e-06,-9.09077021877446327e+01
 9.30000000000000071e+00, 1.23850401355288543e-06,-9.09075108344332676e+01, 1.23848514605417791e-06,-9.09077082007396626e+01
 9.40000000000000036e+00, 1.23848980198510550e-06,-9.09075168430644140e+01, 1.23847111381491495e-06,-9.09077142070185289e+01
 9.50000000000000000e+00, 1.23847560740992033e-06,-9.09075228450147534e+01, 1.23845711311142300e-06,-9.09077202065856085e+01
 9.60000000000000142e+00, 1.23846142982721855e-06,-9.09075288402843000e+01, 1.23844314416364876e-06,-9.09077261994452357e+01
 9.70000000000000107e+00, 1.23844726923680026e-06,-9.09075348288730396e+01, 1.23842920719326797e-06,-9.09077321856017591e+01
 9.80000000000000071e+00, 1.23843312563855576e-06,-9.09075408107809722e+01, 1.23841530242363008e-06,-9.09077381650595555e+01
 9.90000000000000036e+00, 1.23841899903219622e-06,-9.09075467860081119e+01, 1.23840143008003103e-06,-9.09077441378229452e+01
 1.00000000000000000e+01, 1.23840488941767081e-06,-9.09075527545544446e+01, 1.23838759038942123e-06,-9.09077501038962907e+01
 1.01000000000000014e+01, 1.23839079679472119e-06,-9.09075587164199845e+01, 1.23837378358064845e-06,-9.09077560632839123e+01
 1.02000000000000011e+01, 1.23837672116326774e-06,-9.09075646716047174e+01, 1.23836000988413676e-06,-9.09077620159901727e+01
 1.03000000000000007e+01, 1.23836266252305232e-06,-9.09075706201086433e+01, 1.23834626953233722e-06,-9.09077679620193777e+01
 1.04000000000000004e+01, 1.23834862087399553e-06,-9.09075765619317764e+01, 1.23833256275940445e-06,-9.09077739013758759e+01
 1.05000000000000000e+01, 1.23833459621584008e-06,-9.09075824970741024e+01, 1.23831888980126509e-06,-9.09077798340640015e+01
 1.06000000000000014e+01, 1.23832058854847649e-06,-9.09075884255356215e+01, 1.23830525089570796e-06,-9.09077857600880748e+01
 1.07000000000000011e+01, 1.23830659787170741e-06,-9.09075943473163477e+01, 1.23829164628233222e-06,-9.09077916794524157e+01
 1.08000000000000007e+01, 1.23829262418539497e-06,-9.09076002624162669e+01, 1.23827807620249292e-06,-9.09077975921613586e+01
 1.09000000000000004e+01, 1.23827866748931196e-06,-9.09076061708353933e+01, 1.23826454089951318e-06,-9.09078034982192094e+01
 1.10000000000000000e+01, 1.23826472778337982e-06,-9.09076120725737127e+01, 1.23825104061839369e-06,-9.09078093976302881e+01
 1.11000000000000014e+01, 1.23825080506734274e-06,-9.09076179676312250e+01, 1.23823757560605471e-06,-9.09078152903989150e+01
 1.12000000000000011e+01, 1.23823689934109294e-06,-9.09076238560079446e+01, 1.23822414611128127e-06,-9.09078211765293815e+01
 1.13000000000000007e+01, 1.23822301060446356e-06,-9.09076297377038571e+01, 1.23821075238458144e-06,-9.09078270560260222e+01
 1.14000000000000004e+01, 1.23820913885722865e-06,-9.09076356127189769e+01, 1.23819739467842821e-06,-9.09078329288931286e+01
 1.15000000000000000e+01, 1.23819528409928147e-06,-9.09076414810532896e+01, 1.23818407324711508e-06,-9.09078387951350066e+01
 1.16000000000000014e+01, 1.23818144633045560e-06,-9.09076473427067953e+01, 1.23817078834682312e-06,-9.09078446547559480e+01
 1.17000000000000011e+01, 1.23816762555058459e-06,-9.09076531976794939e+01, 1.23815754023556472e-06,-9.09078505077602586e+01
 1.18000000000000007e+01, 1.23815382175941474e-06,-9.09076590459713998e+01, 1.23814432917327862e-06,-9.09078563541522300e+01
 1.19000000000000004e+01, 1.23814003495686899e-06,-9.09076648875825128e+01, 1.23813115542165712e-06,-9.09078621939361540e+01
 1.20000000000000000e+01, 1.23812626514281160e-06,-9.09076707225128189e+01, 1.23811801924441844e-06,-9.09078680271163364e+01
 1.21000000000000014e+01, 1.23811251231695858e-06,-9.09076765507623179e+01, 1.23810492090713301e-06,-9.09078738536970263e+01
 1.22000000000000011e+01, 1.23809877647929387e-06,-9.09076823723310099e+01, 1.23809186067722970e-06,-9.09078796736825439e+01
 1.23000000000000007e+01, 1.23808505762953347e-06,-9.09076881872189091e+01, 1.23807883882402960e-06,-9.09078854870771380e+01
 1.24000000000000004e+01, 1.23807135576757238e-06,-9.09076939954260013e+01, 1.23806585561872429e-06,-9.09078912938851289e+01
 1.25000000000000000e+01, 1.23805767089321681e-06,-9.09076997969523006e+01, 1.23805291133458333e-06,-9.09078970941107514e+01
 1.26000000000000014e+01, 1.23804400300627302e-06,-9.09077055917977930e+01, 1.23804000624658030e-06,-9.09079028877582971e+01
