"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 5.23656885719677653e-02, 3.18898596096164777e+00, 4.43203237024801674e-06,-9.14202655157609740e+01
 1.00000000000000006e-01, 5.23622283138429415e-02, 3.19467853812698266e+00, 4.43202199140532636e-06,-9.14202640937313333e+01
 2.00000000000000011e-01, 5.23588059504526901e-02, 3.20030669024513248e+00, 4.43201162447334648e-06,-9.14202626697084071e+01
 3.00000000000000044e-01, 5.23554220336180931e-02, 3.20586951548214261e+00, 4.43200126944447665e-06,-9.14202612436934459e+01
 4.00000000000000022e-01, 5.23520765074496908e-02, 3.21136714008936464e+00, 4.43199092631103600e-06,-9.14202598156877286e+01
 5.00000000000000000e-01, 5.23487692975046284e-02, 3.21679971989680125e+00, 4.43198059506550709e-06,-9.14202583856925344e+01
 6.00000000000000089e-01, 5.23455002302067943e-02, 3.22216756127953241e+00, 4.43197027570045807e-06,-9.14202569537091279e+01
 7.00000000000000067e-01, 5.23422693101266087e-02, 3.22747069675697906e+00, 4.43195996820845452e-06,-9.14202555197387454e+01
 8.00000000000000044e-01, 5.23390762705719936e-02, 3.23270957648119106e+00, 4.43194967258174356e-06,-9.14202540837826945e+01
 9.00000000000000022e-01, 5.23359211854607514e-02, 3.23788412438667095e+00, 4.43193938881297716e-06,-9.14202526458421971e+01
 1.00000000000000000e+00, 5.23328037176540167e-02, 3.24299489952930031e+00, 4.43192911689464809e-06,-9.14202512059185466e+01
 1.10000000000000009e+00, 5.23297239985575785e-02, 3.24804173532735918e+00, 4.43191885681924993e-06,-9.14202497640129934e+01
 1.20000000000000018e+00, 5.23266816353292127e-02, 3.25302527714015755e+00, 4.43190860857919834e-06,-9.14202483201268166e+01
 1.30000000000000004e+00, 5.23236768084909681e-02, 3.25794528059839505e+00, 4.43189837216707163e-06,-9.14202468742612524e+01
 1.40000000000000013e+00, 5.23207091754730805e-02, 3.26280231291597911e+00, 4.43188814757545064e-06,-9.14202454264175657e+01
 1.50000000000000000e+00, 5.23177787567106548e-02, 3.26759637679904769e+00, 4.43187793479691790e-06,-9.14202439765970212e+01
 1.60000000000000009e+00, 5.23148854199139007e-02, 3.27232771214393292e+00, 4.43186773382373322e-06,-9.14202425248008979e+01
 1.70000000000000018e+00, 5.23120289835143013e-02, 3.27699663518415951e+00, 4.43185754464864430e-06,-9.14202410710304179e+01
 1.80000000000000004e+00, 5.23092093628918856e-02, 3.28160331011277062e+00, 4.43184736726423961e-06,-9.14202396152868602e+01
 1.90000000000000013e+00, 5.23064264102297352e-02, 3.28614800104638638e+00, 4.43183720166294666e-06,-9.14202381575714895e+01
 2.00000000000000000e+00, 5.23036800031695323e-02, 3.29063093010790908e+00, 4.43182704783727516e-06,-9.14202366978855423e+01
 2.10000000000000009e+00, 5.23009700167267541e-02, 3.29505232395792680e+00, 4.43181690577998128e-06,-9.14202352362302832e+01
 2.20000000000000018e+00, 5.22982963283842930e-02, 3.29941240599645225e+00, 4.43180677548349676e-06,-9.14202337726069629e+01
 2.30000000000000027e+00, 5.22956588090767588e-02, 3.30371140753658787e+00, 4.43179665694042025e-06,-9.14202323070168461e+01
 2.40000000000000036e+00, 5.22930573542441657e-02, 3.30794952620377858e+00, 4.43178655014334697e-06,-9.14202308394611833e+01
 2.50000000000000000e+00, 5.22904918333829336e-02, 3.31212699445466630e+00, 4.43177645508488064e-06,-9.14202293699412110e+01
 2.60000000000000009e+00, 5.22879621173312353e-02, 3.31624404242836279e+00, 4.43176637175762158e-06,-9.14202278984581937e+01
 2.70000000000000018e+00, 5.22854680790555693e-02, 3.32030089688263619e+00, 4.43175630015409303e-06,-9.14202264250133965e+01
 2.80000000000000027e+00, 5.22830095911701459e-02, 3.32429778457525549e+00, 4.43174624026690038e-06,-9.14202249496080412e+01
 2.90000000000000036e+00, 5.22805865357637706e-02, 3.32823492024152445e+00, 4.43173619208865074e-06,-9.14202234722434071e+01
 3.00000000000000000e+00, 5.22781988090454258e-02, 3.33211250092106548e+00, 4.43172615561211637e-06,-9.14202219929207160e+01
 3.10000000000000009e+00, 5.22758462684180594e-02, 3.33593077073019550e+00, 4.43171613082974514e-06,-9.14202205116412330e+01
 3.20000000000000018e+00, 5.22735287880312302e-02, 3.33968995287387660e+00, 4.43170611773423137e-06,-9.14202190284061942e+01
 3.30000000000000027e+00, 5.22712462416998966e-02, 3.34339027055707172e+00, 4.43169611631818978e-06,-9.14202175432168644e+01
 3.40000000000000036e+00, 5.22689985029077056e-02, 3.34703194698474338e+00, 4.43168612657423426e-06,-9.14202160560744801e+01
 3.50000000000000000e+00, 5.22667854640509882e-02, 3.35061518575114592e+00, 4.43167614849506677e-06,-9.14202145669802775e+01
 3.60000000000000009e+00, 5.22646069969229243e-02, 3.35414021112433947e+00, 4.43166618207330541e-06,-9.14202130759355214e+01
 3.70000000000000018e+00, 5.22624629710024963e-02, 3.35760724940220090e+00, 4.43165622730149120e-06,-9.14202115829414481e+01
 3.80000000000000027e+00, 5.22603532605609711e-02, 3.36101652167353571e+00, 4.43164628417257092e-06,-9.14202100879992798e+01
 3.90000000000000036e+00, 5.22582777395548398e-02, 3.36436824902715070e+00, 4.43163635267900850e-06,-9.14202085911102955e+01
