"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 1.21096087502292000e-04,-9.12834835245967327e+01, 2.37148336580838871e-02,-2.84837001074397689e+00
 1.00000000000000006e-01, 1.21093610668600459e-04,-9.12834831548836263e+01, 2.37155180270006913e-02,-2.85097902275402548e+00
 2.00000000000000011e-01, 1.21091133831312429e-04,-9.12834827851705199e+01, 2.37161970857970306e-02,-2.85360576342727246e+00
 3.00000000000000044e-01, 1.21088656990430094e-04,-9.12834824154573994e+01, 2.37168708344649877e-02,-2.85625021041122462e+00
 4.00000000000000022e-01, 1.21086180145949101e-04,-9.12834820457442930e+01, 2.37175392730277802e-02,-2.85891234138120476e+00
 5.00000000000000000e-01, 1.21083703297869425e-04,-9.12834816760311867e+01, 2.37182024015397119e-02,-2.86159213404099200e+00
 6.00000000000000089e-01, 1.21081226446195428e-04,-9.12834813063180803e+01, 2.37188602200860306e-02,-2.86428956612347196e+00
 7.00000000000000067e-01, 1.21078752252579261e-04,-9.12834809224877546e+01, 2.37195127287828586e-02,-2.86700461539125984e+00
 8.00000000000000044e-01, 1.21076278141816210e-04,-9.12834805381984040e+01, 2.37201599277770681e-02,-2.86973725963735316e+00
 9.00000000000000022e-01, 1.21073804027369502e-04,-9.12834801539090392e+01, 2.37208018172462148e-02,-2.87248747668577042e+00
 1.00000000000000000e+00, 1.21071329909226125e-04,-9.12834797696196887e+01, 2.37214383973984068e-02,-2.87525524439218660e+00
 1.10000000000000009e+00, 1.21068855787394807e-04,-9.12834793853303381e+01, 2.37220696684722378e-02,-2.87804054064458681e+00
 1.20000000000000018e+00, 1.21066381661875494e-04,-9.12834790010409733e+01, 2.37226956307366836e-02,-2.88084334336388803e+00
 1.30000000000000004e+00, 1.21063909739213530e-04,-9.12834786050592584e+01, 2.37233162844909806e-02,-2.88366363050459373e+00
 1.40000000000000013e+00, 1.21061438253774022e-04,-9.12834782067407247e+01, 2.37239316300645389e-02,-2.88650138005542845e+00
 1.50000000000000000e+00, 1.21058967066742582e-04,-9.12834778068208550e+01, 2.37245416678168557e-02,-2.88935657003997726e+00
 1.60000000000000009e+00, 1.21056496178101672e-04,-9.12834774052996636e+01, 2.37251463981374110e-02,-2.89222917851733818e+00
 1.70000000000000018e+00, 1.21054025587835829e-04,-9.12834770021771504e+01, 2.37257458214455604e-02,-2.89511918358274345e+00
