"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 1.84082199503320779e-06,-9.06904988812797228e+01, 1.84117952185998131e-06,-9.06905120091177679e+01
 1.00000000000000006e-01, 1.84079771271723931e-06,-9.06905051750023290e+01, 1.84115765253598949e-06,-9.06905183165914934e+01
 2.00000000000000011e-01, 1.84077343046287745e-06,-9.06905114687249352e+01, 1.84113586357939469e-06,-9.06905246179824900e+01
 3.00000000000000044e-01, 1.84074918970772084e-06,-9.06905177518997903e+01, 1.84111415542278997e-06,-9.06905309132945661e+01
 4.00000000000000022e-01, 1.84072506513921578e-06,-9.06905240055154849e+01, 1.84109252850062425e-06,-9.06905372025315302e+01
 5.00000000000000000e-01, 1.84070094063156347e-06,-9.06905302591311937e+01, 1.84107098324920464e-06,-9.06905434856971766e+01
 6.00000000000000089e-01, 1.84067681618486979e-06,-9.06905365127468883e+01, 1.84104952010701720e-06,-9.06905497627953281e+01
 7.00000000000000067e-01, 1.84065269179918557e-06,-9.06905427663625829e+01, 1.84102813951446530e-06,-9.06905560338297505e+01
 8.00000000000000044e-01, 1.84062856747435473e-06,-9.06905490199782776e+01, 1.84100684191398007e-06,-9.06905622988042524e+01
 9.00000000000000022e-01, 1.84060444321048168e-06,-9.06905552735939722e+01, 1.84098562774971023e-06,-9.06905685577226421e+01
 1.00000000000000000e+00, 1.84058040219183291e-06,-9.06905615056784455e+01, 1.84096449746825622e-06,-9.06905748105886858e+01
 1.10000000000000009e+00, 1.84055641963544347e-06,-9.06905677226463638e+01, 1.84094345151778594e-06,-9.06905810574061917e+01
 1.20000000000000018e+00, 1.84053245264618892e-06,-9.06905739356005398e+01, 1.84092249034866616e-06,-9.06905872981789400e+01
 1.30000000000000004e+00, 1.84050850122403410e-06,-9.06905801445409452e+01, 1.84090161441325632e-06,-9.06905935329106967e+01
 1.40000000000000013e+00, 1.84048456536899573e-06,-9.06905863494675941e+01, 1.84088082416591250e-06,-9.06905997616052701e+01
 1.50000000000000000e+00, 1.84046064508082946e-06,-9.06905925503804866e+01, 1.84086012006299023e-06,-9.06906059842664263e+01
 1.60000000000000009e+00, 1.84043674035950033e-06,-9.06905987472796227e+01, 1.84083950256290184e-06,-9.06906122008979452e+01
 1.70000000000000018e+00, 1.84041285120502530e-06,-9.06906049401649881e+01, 1.84081897212585747e-06,-9.06906184115036069e+01
 1.80000000000000004e+00, 1.84038897761721229e-06,-9.06906111290366113e+01, 1.84079852921444320e-06,-9.06906246160871774e+01
 1.90000000000000013e+00, 1.84036511959597406e-06,-9.06906173138944638e+01, 1.84077817429299996e-06,-9.06906308146524225e+01
 2.00000000000000000e+00, 1.84034127714117106e-06,-9.06906234947385741e+01, 1.84075747822983724e-06,-9.06906370071793191e+01
 2.10000000000000009e+00, 1.84031745025287297e-06,-9.06906296715689137e+01, 1.84073373175227524e-06,-9.06906431935215380e+01
 2.20000000000000018e+00, 1.84029363893088750e-06,-9.06906358443854970e+01, 1.84071000504621538e-06,-9.06906493738528638e+01
 2.30000000000000027e+00, 1.84026984317507489e-06,-9.06906420131883237e+01, 1.84068629790112909e-06,-9.06906555481770340e+01
 2.40000000000000036e+00, 1.84024606298550609e-06,-9.06906481779773941e+01, 1.84066261010504215e-06,-9.06906617164977575e+01
 2.50000000000000000e+00, 1.84022229836198797e-06,-9.06906543387526938e+01, 1.84063894144410924e-06,-9.06906678788187719e+01
 2.60000000000000009e+00, 1.84019857745431586e-06,-9.06906604881831413e+01, 1.84061529170329155e-06,-9.06906740351437719e+01
 2.70000000000000018e+00, 1.84017488979347086e-06,-9.06906666289951460e+01, 1.84059166066546109e-06,-9.06906801854764950e+01
 2.80000000000000027e+00, 1.84015122270110956e-06,-9.06906727644904862e+01, 1.84056804811223370e-06,-9.06906863298206218e+01
 2.90000000000000036e+00, 1.84012757617722263e-06,-9.06906788946691620e+01, 1.84054445382344032e-06,-9.06906924681798898e+01
 3.00000000000000000e+00, 1.84010395022153967e-06,-9.06906850195311733e+01, 1.84052087757743700e-06,-9.06906986005579938e+01
