"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.11904975696998785e-06,-9.06253908883296901e+01, 2.12078223133987166e-06,-9.06253314879338348e+01
 1.00000000000000006e-01, 2.11902042096765162e-06,-9.06253970733545628e+01, 2.12075632586560833e-06,-9.06253376707613683e+01
 2.00000000000000011e-01, 2.11899114978607065e-06,-9.06254032369980251e+01, 2.12073024947106574e-06,-9.06253438478157847e+01
 3.00000000000000044e-01, 2.11896192087845310e-06,-9.06254093867081139e+01, 2.12070399931545167e-06,-9.06253500191005372e+01
 4.00000000000000022e-01, 2.11893269206446573e-06,-9.06254155364182168e+01, 2.12067757254122424e-06,-9.06253561846190223e+01
 5.00000000000000000e-01, 2.11890346334435967e-06,-9.06254216861283055e+01, 2.12065096627267016e-06,-9.06253623443746790e+01
 6.00000000000000089e-01, 2.11887423471800958e-06,-9.06254278358384084e+01, 2.12062417761680008e-06,-9.06253684983709178e+01
 7.00000000000000067e-01, 2.11884500618547770e-06,-9.06254339855484972e+01, 2.12059720366299068e-06,-9.06253746466111636e+01
 8.00000000000000044e-01, 2.11881586643504766e-06,-9.06254401140447357e+01, 2.12057004148306472e-06,-9.06253807890988128e+01
 9.00000000000000022e-01, 2.11878678480698593e-06,-9.06254462286606923e+01, 2.12054268813068206e-06,-9.06253869258373044e+01
 1.00000000000000000e+00, 2.11875770327242605e-06,-9.06254523432766348e+01, 2.12051514064242551e-06,-9.06253930568300063e+01
 1.10000000000000009e+00, 2.11872862183124393e-06,-9.06254584578925773e+01, 2.12048739603637316e-06,-9.06253991820803577e+01
 1.20000000000000018e+00, 2.11869954048350182e-06,-9.06254645725085197e+01, 2.12045945131331181e-06,-9.06254053015917407e+01
 1.30000000000000004e+00, 2.11867045922926157e-06,-9.06254706871244622e+01, 2.12043130345587547e-06,-9.06254114153675516e+01
 1.40000000000000013e+00, 2.11864147665912211e-06,-9.06254767806873076e+01, 2.12040294942881176e-06,-9.06254175234112012e+01
 1.50000000000000000e+00, 2.11861255895166730e-06,-9.06254828604191687e+01, 2.12037438617888034e-06,-9.06254236257260573e+01
 1.60000000000000009e+00, 2.11858364133685969e-06,-9.06254889401510297e+01, 2.12034561063492649e-06,-9.06254297223155163e+01
 1.70000000000000018e+00, 2.11855472381463744e-06,-9.06254950198828908e+01, 2.12031661970759321e-06,-9.06254358131829605e+01
 1.80000000000000004e+00, 2.11852580638518817e-06,-9.06255010996147377e+01, 2.12028741028926950e-06,-9.06254418983317862e+01
 1.90000000000000013e+00, 2.11849688904826072e-06,-9.06255071793465987e+01, 2.12025797925461555e-06,-9.06254479777653614e+01
 2.00000000000000000e+00, 2.11846808718289780e-06,-9.06255132359458884e+01, 2.12022832345976226e-06,-9.06254540514870683e+01
 2.10000000000000009e+00, 2.11843937682005328e-06,-9.06255192742180213e+01, 2.12019843974270728e-06,-9.06254601195002607e+01
