"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 4.66485101363359274e-08,-9.12287964413309140e+01, 1.36029264030095784e-02,-2.59842540378463305e+00
 1.00000000000000006e-01, 4.66485695568523317e-08,-9.12287965518872994e+01, 1.36030794661640055e-02,-2.59977290412141793e+00
 2.00000000000000011e-01, 4.66486289773806342e-08,-9.12287966624436706e+01, 1.36032348508638712e-02,-2.60113911441007195e+00
 3.00000000000000044e-01, 4.66486883979174798e-08,-9.12287967730000560e+01, 1.36033925540648415e-02,-2.60252401197855532e+00
 4.00000000000000022e-01, 4.66487478184653765e-08,-9.12287968835564271e+01, 1.36035525727188061e-02,-2.60392757415230225e+00
 5.00000000000000000e-01, 4.66488072390226568e-08,-9.12287969941128125e+01, 1.36037149037739787e-02,-2.60534977825481340e+00
 6.00000000000000089e-01, 4.66488668966252043e-08,-9.12287971009091621e+01, 1.36038795441749700e-02,-2.60679060160825538e+00
 7.00000000000000067e-01, 4.66489272940816895e-08,-9.12287971959696051e+01, 1.36040464908628953e-02,-2.60825002153404473e+00
 8.00000000000000044e-01, 4.66489876915497354e-08,-9.12287972910300482e+01, 1.36042157407754421e-02,-2.60972801535344834e+00
 9.00000000000000022e-01, 4.66490480890301625e-08,-9.12287973860904913e+01, 1.36043872908469931e-02,-2.61122456038817319e+00
 1.00000000000000000e+00, 4.66491084865238245e-08,-9.12287974811509343e+01, 1.36045611380086872e-02,-2.61273963396096010e+00
 1.10000000000000009e+00, 4.66491688840290273e-08,-9.12287975762113774e+01, 1.36047372791885078e-02,-2.61427321339618279e+00
 1.20000000000000018e+00, 4.66492294204444240e-08,-9.12287976649931096e+01, 1.36049157113114026e-02,-2.61582527602043147e+00
 1.30000000000000004e+00, 4.66492901334962268e-08,-9.12287977457908283e+01, 1.36050964312993405e-02,-2.61739579916311227e+00
 1.40000000000000013e+00, 4.66493508860255089e-08,-9.12287978248046585e+01, 1.36052794360489084e-02,-2.61898475994286972e+00
 1.50000000000000000e+00, 4.66494116780334548e-08,-9.12287979020346143e+01, 1.36054647223537925e-02,-2.62059213452948825e+00
 1.60000000000000009e+00, 4.66494725095187211e-08,-9.12287979774806956e+01, 1.36056522872351378e-02,-2.62221790128743493e+00
 1.70000000000000018e+00, 4.66495333804833329e-08,-9.12287980511428742e+01, 1.36058421275997692e-02,-2.62386203752331193e+00
 1.80000000000000004e+00, 4.66495942909251261e-08,-9.12287981230211926e+01, 1.36060342403517207e-02,-2.62552452054711027e+00
 1.90000000000000013e+00, 4.66496552408477868e-08,-9.12287981931156224e+01, 1.36062286223923683e-02,-2.62720532767273829e+00
 2.00000000000000000e+00, 4.66497162302499583e-08,-9.12287982614261637e+01, 1.36064252706204619e-02,-2.62890443621855363e+00
 2.10000000000000009e+00, 4.66497772591303238e-08,-9.12287983279528305e+01, 1.36066241819322465e-02,-2.63062182350789975e+00
 2.20000000000000018e+00, 4.66498383274917287e-08,-9.12287983926956230e+01, 1.36068253532215210e-02,-2.63235746686962813e+00
 2.30000000000000027e+00, 4.66498994353345173e-08,-9.12287984556545268e+01, 1.36070287813797302e-02,-2.63411134363863564e+00
 2.40000000000000036e+00, 4.66499605826573262e-08,-9.12287985168295421e+01, 1.36072344632960519e-02,-2.63588343115639612e+00
 2.50000000000000000e+00, 4.66500217694621870e-08,-9.12287985762206830e+01, 1.36074423958574657e-02,-2.63767370677148705e+00
 2.60000000000000009e+00, 4.66500829226066600e-08,-9.12287986318710296e+01, 1.36076525759488524e-02,-2.63948214784013135e+00
 2.70000000000000018e+00, 4.66501440152505672e-08,-9.12287986830623936e+01, 1.36078650004530580e-02,-2.64130873172671654e+00
 2.80000000000000027e+00, 4.66502051256688124e-08,-9.12287987318890998e+01, 1.36080796662509853e-02,-2.64315343580433382e+00
 2.90000000000000036e+00, 4.66502662538626527e-08,-9.12287987783511198e+01, 1.36082965702216847e-02,-2.64501623745530656e+00
 3.00000000000000000e+00, 4.66503273998341860e-08,-9.12287988224484536e+01, 1.36085157092424181e-02,-2.64689711407172190e+00
 3.10000000000000009e+00, 4.66503885635812880e-08,-9.12287988641811154e+01, 1.36087370801887472e-02,-2.64879604305596850e+00
 3.20000000000000018e+00, 4.66504497451043757e-08,-9.12287989035491051e+01, 1.36089606799346258e-02,-2.65071300182125746e+00
 3.30000000000000027e+00, 4.66505109444046996e-08,-9.12287989405524087e+01, 1.36091865052136683e-02,-2.65264796673795367e+00
