"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.13393396474835105e-06,-9.05467788136510308e+01, 2.13420388563733962e-06,-9.05467365314402315e+01
 1.00000000000000006e-01, 2.13390429555624318e-06,-9.05467849911520801e+01, 2.13417477538063365e-06,-9.05467427102904452e+01
 2.00000000000000011e-01, 2.13387473111527646e-06,-9.05467911451008121e+01, 2.13414567934498025e-06,-9.05467488833829321e+01
 3.00000000000000044e-01, 2.13384520084055555e-06,-9.05467972913813952e+01, 2.13411659732597342e-06,-9.05467550507214156e+01
 4.00000000000000022e-01, 2.13381567065709565e-06,-9.05468034376619784e+01, 2.13408752911795654e-06,-9.05467612123095762e+01
 5.00000000000000000e-01, 2.13378614056483283e-06,-9.05468095839425757e+01, 2.13405847451402105e-06,-9.05467673681511513e+01
 6.00000000000000089e-01, 2.13375661056376708e-06,-9.05468157302231589e+01, 2.13402943330644865e-06,-9.05467735182498501e+01
 7.00000000000000067e-01, 2.13372713645831065e-06,-9.05468218650679120e+01, 2.13400040528639276e-06,-9.05467796626093815e+01
 8.00000000000000044e-01, 2.13369775837016538e-06,-9.05468279802546334e+01, 2.13397139024393533e-06,-9.05467858012334403e+01
 9.00000000000000022e-01, 2.13366838037250102e-06,-9.05468340954413549e+01, 2.13394238796808765e-06,-9.05467919341257499e+01
 1.00000000000000000e+00, 2.13363900246519009e-06,-9.05468402106280905e+01, 2.13391339824678699e-06,-9.05467980612900192e+01
 1.10000000000000009e+00, 2.13360962464842444e-06,-9.05468463258148120e+01, 2.13388442086689062e-06,-9.05468041827299430e+01
 1.20000000000000018e+00, 2.13358024692213927e-06,-9.05468524410015334e+01, 2.13385545561417798e-06,-9.05468102984492305e+01
 1.30000000000000004e+00, 2.13355102149684739e-06,-9.05468585258009711e+01, 2.13382650227334559e-06,-9.05468164084515905e+01
 1.40000000000000013e+00, 2.13352179908048335e-06,-9.05468646100175931e+01, 2.13379756062819463e-06,-9.05468225127407038e+01
 1.50000000000000000e+00, 2.13349257675353931e-06,-9.05468706942342294e+01, 2.13376863046105500e-06,-9.05468286113202936e+01
