"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.35026948867809819e-06,-9.07663368734388740e+01, 2.34980195710177539e-06,-9.07666332259116189e+01
 1.00000000000000006e-01, 2.35023410611932303e-06,-9.07663438732750336e+01, 2.34976923211146628e-06,-9.07666402683821616e+01
 2.00000000000000011e-01, 2.35019872377422463e-06,-9.07663508731112074e+01, 2.34973660253355424e-06,-9.07666473030782583e+01
 3.00000000000000044e-01, 2.35016334164291227e-06,-9.07663578729473670e+01, 2.34970406855250272e-06,-9.07666543300050250e+01
 4.00000000000000022e-01, 2.35012795972538678e-06,-9.07663648727835266e+01, 2.34967163035149785e-06,-9.07666613491675633e+01
 5.00000000000000000e-01, 2.35009257802159228e-06,-9.07663718726197004e+01, 2.34963928811205581e-06,-9.07666683605709892e+01
 6.00000000000000089e-01, 2.35005720642039531e-06,-9.07663788703077330e+01, 2.34960704201444641e-06,-9.07666753642204043e+01
 7.00000000000000067e-01, 2.35002203657762040e-06,-9.07663858242142823e+01, 2.34957489223751810e-06,-9.07666823601209103e+01
 8.00000000000000044e-01, 2.34998686694646525e-06,-9.07663927781208173e+01, 2.34954283895841469e-06,-9.07666893482775805e+01
 9.00000000000000022e-01, 2.34995169752681972e-06,-9.07663997320273523e+01, 2.34951088235288705e-06,-9.07666963286955450e+01
 1.00000000000000000e+00, 2.34991652831868468e-06,-9.07664066859339016e+01, 2.34947902259534266e-06,-9.07667033013798630e+01
 1.10000000000000009e+00, 2.34988135932211348e-06,-9.07664136398404366e+01, 2.34944725985849830e-06,-9.07667102663356218e+01
 1.20000000000000018e+00, 2.34984620648295790e-06,-9.07664205902925545e+01, 2.34941559431353934e-06,-9.07667172235679232e+01
 1.30000000000000004e+00, 2.34981122128231638e-06,-9.07664275044740947e+01, 2.34938402613032214e-06,-9.07667241730818120e+01
 1.40000000000000013e+00, 2.34977625988815968e-06,-9.07664344135437062e+01, 2.34935255547692726e-06,-9.07667311148824041e+01
 1.50000000000000000e+00, 2.34974132230011807e-06,-9.07664413175013749e+01, 2.34932118251997370e-06,-9.07667380489747444e+01
 1.60000000000000009e+00, 2.34970640851782182e-06,-9.07664482163471007e+01, 2.34928990742466380e-06,-9.07667449753638920e+01
 1.70000000000000018e+00, 2.34967151854095415e-06,-9.07664551100808978e+01, 2.34925873035427969e-06,-9.07667518940549343e+01
 1.80000000000000004e+00, 2.34963665236914701e-06,-9.07664619987027521e+01, 2.34922765147077025e-06,-9.07667588050529304e+01
 1.90000000000000013e+00, 2.34960181000186508e-06,-9.07664688822126777e+01, 2.34919667093441486e-06,-9.07667657083629251e+01
 2.00000000000000000e+00, 2.34956699143895802e-06,-9.07664757606106605e+01, 2.34916578890391786e-06,-9.07667726039899776e+01
 2.10000000000000009e+00, 2.34953219667994810e-06,-9.07664826338967003e+01, 2.34913500553628993e-06,-9.07667794919391326e+01
 2.20000000000000018e+00, 2.34949742572441010e-06,-9.07664895020708116e+01, 2.34910432098688961e-06,-9.07667863722154493e+01
 2.30000000000000027e+00, 2.34946267857208568e-06,-9.07664963651329799e+01, 2.34907373540946653e-06,-9.07667932448239725e+01
 2.40000000000000036e+00, 2.34942795522266017e-06,-9.07665032230832054e+01, 2.34904324895620496e-06,-9.07668001097697328e+01
 2.50000000000000000e+00, 2.34939325567549152e-06,-9.07665100759215022e+01, 2.34901286177743886e-06,-9.07668069670577609e+01
 2.60000000000000009e+00, 2.34935857993053991e-06,-9.07665169236478562e+01, 2.34898257402191145e-06,-9.07668138166931016e+01
 2.70000000000000018e+00, 2.34932397070805858e-06,-9.07665237569951415e+01, 2.34895238583660200e-06,-9.07668206586807855e+01
 2.80000000000000027e+00, 2.34928940707095331e-06,-9.07665305805049059e+01, 2.34892229736687788e-06,-9.07668274930258434e+01
 2.90000000000000036e+00, 2.34925487489869443e-06,-9.07665373972400999e+01, 2.34889230875637090e-06,-9.07668343197332774e+01
 3.00000000000000000e+00, 2.34922037419074154e-06,-9.07665442072007380e+01, 2.34886242014691418e-06,-9.07668411388081324e+01
 3.10000000000000009e+00, 2.34918590494660802e-06,-9.07665510103868058e+01, 2.34883263167863789e-06,-9.07668479502554106e+01
 3.20000000000000018e+00, 2.34915146716575431e-06,-9.07665578067983319e+01, 2.34880294348984894e-06,-9.07668547540801285e+01
 3.30000000000000027e+00, 2.34911706084780516e-06,-9.07665645964352876e+01, 2.34877335571729278e-06,-9.07668615502872882e+01
 3.40000000000000036e+00, 2.34908268599222103e-06,-9.07665713792976732e+01, 2.34874386849570142e-06,-9.07668683388819062e+01
 3.50000000000000000e+00, 2.34904834259846277e-06,-9.07665781553855169e+01, 2.34871448195806157e-06,-9.07668751198689847e+01
 3.60000000000000009e+00, 2.34901403066615599e-06,-9.07665849246987904e+01, 2.34868519623565149e-06,-9.07668818932535117e+01
 3.70000000000000018e+00, 2.34897975019470736e-06,-9.07665916872375078e+01, 2.34865601145792067e-06,-9.07668886590405037e+01
 3.80000000000000027e+00, 2.34894550118374375e-06,-9.07665984430016550e+01, 2.34862692775242763e-06,-9.07668954172349345e+01
 3.90000000000000036e+00, 2.34891128363267223e-06,-9.07666051919912462e+01, 2.34859794524493219e-06,-9.07669021678417920e+01
 4.00000000000000000e+00, 2.34887709754112054e-06,-9.07666119342062814e+01, 2.34856906405927903e-06,-9.07669089108660785e+01
 4.10000000000000053e+00, 2.34884294938266207e-06,-9.07666186682089062e+01, 2.34854028431760269e-06,-9.07669156463127536e+01
 4.20000000000000018e+00, 2.34880884467017730e-06,-9.07666253927745998e+01, 2.34851160614003912e-06,-9.07669223741868194e+01
 4.29999999999999982e+00, 2.34877477370574164e-06,-9.07666321100570883e+01, 2.34848302964477609e-06,-9.07669290944932357e+01
 4.40000000000000036e+00, 2.34874073648889431e-06,-9.07666388200563716e+01, 2.34845455494830859e-06,-9.07669358072369903e+01
 4.50000000000000000e+00, 2.34870673301895641e-06,-9.07666455227724640e+01, 2.34842618216504663e-06,-9.07669425124230287e+01
 4.60000000000000053e+00, 2.34867276329563191e-06,-9.07666522182053370e+01, 2.34839791140763120e-06,-9.07669492100563389e+01
 4.70000000000000018e+00, 2.34863882731824359e-06,-9.07666589063550049e+01, 2.34836974278659669e-06,-9.07669559001418804e+01
 4.80000000000000071e+00, 2.34860492508627562e-06,-9.07666655872214818e+01, 2.34834167641073773e-06,-9.07669625826845845e+01
 4.90000000000000036e+00, 2.34857105659932651e-06,-9.07666722608047394e+01, 2.34831371238671777e-06,-9.07669692576894391e+01
 5.00000000000000000e+00, 2.34853722185677199e-06,-9.07666789271048060e+01, 2.34828585081922163e-06,-9.07669759251613897e+01
 5.10000000000000053e+00, 2.34850342085826477e-06,-9.07666855861216533e+01, 2.34825809181115956e-06,-9.07669825851053673e+01
 5.20000000000000018e+00, 2.34846965360307303e-06,-9.07666922378553096e+01, 2.34823043546327683e-06,-9.07669892375263316e+01
 5.30000000000000071e+00, 2.34843592009079484e-06,-9.07666988823057608e+01, 2.34820288187446664e-06,-9.07669958824292138e+01
 5.40000000000000036e+00, 2.34840222032097365e-06,-9.07667055194730068e+01, 2.34817543114126831e-06,-9.07670025198189734e+01
 5.50000000000000000e+00, 2.34836855442383655e-06,-9.07667121493212647e+01, 2.34814808335862067e-06,-9.07670091497005274e+01
 5.60000000000000053e+00, 2.34833492691225352e-06,-9.07667187706162650e+01, 2.34812083861913874e-06,-9.07670157720788069e+01
 5.70000000000000018e+00, 2.34830133354095515e-06,-9.07667253845188355e+01, 2.34809369701364985e-06,-9.07670223869587431e+01
 5.80000000000000071e+00, 2.34826777430926128e-06,-9.07667319910289763e+01, 2.34806665863057874e-06,-9.07670289943452673e+01
 5.90000000000000036e+00, 2.34823424921682335e-06,-9.07667385901467014e+01, 2.34803972355659594e-06,-9.07670355942432963e+01
 6.00000000000000000e+00, 2.34820075826301794e-06,-9.07667451818719968e+01, 2.34801289187605364e-06,-9.07670421866577612e+01
 6.10000000000000053e+00, 2.34816730144733175e-06,-9.07667517662048766e+01, 2.34798616367136266e-06,-9.07670487715935508e+01
 6.20000000000000018e+00, 2.34813387876930654e-06,-9.07667583431453266e+01, 2.34795953902275690e-06,-9.07670553490555960e+01
 6.30000000000000071e+00, 2.34810049022848533e-06,-9.07667649126933469e+01, 2.34793301800839338e-06,-9.07670619190487997e+01
 6.40000000000000036e+00, 2.34806713582424725e-06,-9.07667714748489374e+01, 2.34790660070417725e-06,-9.07670684815780646e+01
 6.50000000000000000e+00, 2.34803381555613405e-06,-9.07667780296121123e+01, 2.34788028718407653e-06,-9.07670750366482935e+01
 6.60000000000000053e+00, 2.34800052942358076e-06,-9.07667845769828574e+01, 2.34785407751983869e-06,-9.07670815842643890e+01
 6.70000000000000018e+00, 2.34796727742618632e-06,-9.07667911169611727e+01, 2.34782797178081247e-06,-9.07670881244312397e+01
 6.80000000000000071e+00, 2.34793405956333026e-06,-9.07667976495470725e+01, 2.34780197003448562e-06,-9.07670946571537485e+01
 6.90000000000000036e+00, 2.34790087583450310e-06,-9.07668041747405425e+01, 2.34777607234603309e-06,-9.07671011824367895e+01
 7.00000000000000000e+00, 2.34786772623930505e-06,-9.07668106925415969e+01, 2.34775027877830982e-06,-9.07671077002852655e+01
 7.10000000000000053e+00, 2.34783461077706228e-06,-9.07668172029502216e+01, 2.34772458939221578e-06,-9.07671142107040367e+01
 7.20000000000000018e+00, 2.34780152944743005e-06,-9.07668237059664165e+01, 2.34769900424624960e-06,-9.07671207136979916e+01
 7.30000000000000071e+00, 2.34776848224984636e-06,-9.07668302015901816e+01, 2.34767352339661066e-06,-9.07671272092720187e+01
 7.40000000000000036e+00, 2.34773546918374665e-06,-9.07668366898215311e+01, 2.34764814689750651e-06,-9.07671336974309639e+01
 7.50000000000000000e+00, 2.34770249024868074e-06,-9.07668431706604508e+01, 2.34762287480065657e-06,-9.07671401781797016e+01
 7.60000000000000053e+00, 2.34766954544413870e-06,-9.07668496441069408e+01, 2.34759770715549494e-06,-9.07671466515231202e+01
 7.70000000000000018e+00, 2.34763663476956066e-06,-9.07668561101610152e+01, 2.34757264400932589e-06,-9.07671531174660657e+01
 7.80000000000000071e+00, 2.34760375646943820e-06,-9.07668625690693602e+01, 2.34754768540714422e-06,-9.07671595760133840e+01
 7.90000000000000036e+00, 2.34757090368485260e-06,-9.07668690217959977e+01, 2.34752283139151927e-06,-9.07671660271699494e+01
 8.00000000000000000e+00, 2.34753808455059010e-06,-9.07668754671974369e+01, 2.34749808200274142e-06,-9.07671724709406078e+01
 8.09999999999999964e+00, 2.34750529906604509e-06,-9.07668819052736922e+01, 2.34747343727887042e-06,-9.07671789073302051e+01
 8.20000000000000107e+00, 2.34747254723072163e-06,-9.07668883360247776e+01, 2.34744889725544691e-06,-9.07671853363436014e+01
 8.30000000000000071e+00, 2.34743982904423515e-06,-9.07668947594506648e+01, 2.34742446196591981e-06,-9.07671917579856142e+01
 8.40000000000000036e+00, 2.34740714450603553e-06,-9.07669011755513679e+01, 2.34740013144114060e-06,-9.07671981722611037e+01
 8.50000000000000000e+00, 2.34737449361551881e-06,-9.07669075843269013e+01, 2.34737590570962759e-06,-9.07672045791748872e+01
 8.59999999999999964e+00, 2.34734187637241141e-06,-9.07669139857772365e+01, 2.34735178479760834e-06,-9.07672109787318107e+01
 8.70000000000000107e+00, 2.34730929277605476e-06,-9.07669203799023876e+01, 2.34732776872873155e-06,-9.07672173709367058e+01
 8.80000000000000071e+00, 2.34727674282601009e-06,-9.07669267667023547e+01, 2.34730385752444201e-06,-9.07672237557943902e+01
 8.90000000000000036e+00, 2.34724422652173066e-06,-9.07669331461771378e+01, 2.34728005120369418e-06,-9.07672301333096812e+01
 9.00000000000000000e+00, 2.34721174386272432e-06,-9.07669395183267511e+01, 2.34725634978288408e-06,-9.07672365034874105e+01
 9.09999999999999964e+00, 2.34717929484860738e-06,-9.07669458831511662e+01, 2.34723275327611481e-06,-9.07672428663323956e+01
 9.20000000000000107e+00, 2.34714687947883477e-06,-9.07669522406503972e+01, 2.34720926169501613e-06,-9.07672492218494398e+01
 9.30000000000000071e+00, 2.34711449775285931e-06,-9.07669585908244443e+01, 2.34718587504868264e-06,-9.07672555700433463e+01
 9.40000000000000036e+00, 2.34708214967030110e-06,-9.07669649336733073e+01, 2.34716259334365809e-06,-9.07672619109189327e+01
 9.50000000000000000e+00, 2.34704983523055874e-06,-9.07669712691969863e+01, 2.34713941658414503e-06,-9.07672682444810164e+01
 9.60000000000000142e+00, 2.34701755443314309e-06,-9.07669775973954813e+01, 2.34711634477188327e-06,-9.07672745707343580e+01
 9.70000000000000107e+00, 2.34698530727767381e-06,-9.07669839182687923e+01, 2.34709337790586272e-06,-9.07672808896837893e+01
 9.80000000000000071e+00, 2.34695309376355121e-06,-9.07669902318169193e+01, 2.34707051598269949e-06,-9.07672872013340992e+01
 9.90000000000000036e+00, 2.34692091389034246e-06,-9.07669965380398622e+01, 2.34704775899645375e-06,-9.07672935056900627e+01
 1.00000000000000000e+01, 2.34688876765750291e-06,-9.07670028369376212e+01, 2.34702510693862299e-06,-9.07672998027564688e+01
 1.01000000000000014e+01, 2.34685665506465479e-06,-9.07670091285101961e+01, 2.34700255979818308e-06,-9.07673060925381066e+01
 1.02000000000000011e+01, 2.34682457611119967e-06,-9.07670154127575870e+01, 2.34698011756146586e-06,-9.07673123750397650e+01
 1.03000000000000007e+01, 2.34679253079670599e-06,-9.07670216896797939e+01, 2.34695778021225999e-06,-9.07673186502662048e+01
 1.04000000000000004e+01, 2.34676051912063163e-06,-9.07670279592768168e+01, 2.34693554773163129e-06,-9.07673249182222150e+01
 1.05000000000000000e+01, 2.34672854108254463e-06,-9.07670342215486556e+01, 2.34691342009835440e-06,-9.07673311789125563e+01
 1.06000000000000014e+01, 2.34669659668201299e-06,-9.07670404764953105e+01, 2.34689139728818301e-06,-9.07673374323419893e+01
 1.07000000000000011e+01, 2.34666468591838660e-06,-9.07670467241167813e+01, 2.34686947927449994e-06,-9.07673436785153029e+01
 1.08000000000000007e+01, 2.34663280879139909e-06,-9.07670529644130539e+01, 2.34684766602791824e-06,-9.07673499174372296e+01
 1.09000000000000004e+01, 2.34660096530034572e-06,-9.07670591973841567e+01, 2.34682595751655008e-06,-9.07673561491125440e+01
 1.10000000000000000e+01, 2.34656915544485210e-06,-9.07670654230300755e+01, 2.34680435370560146e-06,-9.07673623735460069e+01
 1.11000000000000014e+01, 2.34653737922443331e-06,-9.07670716413508103e+01, 2.34678285455780887e-06,-9.07673685907423504e+01
 1.12000000000000011e+01, 2.34650563663866031e-06,-9.07670778523463468e+01, 2.34676146003314660e-06,-9.07673748007063352e+01
 1.13000000000000007e+01, 2.34647392768688429e-06,-9.07670840560167136e+01, 2.34674017008876327e-06,-9.07673810034427078e+01
 1.14000000000000004e+01, 2.34644225236867708e-06,-9.07670902523618963e+01, 2.34671898467935574e-06,-9.07673871989562002e+01
 1.15000000000000000e+01, 2.34641061068366511e-06,-9.07670964413818950e+01, 2.34669790375665711e-06,-9.07673933872515590e+01
 1.16000000000000014e+01, 2.34637900263136687e-06,-9.07671026230766955e+01, 2.34667692726970902e-06,-9.07673995683335164e+01
 1.17000000000000011e+01, 2.34634742821113480e-06,-9.07671087974463262e+01, 2.34665605516489514e-06,-9.07674057422068188e+01
 1.18000000000000007e+01, 2.34631588742259661e-06,-9.07671149644907729e+01, 2.34663528738571710e-06,-9.07674119088761699e+01
 1.19000000000000004e+01, 2.34628438026532626e-06,-9.07671211242100213e+01, 2.34661462387310791e-06,-9.07674180683463021e+01
 1.20000000000000000e+01, 2.34625289966983897e-06,-9.07671272778079015e+01, 2.34659406456481996e-06,-9.07674242206219617e+01
 1.21000000000000014e+01, 2.34622141824530165e-06,-9.07671334299489843e+01, 2.34657360939628732e-06,-9.07674303657078383e+01
 1.22000000000000011e+01, 2.34618996929615619e-06,-9.07671395749615471e+01, 2.34655325829979394e-06,-9.07674365036086641e+01
 1.23000000000000007e+01, 2.34615855282183083e-06,-9.07671457128456183e+01, 2.34653301120495603e-06,-9.07674426343291572e+01
