"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.12863153820334814e-06,-9.06258423203541241e+01, 2.12588394666798484e-06,-9.06257865500555226e+01
 1.00000000000000006e-01, 2.12860313579771856e-06,-9.06258485116456143e+01, 2.12584736174557471e-06,-9.06257927386458135e+01
 2.00000000000000011e-01, 2.12857439125451583e-06,-9.06258546970695704e+01, 2.12581097954753158e-06,-9.06257989214652895e+01
 3.00000000000000044e-01, 2.12854526290643421e-06,-9.06258608486831179e+01, 2.12577480848080907e-06,-9.06258050985178585e+01
 4.00000000000000022e-01, 2.12851609578510179e-06,-9.06258669968737820e+01, 2.12573885708829520e-06,-9.06258112698074143e+01
 5.00000000000000000e-01, 2.12848692875417743e-06,-9.06258731450644461e+01, 2.12570313404975214e-06,-9.06258174353378365e+01
 6.00000000000000089e-01, 2.12845776181359761e-06,-9.06258792932551103e+01, 2.12566764818200429e-06,-9.06258235951130473e+01
 7.00000000000000067e-01, 2.12842859496336317e-06,-9.06258854414457886e+01, 2.12563240844025200e-06,-9.06258297491369404e+01
 8.00000000000000044e-01, 2.12839942820353595e-06,-9.06258915896364527e+01, 2.12559742391882502e-06,-9.06258358974134239e+01
 9.00000000000000022e-01, 2.12837027321662812e-06,-9.06258977172331583e+01, 2.12556270385187368e-06,-9.06258420399464057e+01
 1.00000000000000000e+00, 2.12834112763593055e-06,-9.06259038284118503e+01, 2.12552825761430274e-06,-9.06258481767397797e+01
 1.10000000000000009e+00, 2.12831198214844344e-06,-9.06259099395905423e+01, 2.12549409472227620e-06,-9.06258543077974821e+01
 1.20000000000000018e+00, 2.12828283675404187e-06,-9.06259160507692485e+01, 2.12546022483447139e-06,-9.06258604331234210e+01
 1.30000000000000004e+00, 2.12825369145284992e-06,-9.06259221619479405e+01, 2.12542665775276331e-06,-9.06258665527215044e+01
 1.40000000000000013e+00, 2.12822454624493240e-06,-9.06259282731266325e+01, 2.12539340342279259e-06,-9.06258726665956544e+01
 1.50000000000000000e+00, 2.12819542998265907e-06,-9.06259343767702745e+01, 2.12536047193496543e-06,-9.06258787747498076e+01
 1.60000000000000009e+00, 2.12816642587153960e-06,-9.06259404511491624e+01, 2.12532787352539209e-06,-9.06258848771878718e+01
