"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.47447061460655363e-06,-9.10123504366741685e+01, 2.47443452326116562e-06,-9.10127794213701833e+01
 1.00000000000000006e-01, 2.47441287070840359e-06,-9.10123600150358101e+01, 2.47437615039875480e-06,-9.10127890035170566e+01
 2.00000000000000011e-01, 2.47435504153814570e-06,-9.10123695609178043e+01, 2.47431785719701949e-06,-9.10127985754892848e+01
 3.00000000000000044e-01, 2.47429721299666155e-06,-9.10123791067998127e+01, 2.47425964363130509e-06,-9.10128081372935753e+01
 4.00000000000000022e-01, 2.47423938536281301e-06,-9.10123886526044146e+01, 2.47420150967866337e-06,-9.10128176889366074e+01
 5.00000000000000000e-01, 2.47418166746282987e-06,-9.10123981681343110e+01, 2.47414345531728916e-06,-9.10128272304250743e+01
 6.00000000000000089e-01, 2.47412395018982094e-06,-9.10124076836642075e+01, 2.47408548052669695e-06,-9.10128367617656409e+01
 7.00000000000000067e-01, 2.47406623506883898e-06,-9.10124171989651103e+01, 2.47402758528777516e-06,-9.10128462829649862e+01
 8.00000000000000044e-01, 2.47400885527112295e-06,-9.10124266640066395e+01, 2.47396976958296182e-06,-9.10128557940297611e+01
 9.00000000000000022e-01, 2.47395152075699022e-06,-9.10124361223411853e+01, 2.47391203339562671e-06,-9.10128652949666446e+01
 1.00000000000000000e+00, 2.47389423152491063e-06,-9.10124455739687335e+01, 2.47385437671091923e-06,-9.10128747857822731e+01
 1.10000000000000009e+00, 2.47383698757335571e-06,-9.10124550188892982e+01, 2.47379679951515217e-06,-9.10128842664832973e+01
 1.20000000000000018e+00, 2.47377978890091132e-06,-9.10124644571028654e+01, 2.47373930179597494e-06,-9.10128937370763396e+01
 1.30000000000000004e+00, 2.47372263550610745e-06,-9.10124738886094491e+01, 2.47368188354248496e-06,-9.10129031975680505e+01
 1.40000000000000013e+00, 2.47366552738741902e-06,-9.10124833134090352e+01, 2.47362454474506798e-06,-9.10129126479650239e+01
 1.50000000000000000e+00, 2.47360846454343529e-06,-9.10124927315016379e+01, 2.47356728539556495e-06,-9.10129220882739105e+01
 1.60000000000000009e+00, 2.47355144697274595e-06,-9.10125021428872429e+01, 2.47351010548716489e-06,-9.10129315185012899e+01
 1.70000000000000018e+00, 2.47349447467371707e-06,-9.10125115475658646e+01, 2.47345300501435023e-06,-9.10129409386537844e+01
 1.80000000000000004e+00, 2.47343754764499679e-06,-9.10125209455375028e+01, 2.47339598397318436e-06,-9.10129503487379736e+01
 1.90000000000000013e+00, 2.47338066588518031e-06,-9.10125303368021292e+01, 2.47333904236086066e-06,-9.10129597487604514e+01
 2.00000000000000000e+00, 2.47332382939269171e-06,-9.10125397213597864e+01, 2.47328218017615728e-06,-9.10129691387278115e+01
 2.10000000000000009e+00, 2.47326703816612790e-06,-9.10125490992104318e+01, 2.47322539741915892e-06,-9.10129785186466052e+01
 2.20000000000000018e+00, 2.47321042604250476e-06,-9.10125584546563147e+01, 2.47316869409131654e-06,-9.10129878885234120e+01
 2.30000000000000027e+00, 2.47315388310007016e-06,-9.10125678005894656e+01, 2.47311207019556216e-06,-9.10129972483648118e+01
 2.40000000000000036e+00, 2.47309740401443851e-06,-9.10125771376341106e+01, 2.47305552573614449e-06,-9.10130065981773271e+01
 2.50000000000000000e+00, 2.47304098878362142e-06,-9.10125864657902639e+01, 2.47299906071879878e-06,-9.10130159379675234e+01
 2.60000000000000009e+00, 2.47298463740541024e-06,-9.10125957850579255e+01, 2.47294267515058168e-06,-9.10130252677419236e+01
 2.70000000000000018e+00, 2.47292834987776616e-06,-9.10126050954370811e+01, 2.47288636903998808e-06,-9.10130345875070930e+01
 2.80000000000000027e+00, 2.47287212619854068e-06,-9.10126143969277450e+01, 2.47283014239700999e-06,-9.10130438972695259e+01
 2.90000000000000036e+00, 2.47281596636570093e-06,-9.10126236895299030e+01, 2.47277399523285494e-06,-9.10130531970357595e+01
 3.00000000000000000e+00, 2.47275987037710264e-06,-9.10126329732435835e+01, 2.47271792756029363e-06,-9.10130624868123022e+01
 3.10000000000000009e+00, 2.47270383823071759e-06,-9.10126422480687580e+01, 2.47266193939354311e-06,-9.10130717666056626e+01
 3.20000000000000018e+00, 2.47264786992446335e-06,-9.10126515140054266e+01, 2.47260603074816208e-06,-9.10130810364223350e+01
 3.30000000000000027e+00, 2.47259196545625877e-06,-9.10126607710536035e+01, 2.47255020164116448e-06,-9.10130902962688140e+01
 3.40000000000000036e+00, 2.47253612482397142e-06,-9.10126700192132887e+01, 2.47249445209102283e-06,-9.10130995461515795e+01
 3.50000000000000000e+00, 2.47248034802546765e-06,-9.10126792584844821e+01, 2.47243878211755854e-06,-9.10131087860771117e+01
 3.60000000000000009e+00, 2.47242466781443239e-06,-9.10126884843108144e+01, 2.47238319174217233e-06,-9.10131180160518909e+01
 3.70000000000000018e+00, 2.47236905912422789e-06,-9.10126977001786770e+01, 2.47232768098750369e-06,-9.10131272360823687e+01
 3.80000000000000027e+00, 2.47231351905525074e-06,-9.10127069064911183e+01, 2.47227224987789338e-06,-9.10131364461749968e+01
 3.90000000000000036e+00, 2.47225804760516649e-06,-9.10127161032481524e+01, 2.47221689843881337e-06,-9.10131456463362554e+01
 4.00000000000000000e+00, 2.47220264477181396e-06,-9.10127252904497652e+01, 2.47216162669749664e-06,-9.10131548365725536e+01
 4.10000000000000053e+00, 2.47214731055303364e-06,-9.10127344680959425e+01, 2.47210643468243185e-06,-9.10131640168903573e+01
 4.20000000000000018e+00, 2.47209204494644408e-06,-9.10127436361867268e+01, 2.47205132242364548e-06,-9.10131731872960614e+01
 4.29999999999999982e+00, 2.47203684795000393e-06,-9.10127527947220756e+01, 2.47199628995253788e-06,-9.10131823477961177e+01
 4.40000000000000036e+00, 2.47198171956144994e-06,-9.10127619437020030e+01, 2.47194133730194133e-06,-9.10131914983969352e+01
 4.50000000000000000e+00, 2.47192665977852009e-06,-9.10127710831265233e+01, 2.47188646450640884e-06,-9.10132006391049231e+01
 4.60000000000000053e+00, 2.47187166859901422e-06,-9.10127802129956223e+01, 2.47183167160164750e-06,-9.10132097699264762e+01
 4.70000000000000018e+00, 2.47181674602078975e-06,-9.10127893333093141e+01, 2.47177695862509025e-06,-9.10132188908679893e+01
 4.80000000000000071e+00, 2.47176189204164949e-06,-9.10127984440675704e+01, 2.47172232561538804e-06,-9.10132280019358575e+01
 4.90000000000000036e+00, 2.47170710665934371e-06,-9.10128075452704195e+01, 2.47166777261297908e-06,-9.10132371031364471e+01
