"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.05366118081867399e-06,-9.07033419139235519e+01, 2.05365458053674393e-06,-9.07034133178442659e+01
 1.00000000000000006e-01, 2.05363256022093930e-06,-9.07033482407872214e+01, 2.05362573817993108e-06,-9.07034196908610539e+01
 2.00000000000000011e-01, 2.05360393973746470e-06,-9.07033545676508766e+01, 2.05359692429351638e-06,-9.07034260575670004e+01
 3.00000000000000044e-01, 2.05357531936819343e-06,-9.07033608945145318e+01, 2.05356813885717316e-06,-9.07034324179660558e+01
 4.00000000000000022e-01, 2.05354669911301072e-06,-9.07033672213782012e+01, 2.05353938185038247e-06,-9.07034387720621851e+01
 5.00000000000000000e-01, 2.05351807897203134e-06,-9.07033735482418564e+01, 2.05351065325289133e-06,-9.07034451198593388e+01
 6.00000000000000089e-01, 2.05348945894525488e-06,-9.07033798751055116e+01, 2.05348195304420070e-06,-9.07034514613614817e+01
 7.00000000000000067e-01, 2.05346083903262458e-06,-9.07033862019691810e+01, 2.05345328120390470e-06,-9.07034577965725646e+01
 8.00000000000000044e-01, 2.05343228566665751e-06,-9.07033925139755297e+01, 2.05342463771152209e-06,-9.07034641254965521e+01
 9.00000000000000022e-01, 2.05340388010998574e-06,-9.07033987929503667e+01, 2.05339602254672194e-06,-9.07034704481373666e+01
 1.00000000000000000e+00, 2.05337547466601976e-06,-9.07034050719252178e+01, 2.05336743568898362e-06,-9.07034767644989586e+01
 1.10000000000000009e+00, 2.05334706933475913e-06,-9.07034113509000690e+01, 2.05333887711788008e-06,-9.07034830745852929e+01
 1.20000000000000018e+00, 2.05331866411631821e-06,-9.07034176298749060e+01, 2.05331034681285214e-06,-9.07034893784003060e+01
 1.30000000000000004e+00, 2.05329025901052589e-06,-9.07034239088497571e+01, 2.05328184475348884e-06,-9.07034956759479201e+01
 1.40000000000000013e+00, 2.05326185401749653e-06,-9.07034301878245941e+01, 2.05325337091930470e-06,-9.07035019672320715e+01
 1.50000000000000000e+00, 2.05323344913722885e-06,-9.07034364667994453e+01, 2.05322492528973629e-06,-9.07035082522567251e+01
 1.60000000000000009e+00, 2.05320515144524270e-06,-9.07034427218156196e+01, 2.05319650784431463e-06,-9.07035145310257889e+01
 1.70000000000000018e+00, 2.05317693428955997e-06,-9.07034489588364323e+01, 2.05316811856243523e-06,-9.07035208035431992e+01
 1.80000000000000004e+00, 2.05314873567738977e-06,-9.07034551917329566e+01, 2.05313975742370154e-06,-9.07035270698128784e+01
 1.90000000000000013e+00, 2.05312055560854532e-06,-9.07034614205051923e+01, 2.05311142440752769e-06,-9.07035333298387627e+01
 2.00000000000000000e+00, 2.05309239408284451e-06,-9.07034676451531539e+01, 2.05308311949324819e-06,-9.07035395836247602e+01
 2.10000000000000009e+00, 2.05306425110004550e-06,-9.07034738656768411e+01, 2.05305484266040509e-06,-9.07035458311748073e+01
 2.20000000000000018e+00, 2.05303612666007842e-06,-9.07034800820762399e+01, 2.05302659388829349e-06,-9.07035520724928261e+01
 2.30000000000000027e+00, 2.05300802076275862e-06,-9.07034862943513502e+01, 2.05299837315647113e-06,-9.07035583075827105e+01
 2.40000000000000036e+00, 2.05297993340779049e-06,-9.07034925025021863e+01, 2.05297018044407726e-06,-9.07035645364484111e+01
 2.50000000000000000e+00, 2.05295186459504568e-06,-9.07034987065287481e+01, 2.05294201573085424e-06,-9.07035707590937932e+01
 2.60000000000000009e+00, 2.05292381432434083e-06,-9.07035049064310215e+01, 2.05291387899590154e-06,-9.07035769755228074e+01
 2.70000000000000018e+00, 2.05289578259543623e-06,-9.07035111022090206e+01, 2.05288577021857909e-06,-9.07035831857393475e+01
 2.80000000000000027e+00, 2.05286776940831874e-06,-9.07035172938627312e+01, 2.05285768937839631e-06,-9.07035893897473073e+01
 2.90000000000000036e+00, 2.05283977476257712e-06,-9.07035234813921676e+01, 2.05282963645461486e-06,-9.07035955875505948e+01
 3.00000000000000000e+00, 2.05281179865825713e-06,-9.07035296647973155e+01, 2.05280161142647652e-06,-9.07036017791531322e+01
 3.10000000000000009e+00, 2.05278384109500385e-06,-9.07035358440781891e+01, 2.05277361427336957e-06,-9.07036079645587847e+01
 3.20000000000000018e+00, 2.05275590207269107e-06,-9.07035420192347743e+01, 2.05274564497454808e-06,-9.07036141437714747e+01
