"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.14408514109514862e-06,-9.05420500315977819e+01, 2.14417426182346962e-06,-9.05419976731747198e+01
 1.00000000000000006e-01, 2.14405575271864556e-06,-9.05420561494281344e+01, 2.14414342229432077e-06,-9.05420038373380578e+01
 2.00000000000000011e-01, 2.14402636442760432e-06,-9.05420622672585012e+01, 2.14411260899918075e-06,-9.05420099957686944e+01
 3.00000000000000044e-01, 2.14399697622221801e-06,-9.05420683850888537e+01, 2.14408182193254935e-06,-9.05420161484701396e+01
 4.00000000000000022e-01, 2.14396758810242310e-06,-9.05420745029192062e+01, 2.14405106108929058e-06,-9.05420222954458893e+01
 5.00000000000000000e-01, 2.14393820006808917e-06,-9.05420806207495588e+01, 2.14402032646424306e-06,-9.05420284366994537e+01
 6.00000000000000089e-01, 2.14390881211928142e-06,-9.05420867385799255e+01, 2.14398961805254268e-06,-9.05420345722343001e+01
 7.00000000000000067e-01, 2.14387942425619383e-06,-9.05420928564102780e+01, 2.14395893584904501e-06,-9.05420407020539670e+01
 8.00000000000000044e-01, 2.14385003647856763e-06,-9.05420989742406306e+01, 2.14392827984916081e-06,-9.05420468261619078e+01
 9.00000000000000022e-01, 2.14382079814036519e-06,-9.05421050621417720e+01, 2.14389765004827799e-06,-9.05420529445616324e+01
 1.00000000000000000e+00, 2.14379164728252826e-06,-9.05421111325295271e+01, 2.14386704644163199e-06,-9.05420590572566368e+01
 1.10000000000000009e+00, 2.14376249650905455e-06,-9.05421172029172823e+01, 2.14383646902495038e-06,-9.05420651642503884e+01
 1.20000000000000018e+00, 2.14373334581994531e-06,-9.05421232733050374e+01, 2.14380591779387304e-06,-9.05420712655463831e+01
 1.30000000000000004e+00, 2.14370419521513492e-06,-9.05421293436927925e+01, 2.14377539274427367e-06,-9.05420773611481025e+01
 1.40000000000000013e+00, 2.14367504469468900e-06,-9.05421354140805477e+01, 2.14374489387206957e-06,-9.05420834510590140e+01
 1.50000000000000000e+00, 2.14364589425860672e-06,-9.05421414844682886e+01, 2.14371442117321868e-06,-9.05420895352825994e+01
 1.60000000000000009e+00, 2.14361674390688850e-06,-9.05421475548560437e+01, 2.14368397464378443e-06,-9.05420956138223545e+01
 1.70000000000000018e+00, 2.14358764264603284e-06,-9.05421536154983926e+01, 2.14365363266748976e-06,-9.05421016866720976e+01
 1.80000000000000004e+00, 2.14355869162464220e-06,-9.05421596462809646e+01, 2.14362347498935516e-06,-9.05421077538255190e+01
 1.90000000000000013e+00, 2.14352975955098006e-06,-9.05421656733121409e+01, 2.14359334735226810e-06,-9.05421138153050293e+01
 2.00000000000000000e+00, 2.14350084642502482e-06,-9.05421716965919217e+01, 2.14356324978529620e-06,-9.05421198711140818e+01
 2.10000000000000009e+00, 2.14347195224662783e-06,-9.05421777161202925e+01, 2.14353318231711535e-06,-9.05421259212561438e+01
 2.20000000000000018e+00, 2.14344307701557691e-06,-9.05421837318972678e+01, 2.14350314497710022e-06,-9.05421319657346686e+01
 2.30000000000000027e+00, 2.14341422073178523e-06,-9.05421897439228331e+01, 2.14347313779462380e-06,-9.05421380045531095e+01
 2.40000000000000036e+00, 2.14338538339517021e-06,-9.05421957521969887e+01, 2.14344316079969435e-06,-9.05421440377149054e+01
 2.50000000000000000e+00, 2.14335656500545402e-06,-9.05422017567197486e+01, 2.14341321402199402e-06,-9.05421500652235380e+01
 2.60000000000000009e+00, 2.14332776556255196e-06,-9.05422077574911128e+01, 2.14338329749203886e-06,-9.05421560870824180e+01
 2.70000000000000018e+00, 2.14329898506618663e-06,-9.05422137545110672e+01, 2.14335341124021026e-06,-9.05421621032950270e+01
 2.80000000000000027e+00, 2.14327022351646814e-06,-9.05422197477796118e+01, 2.14332355529746684e-06,-9.05421681138647756e+01
 2.90000000000000036e+00, 2.14324148091305301e-06,-9.05422257372967607e+01, 2.14329372969482695e-06,-9.05421741187951170e+01
 3.00000000000000000e+00, 2.14321275725573035e-06,-9.05422317230625140e+01, 2.14326393446343641e-06,-9.05421801180895045e+01
 3.10000000000000009e+00, 2.14318405254460940e-06,-9.05422377050768574e+01, 2.14323416963521017e-06,-9.05421861117513487e+01
 3.20000000000000018e+00, 2.14315536677934798e-06,-9.05422436833397910e+01, 2.14320443524180522e-06,-9.05421920997841028e+01
 3.30000000000000027e+00, 2.14312669995986307e-06,-9.05422496578513289e+01, 2.14317473131545371e-06,-9.05421980821911916e+01
 3.40000000000000036e+00, 2.14309805208587728e-06,-9.05422556286114713e+01, 2.14314505788851950e-06,-9.05422040589760257e+01
 3.50000000000000000e+00, 2.14306942315743675e-06,-9.05422615956202037e+01, 2.14311541499355533e-06,-9.05422100301420727e+01
 3.60000000000000009e+00, 2.14304081317432932e-06,-9.05422675588775263e+01, 2.14308580266369629e-06,-9.05422159956927288e+01
 3.70000000000000018e+00, 2.14301226369972267e-06,-9.05422735101424507e+01, 2.14305622093213887e-06,-9.05422219556314190e+01
 3.80000000000000027e+00, 2.14298375873032686e-06,-9.05422794525879198e+01, 2.14302666983227693e-06,-9.05422279099615537e+01
 3.90000000000000036e+00, 2.14295527882654686e-06,-9.05422853900683151e+01, 2.14299714939769573e-06,-9.05422338586865862e+01
 4.00000000000000000e+00, 2.14292682398812349e-06,-9.05422913225836510e+01, 2.14296765966275644e-06,-9.05422398018098846e+01
 4.10000000000000053e+00, 2.14289839421498898e-06,-9.05422972501338990e+01, 2.14293820066143525e-06,-9.05422457393349021e+01
 4.20000000000000018e+00, 2.14286998950682188e-06,-9.05423031727190875e+01, 2.14290877242841858e-06,-9.05422516712650349e+01
 4.29999999999999982e+00, 2.14284160986348964e-06,-9.05423090903392023e+01, 2.14287937499852584e-06,-9.05422575976036796e+01
 4.40000000000000036e+00, 2.14281325528466994e-06,-9.05423150029942434e+01, 2.14285000840677167e-06,-9.05422635183542610e+01
 4.50000000000000000e+00, 2.14278492577036154e-06,-9.05423209106842108e+01, 2.14282067268862558e-06,-9.05422694335201754e+01
 4.60000000000000053e+00, 2.14275662132024042e-06,-9.05423268134091188e+01, 2.14279136787962653e-06,-9.05422753431048335e+01
 4.70000000000000018e+00, 2.14272834193417743e-06,-9.05423327111689389e+01, 2.14276209401583187e-06,-9.05422812471116174e+01
 4.80000000000000071e+00, 2.14270008761197817e-06,-9.05423386039636995e+01, 2.14273285113323922e-06,-9.05422871455439378e+01
 4.90000000000000036e+00, 2.14267185835338471e-06,-9.05423444917933864e+01, 2.14270363926843322e-06,-9.05422930384051767e+01
 5.00000000000000000e+00, 2.14264365415826789e-06,-9.05423503746579996e+01, 2.14267445845813104e-06,-9.05422989256987449e+01
 5.10000000000000053e+00, 2.14261547502643373e-06,-9.05423562525575392e+01, 2.14264530873931541e-06,-9.05423048074280103e+01
 5.20000000000000018e+00, 2.14258732095755994e-06,-9.05423621254920192e+01, 2.14261619014923249e-06,-9.05423106835963836e+01
 5.30000000000000071e+00, 2.14255919195164694e-06,-9.05423679934614114e+01, 2.14258710272539229e-06,-9.05423165542072468e+01
 5.40000000000000036e+00, 2.14253108800837243e-06,-9.05423738564657441e+01, 2.14255804650576602e-06,-9.05423224192639680e+01
 5.50000000000000000e+00, 2.14250300912760809e-06,-9.05423797145050031e+01, 2.14252902152839520e-06,-9.05423282787699435e+01
 5.60000000000000053e+00, 2.14247495672770212e-06,-9.05423855672978704e+01, 2.14250002783158647e-06,-9.05423341327285556e+01
 5.70000000000000018e+00, 2.14244694696421938e-06,-9.05423914116404518e+01, 2.14247106545404459e-06,-9.05423399811431722e+01
 5.80000000000000071e+00, 2.14241896409323015e-06,-9.05423972506549148e+01, 2.14244213443473942e-06,-9.05423458240171612e+01
 5.90000000000000036e+00, 2.14239100811446339e-06,-9.05424030843412595e+01, 2.14241323481290764e-06,-9.05423516613539050e+01
 6.00000000000000000e+00, 2.14236307902790637e-06,-9.05424089126994716e+01, 2.14238436662799092e-06,-9.05423574931567714e+01
 6.10000000000000053e+00, 2.14233517683322454e-06,-9.05424147357295510e+01, 2.14235552991976381e-06,-9.05423633194291284e+01
 6.20000000000000018e+00, 2.14230730153021163e-06,-9.05424205534315121e+01, 2.14232672472807328e-06,-9.05423691401743582e+01
 6.30000000000000071e+00, 2.14227945311879056e-06,-9.05424263658053405e+01, 2.14229795109368321e-06,-9.05423749553957862e+01
 6.40000000000000036e+00, 2.14225163159862761e-06,-9.05424321728510364e+01, 2.14226920905685181e-06,-9.05423807650968087e+01
 6.50000000000000000e+00, 2.14222383696951695e-06,-9.05424379745686139e+01, 2.14224049865855939e-06,-9.05423865692807794e+01
 6.60000000000000053e+00, 2.14219606923131838e-06,-9.05424437709580587e+01, 2.14221181993999036e-06,-9.05423923679510381e+01
 6.70000000000000018e+00, 2.14216832838369777e-06,-9.05424495620193852e+01, 2.14218317294253840e-06,-9.05423981611109525e+01
 6.80000000000000071e+00, 2.14214061442670761e-06,-9.05424553477525791e+01, 2.14215455770812316e-06,-9.05424039487638623e+01
 6.90000000000000036e+00, 2.14211292735995066e-06,-9.05424611281576404e+01, 2.14212597427848811e-06,-9.05424097309131355e+01
 7.00000000000000000e+00, 2.14208526718315798e-06,-9.05424669032345832e+01, 2.14209742269603277e-06,-9.05424155075621115e+01
 7.10000000000000053e+00, 2.14205763389618896e-06,-9.05424726729834077e+01, 2.14206890300342980e-06,-9.05424212787141300e+01
 7.20000000000000018e+00, 2.14203002749896992e-06,-9.05424784374040854e+01, 2.14204041524336882e-06,-9.05424270443725590e+01
 7.30000000000000071e+00, 2.14200244799116754e-06,-9.05424841964966589e+01, 2.14201195945913322e-06,-9.05424328045406952e+01
 7.40000000000000036e+00, 2.14197489537264122e-06,-9.05424899502610856e+01, 2.14198353569408726e-06,-9.05424385592219210e+01
 7.50000000000000000e+00, 2.14194736964318936e-06,-9.05424956986973939e+01, 2.14195514399193446e-06,-9.05424443084195474e+01
 7.60000000000000053e+00, 2.14191987346158020e-06,-9.05425014412898435e+01, 2.14192678439671841e-06,-9.05424500521369140e+01
 7.70000000000000018e+00, 2.14189240721350129e-06,-9.05425071779636284e+01, 2.14189845695269067e-06,-9.05424557903773604e+01
 7.80000000000000071e+00, 2.14186496818640078e-06,-9.05425129092447776e+01, 2.14187016170431706e-06,-9.05424615231442260e+01
