"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 1.08739601251351708e-07,-9.11532338976285246e+01, 3.12491946019966757e-02,-1.25599639708016042e+00
 1.00000000000000006e-01, 1.08739746382461870e-07,-9.11532328751414695e+01, 3.12495411675997176e-02,-1.25728928308654830e+00
 2.00000000000000011e-01, 1.08739891513496328e-07,-9.11532318526544145e+01, 3.12498944257882071e-02,-1.25860452090371577e+00
 3.00000000000000044e-01, 1.08740036644455136e-07,-9.11532308301673737e+01, 3.12502543639054872e-02,-1.25994207055265206e+00
 4.00000000000000022e-01, 1.08740181775338227e-07,-9.11532298076803187e+01, 3.12506209692949496e-02,-1.26130189209151911e+00
 5.00000000000000000e-01, 1.08740326906145641e-07,-9.11532287851932637e+01, 3.12509942293004508e-02,-1.26268394561684305e+00
 6.00000000000000089e-01, 1.08740472036875379e-07,-9.11532277627062228e+01, 3.12513741312667528e-02,-1.26408819126471617e+00
 7.00000000000000067e-01, 1.08740618646144801e-07,-9.11532267328448853e+01, 3.12517606625399708e-02,-1.26551458921198057e+00
 8.00000000000000044e-01, 1.08740766464486669e-07,-9.11532256969531431e+01, 3.12521538104679406e-02,-1.26696309967742970e+00
 9.00000000000000022e-01, 1.08740914282754606e-07,-9.11532246610614152e+01, 3.12525535624007672e-02,-1.26843368292300096e+00
 1.00000000000000000e+00, 1.08741062100950585e-07,-9.11532236251696730e+01, 3.12529599056911300e-02,-1.26992629925496758e+00
 1.10000000000000009e+00, 1.08741209919074593e-07,-9.11532225892779309e+01, 3.12533728276947961e-02,-1.27144090902514084e+00
 1.20000000000000018e+00, 1.08741357737118728e-07,-9.11532215533862029e+01, 3.12537923157710368e-02,-1.27297747263205308e+00
 1.30000000000000004e+00, 1.08741505775320623e-07,-9.11532205164079841e+01, 3.12542183572830021e-02,-1.27453595052216007e+00
 1.40000000000000013e+00, 1.08741655943419766e-07,-9.11532194689217619e+01, 3.12546509395982483e-02,-1.27611630319103231e+00
 1.50000000000000000e+00, 1.08741806390427217e-07,-9.11532184200592184e+01, 3.12550900500890710e-02,-1.27771849118454850e+00
 1.60000000000000009e+00, 1.08741957116343295e-07,-9.11532173698203536e+01, 3.12555356761329700e-02,-1.27934247510009680e+00
 1.70000000000000018e+00, 1.08742108121162309e-07,-9.11532163182051818e+01, 3.12559878051130932e-02,-1.28098821558775833e+00
 1.80000000000000004e+00, 1.08742259404888560e-07,-9.11532152652137029e+01, 3.12564464244186394e-02,-1.28265567335150865e+00
 1.90000000000000013e+00, 1.08742410967524284e-07,-9.11532142108459027e+01, 3.12569115214453019e-02,-1.28434480915041016e+00
 2.00000000000000000e+00, 1.08742562809067841e-07,-9.11532131551017812e+01, 3.12573830835956648e-02,-1.28605558379980467e+00
 2.10000000000000009e+00, 1.08742714929519495e-07,-9.11532120979813527e+01, 3.12578610982796462e-02,-1.28778795817251579e+00
 2.20000000000000018e+00, 1.08742867328879577e-07,-9.11532110394846029e+01, 3.12583455529149290e-02,-1.28954189320003088e+00
 2.30000000000000027e+00, 1.08743020007148365e-07,-9.11532099796115460e+01, 3.12588364349273562e-02,-1.29131734987370361e+00
 2.40000000000000036e+00, 1.08743172964326190e-07,-9.11532089183621679e+01, 3.12593337317514097e-02,-1.29311428924594640e+00
