"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 1.21145370692299842e-06,-9.08426433665754729e+01, 1.21140181216177436e-06,-9.08428636955855922e+01
 1.00000000000000006e-01, 1.21143741767596877e-06,-9.08426500510234263e+01, 1.21138543730597346e-06,-9.08428703885753492e+01
 2.00000000000000011e-01, 1.21142113504217765e-06,-9.08426567286766726e+01, 1.21136905439679548e-06,-9.08428770743336571e+01
 3.00000000000000044e-01, 1.21140488301241029e-06,-9.08426633746072412e+01, 1.21135266311091036e-06,-9.08428837528650490e+01
 4.00000000000000022e-01, 1.21138863105712677e-06,-9.08426700205377955e+01, 1.21133626312370354e-06,-9.08428904241740867e+01
 5.00000000000000000e-01, 1.21137237917626991e-06,-9.08426766664683498e+01, 1.21131985410930470e-06,-9.08428970882653175e+01
 6.00000000000000089e-01, 1.21135612736989732e-06,-9.08426833123989041e+01, 1.21130343574035827e-06,-9.08429037451432606e+01
 7.00000000000000067e-01, 1.21133987563792218e-06,-9.08426899583294585e+01, 1.21128700768822331e-06,-9.08429103948124776e+01
 8.00000000000000044e-01, 1.21132365961972203e-06,-9.08426965849893833e+01, 1.21127056962294765e-06,-9.08429170372775019e+01
 9.00000000000000022e-01, 1.21130745803967915e-06,-9.08427032038825217e+01, 1.21125412121326433e-06,-9.08429236725428524e+01
 1.00000000000000000e+00, 1.21129126437904367e-06,-9.08427098185336774e+01, 1.21123766212659477e-06,-9.08429303006130482e+01
 1.10000000000000009e+00, 1.21127507863767771e-06,-9.08427164289428504e+01, 1.21122119202887360e-06,-9.08429369214926368e+01
 1.20000000000000018e+00, 1.21125890081561558e-06,-9.08427230351100263e+01, 1.21120490961193838e-06,-9.08429435352683470e+01
 1.30000000000000004e+00, 1.21124273091266078e-06,-9.08427296370352337e+01, 1.21118953374951170e-06,-9.08429501422419747e+01
 1.40000000000000013e+00, 1.21122656892893443e-06,-9.08427362347184442e+01, 1.21117417337585367e-06,-9.08429567420498927e+01
 1.50000000000000000e+00, 1.21121041486426882e-06,-9.08427428281596718e+01, 1.21115882845311655e-06,-9.08429633346967336e+01
 1.60000000000000009e+00, 1.21119426871864065e-06,-9.08427494173589167e+01, 1.21114349894353791e-06,-9.08429699201871301e+01
 1.70000000000000018e+00, 1.21117813049199804e-06,-9.08427560023161789e+01, 1.21112818480932378e-06,-9.08429764985256867e+01
 1.80000000000000004e+00, 1.21116203183587367e-06,-9.08427625741299920e+01, 1.21111288601262215e-06,-9.08429830697170502e+01
 1.90000000000000013e+00, 1.21114595848855907e-06,-9.08427691368110573e+01, 1.21109760251569348e-06,-9.08429896337658107e+01
 2.00000000000000000e+00, 1.21112990085487983e-06,-9.08427756930577743e+01, 1.21108233428071139e-06,-9.08429961906766010e+01
 2.10000000000000009e+00, 1.21111385893469897e-06,-9.08427822428701433e+01, 1.21106708126984612e-06,-9.08430027404540255e+01
 2.20000000000000018e+00, 1.21109783272785044e-06,-9.08427887862481498e+01, 1.21105184344544091e-06,-9.08430092831026741e+01
 2.30000000000000027e+00, 1.21108182223408270e-06,-9.08427953231918082e+01, 1.21103662076963467e-06,-9.08430158186271655e+01
 2.40000000000000036e+00, 1.21106582745322971e-06,-9.08428018537011184e+01, 1.21102141320468021e-06,-9.08430223470320897e+01
 2.50000000000000000e+00, 1.21104984838506913e-06,-9.08428083777760804e+01, 1.21100622071279923e-06,-9.08430288683220510e+01
 2.60000000000000009e+00, 1.21103388502946417e-06,-9.08428148954166801e+01, 1.21099104325629919e-06,-9.08430353825016255e+01
 2.70000000000000018e+00, 1.21101793738619290e-06,-9.08428214066229316e+01, 1.21097588079734165e-06,-9.08430418895754173e+01
 2.80000000000000027e+00, 1.21100201802423938e-06,-9.08428279091178155e+01, 1.21096073329825819e-06,-9.08430483895479881e+01
 2.90000000000000036e+00, 1.21098612357469479e-06,-9.08428344035115600e+01, 1.21094560072129340e-06,-9.08430548824239423e+01
 3.00000000000000000e+00, 1.21097024834316417e-06,-9.08428408908356886e+01, 1.21093048302863232e-06,-9.08430613682078558e+01
 3.10000000000000009e+00, 1.21095439232926021e-06,-9.08428473710902296e+01, 1.21091538018265992e-06,-9.08430678469042761e+01
 3.20000000000000018e+00, 1.21093855553279888e-06,-9.08428538442751687e+01, 1.21090029214558709e-06,-9.08430743185178073e+01
 3.30000000000000027e+00, 1.21092273795353730e-06,-9.08428603103904919e+01, 1.21088521887970775e-06,-9.08430807830529972e+01
 3.40000000000000036e+00, 1.21090693959111867e-06,-9.08428667694362275e+01, 1.21087016034731706e-06,-9.08430872405144072e+01
 3.50000000000000000e+00, 1.21089116044535895e-06,-9.08428732214123471e+01, 1.21085511651070512e-06,-9.08430936909065991e+01
 3.60000000000000009e+00, 1.21087540051590219e-06,-9.08428796663188791e+01, 1.21084008733219188e-06,-9.08431001342341347e+01
 3.70000000000000018e+00, 1.21085965980253599e-06,-9.08428861041557951e+01, 1.21082507277403630e-06,-9.08431065705015612e+01
 3.80000000000000027e+00, 1.21084394187666995e-06,-9.08428925348815000e+01, 1.21081007279855389e-06,-9.08431129997134263e+01
 3.90000000000000036e+00, 1.21082824619037244e-06,-9.08428989585023601e+01, 1.21079508736811648e-06,-9.08431194218742775e+01
 4.00000000000000000e+00, 1.21081257032704279e-06,-9.08429053750465414e+01, 1.21078011644497753e-06,-9.08431258369886621e+01
