"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.13762339983906866e-06,-9.06210709330842263e+01, 2.13886736526328077e-06,-9.06210063933641550e+01
 1.00000000000000006e-01, 2.13759864505839841e-06,-9.06210771037595890e+01, 2.13883806442906388e-06,-9.06210125653727374e+01
 2.00000000000000011e-01, 2.13757320070314858e-06,-9.06210832627551071e+01, 2.13880879290911611e-06,-9.06210187316292064e+01
 3.00000000000000044e-01, 2.13754774309936919e-06,-9.06210894192524989e+01, 2.13877955068209477e-06,-9.06210248921371146e+01
 4.00000000000000022e-01, 2.13752209034852076e-06,-9.06210955389405228e+01, 2.13875033772668769e-06,-9.06210310469000433e+01
 5.00000000000000000e-01, 2.13749643760253092e-06,-9.06211016586285467e+01, 2.13872115402168005e-06,-9.06210371959215166e+01
 6.00000000000000089e-01, 2.13747078486139839e-06,-9.06211077783165564e+01, 2.13869199954582321e-06,-9.06210433392051158e+01
 7.00000000000000067e-01, 2.13744513212499738e-06,-9.06211138980045803e+01, 2.13866287427764995e-06,-9.06210494767543651e+01
 8.00000000000000044e-01, 2.13741947939351764e-06,-9.06211200176926042e+01, 2.13863377819584977e-06,-9.06210556085728456e+01
 9.00000000000000022e-01, 2.13739382666683295e-06,-9.06211261373806138e+01, 2.13860471127908167e-06,-9.06210617346640674e+01
 1.00000000000000000e+00, 2.13736818799898131e-06,-9.06211322529792938e+01, 2.13857567350578148e-06,-9.06210678550315976e+01
 1.10000000000000009e+00, 2.13734261870233946e-06,-9.06211383483943109e+01, 2.13854666485467172e-06,-9.06210739696789886e+01
 1.20000000000000018e+00, 2.13731706084358246e-06,-9.06211444404828086e+01, 2.13851768530425130e-06,-9.06210800786097650e+01
 1.30000000000000004e+00, 2.13729151442269928e-06,-9.06211505292448010e+01, 2.13848873483298866e-06,-9.06210861818274651e+01
 1.40000000000000013e+00, 2.13726597943986993e-06,-9.06211566146802880e+01, 2.13845981341944538e-06,-9.06210922793356417e+01
 1.50000000000000000e+00, 2.13724045589533834e-06,-9.06211626967892556e+01, 2.13843092104215299e-06,-9.06210983711378191e+01
 1.60000000000000009e+00, 2.13721494378909393e-06,-9.06211687755717037e+01, 2.13840205767935418e-06,-9.06211044572375499e+01
 1.70000000000000018e+00, 2.13718944312118880e-06,-9.06211748510276607e+01, 2.13837322330957836e-06,-9.06211105376383443e+01
 1.80000000000000004e+00, 2.13716395389192998e-06,-9.06211809231570840e+01, 2.13834441791125753e-06,-9.06211166123437550e+01
 1.90000000000000013e+00, 2.13713847610124295e-06,-9.06211869919600161e+01, 2.13831564146272882e-06,-9.06211226813572921e+01
 2.00000000000000000e+00, 2.13711300974937080e-06,-9.06211930574364288e+01, 2.13828689394229633e-06,-9.06211287446825082e+01
 2.10000000000000009e+00, 2.13708755483630210e-06,-9.06211991195863220e+01, 2.13825817532829338e-06,-9.06211348023229135e+01
 2.20000000000000018e+00, 2.13706211136234220e-06,-9.06212051784097099e+01, 2.13822948559902195e-06,-9.06211408542820323e+01
 2.30000000000000027e+00, 2.13703667932741699e-06,-9.06212112339065925e+01, 2.13820082473281409e-06,-9.06211469005633887e+01
 2.40000000000000036e+00, 2.13701133980083427e-06,-9.06212172740972335e+01, 2.13817219270783965e-06,-9.06211529411705072e+01
 2.50000000000000000e+00, 2.13698602710570194e-06,-9.06212233086867514e+01, 2.13814358950242855e-06,-9.06211589761068979e+01
 2.60000000000000009e+00, 2.13696073780242800e-06,-9.06212293381833831e+01, 2.13811501509455795e-06,-9.06211650053760991e+01
 2.70000000000000018e+00, 2.13693547189117337e-06,-9.06212353625871430e+01, 2.13808646946248958e-06,-9.06211710289816210e+01
 2.80000000000000027e+00, 2.13691022937184405e-06,-9.06212413818980025e+01, 2.13805795258445046e-06,-9.06211770469269595e+01
 2.90000000000000036e+00, 2.13688501024434600e-06,-9.06212473961159901e+01, 2.13802946443844443e-06,-9.06211830592156531e+01
 3.00000000000000000e+00, 2.13685981450864874e-06,-9.06212534052410916e+01, 2.13800100500256804e-06,-9.06211890658511976e+01
 3.10000000000000009e+00, 2.13683464216472303e-06,-9.06212594092733212e+01, 2.13797257425501107e-06,-9.06211950668371031e+01
 3.20000000000000018e+00, 2.13680949321266461e-06,-9.06212654082126505e+01, 2.13794417217361130e-06,-9.06212010621768798e+01
 3.30000000000000027e+00, 2.13678436765225281e-06,-9.06212714020591079e+01, 2.13791579873655341e-06,-9.06212070518740376e+01
 3.40000000000000036e+00, 2.13675926548364899e-06,-9.06212773908126792e+01, 2.13788745392167012e-06,-9.06212130359320724e+01
 3.50000000000000000e+00, 2.13673418670663166e-06,-9.06212833744733786e+01, 2.13785913770701311e-06,-9.06212190143544944e+01
 3.60000000000000009e+00, 2.13670913132136176e-06,-9.06212893530411776e+01, 2.13783085007041087e-06,-9.06212249871447995e+01
 3.70000000000000018e+00, 2.13668407641216418e-06,-9.06212953238944436e+01, 2.13780259098984563e-06,-9.06212309543064976e+01
 3.80000000000000027e+00, 2.13665903249932280e-06,-9.06213012882365803e+01, 2.13777436044313868e-06,-9.06212369158430846e+01
 3.90000000000000036e+00, 2.13663400747688613e-06,-9.06213072469707441e+01, 2.13774615840826716e-06,-9.06212428717580423e+01
 4.00000000000000000e+00, 2.13660900134518450e-06,-9.06213132000969210e+01, 2.13771798486279189e-06,-9.06212488220548806e+01
 4.10000000000000053e+00, 2.13658401410435683e-06,-9.06213191476151110e+01, 2.13768983978474677e-06,-9.06212547667370814e+01
 4.20000000000000018e+00, 2.13655904575479740e-06,-9.06213250895252997e+01, 2.13766172315168459e-06,-9.06212607058081403e+01
 4.29999999999999982e+00, 2.13653409629651682e-06,-9.06213310258275158e+01, 2.13763363494150667e-06,-9.06212666392715533e+01
 4.40000000000000036e+00, 2.13650916572971751e-06,-9.06213369565217448e+01, 2.13760557513182213e-06,-9.06212725671308164e+01
 4.50000000000000000e+00, 2.13648425405472728e-06,-9.06213428816079727e+01, 2.13757754370033281e-06,-9.06212784893893826e+01
 4.60000000000000053e+00, 2.13645936127168420e-06,-9.06213488010862136e+01, 2.13754954062476854e-06,-9.06212844060507621e+01
 4.70000000000000018e+00, 2.13643448738072463e-06,-9.06213547149564818e+01, 2.13752156588256815e-06,-9.06212903171184365e+01
 4.80000000000000071e+00, 2.13640963238204849e-06,-9.06213606232187487e+01, 2.13749361945138990e-06,-9.06212962225958876e+01
 4.90000000000000036e+00, 2.13638479627604666e-06,-9.06213665258730288e+01, 2.13746570130885517e-06,-9.06213021224865827e+01
 5.00000000000000000e+00, 2.13635998055416631e-06,-9.06213724229835691e+01, 2.13743781143248624e-06,-9.06213080167940035e+01
 5.10000000000000053e+00, 2.13633518537546454e-06,-9.06213783145572052e+01, 2.13740994979976941e-06,-9.06213139055216459e+01
 5.20000000000000018e+00, 2.13631040931994398e-06,-9.06213842005327592e+01, 2.13738211638815326e-06,-9.06213197886729631e+01
 5.30000000000000071e+00, 2.13628565238785705e-06,-9.06213900809102455e+01, 2.13735431117505210e-06,-9.06213256662514368e+01
 5.40000000000000036e+00, 2.13626091457932784e-06,-9.06213959556896498e+01, 2.13732653413796829e-06,-9.06213315382605487e+01
 5.50000000000000000e+00, 2.13623619589460834e-06,-9.06214018248709863e+01, 2.13729878525424202e-06,-9.06213374047037519e+01
 5.60000000000000053e+00, 2.13621149633369600e-06,-9.06214076884542550e+01, 2.13727106450124098e-06,-9.06213432655845139e+01
 5.70000000000000018e+00, 2.13618681589709440e-06,-9.06214135464394417e+01, 2.13724337185629265e-06,-9.06213491209063164e+01
 5.80000000000000071e+00, 2.13616215458479887e-06,-9.06214193988265464e+01, 2.13721570729669146e-06,-9.06213549706726127e+01
 5.90000000000000036e+00, 2.13613751239687040e-06,-9.06214252456155975e+01, 2.13718807079962851e-06,-9.06213608148868843e+01
 6.00000000000000000e+00, 2.13611288933381042e-06,-9.06214310868065525e+01, 2.13716046234251386e-06,-9.06213666535525704e+01
 6.10000000000000053e+00, 2.13608828539548766e-06,-9.06214369223994538e+01, 2.13713288190240010e-06,-9.06213724866731383e+01
 6.20000000000000018e+00, 2.13606370058234130e-06,-9.06214427523942589e+01, 2.13710532945649485e-06,-9.06213783142520697e+01
 6.30000000000000071e+00, 2.13603913489436498e-06,-9.06214485767910105e+01, 2.13707780498190452e-06,-9.06213841362927894e+01
 6.40000000000000036e+00, 2.13601458833186957e-06,-9.06214543955896801e+01, 2.13705030845595063e-06,-9.06213899527987650e+01
 6.50000000000000000e+00, 2.13599006089503887e-06,-9.06214602087902676e+01, 2.13702283985541009e-06,-9.06213957637734637e+01
 6.60000000000000053e+00, 2.13596555258392836e-06,-9.06214660163927874e+01, 2.13699539915759384e-06,-9.06214015692203247e+01
 6.70000000000000018e+00, 2.13594106339884975e-06,-9.06214718183972394e+01, 2.13696798633939186e-06,-9.06214073691428013e+01
 6.80000000000000071e+00, 2.13591659333991994e-06,-9.06214776148036094e+01, 2.13694060137784830e-06,-9.06214131635443323e+01
 6.90000000000000036e+00, 2.13589214240744893e-06,-9.06214834056118974e+01, 2.13691324424984127e-06,-9.06214189524283995e+01
 7.00000000000000000e+00, 2.13586771060130078e-06,-9.06214891908221318e+01, 2.13688591493240177e-06,-9.06214247357984135e+01
 7.10000000000000053e+00, 2.13584329792210144e-06,-9.06214949704342700e+01, 2.13685861340226773e-06,-9.06214305136578417e+01
 7.20000000000000018e+00, 2.13581890436958664e-06,-9.06215007444483547e+01, 2.13683133963664721e-06,-9.06214362860101090e+01
 7.30000000000000071e+00, 2.13579452994425402e-06,-9.06215065128643573e+01, 2.13680409361200962e-06,-9.06214420528586686e+01
 7.40000000000000036e+00, 2.13577017464615735e-06,-9.06215122756822780e+01, 2.13677687530516786e-06,-9.06214478142069737e+01
 7.50000000000000000e+00, 2.13574583785852579e-06,-9.06215180345206477e+01, 2.13674968469315039e-06,-9.06214535700584349e+01
 7.60000000000000053e+00, 2.13572151778488843e-06,-9.06215237940925107e+01, 2.13672252175250076e-06,-9.06214593204165197e+01
 7.70000000000000018e+00, 2.13569721677388848e-06,-9.06215295482352019e+01, 2.13669538646004160e-06,-9.06214650652846387e+01
 7.80000000000000071e+00, 2.13567293482574618e-06,-9.06215352969487213e+01, 2.13666827879236685e-06,-9.06214708046662309e+01
 7.90000000000000036e+00, 2.13564867194068174e-06,-9.06215410402330690e+01, 2.13664119872609248e-06,-9.06214765385647354e+01
 8.00000000000000000e+00, 2.13562442811872483e-06,-9.06215467780882449e+01, 2.13661414623786069e-06,-9.06214822669835911e+01
 8.09999999999999964e+00, 2.13560020336003171e-06,-9.06215525105142632e+01, 2.13658712130433659e-06,-9.06214879899262087e+01
 8.20000000000000107e+00, 2.13557599766488487e-06,-9.06215582375110955e+01, 2.13656012390195444e-06,-9.06214937073960272e+01
 8.30000000000000071e+00, 2.13555181103331310e-06,-9.06215639590787703e+01, 2.13653315400717351e-06,-9.06214994193964714e+01
 8.40000000000000036e+00, 2.13552764346559806e-06,-9.06215696752172732e+01, 2.13650621159660340e-06,-9.06215051259309661e+01
 8.50000000000000000e+00, 2.13550349496183079e-06,-9.06215753859265902e+01, 2.13647929664662291e-06,-9.06215108270029361e+01
 8.59999999999999964e+00, 2.13547936552210278e-06,-9.06215810912067496e+01, 2.13645240913363411e-06,-9.06215165226158064e+01
 8.70000000000000107e+00, 2.13545525514656733e-06,-9.06215867910577373e+01, 2.13642554903393619e-06,-9.06215222127730016e+01
 8.80000000000000071e+00, 2.13543116383544256e-06,-9.06215924854795674e+01, 2.13639871632404092e-06,-9.06215278974779181e+01
 8.90000000000000036e+00, 2.13540709158900756e-06,-9.06215981744722114e+01, 2.13637191098016700e-06,-9.06215335767339951e+01
 9.00000000000000000e+00, 2.13538303840722550e-06,-9.06216038580356837e+01, 2.13634513297868178e-06,-9.06215392505446431e+01
 9.09999999999999964e+00, 2.13535900429024883e-06,-9.06216095361699985e+01, 2.13631838229559519e-06,-9.06215449189132869e+01
