"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.16660555874112479e-06,-9.05420232960356373e+01, 2.16615232977391143e-06,-9.05419725122779937e+01
 1.00000000000000006e-01, 2.16657319812297532e-06,-9.05420294262290213e+01, 2.16612108539585284e-06,-9.05419786768520396e+01
 2.00000000000000011e-01, 2.16654083765439620e-06,-9.05420355564224053e+01, 2.16608987076778475e-06,-9.05419848356819301e+01
 3.00000000000000044e-01, 2.16650847733538870e-06,-9.05420416866157893e+01, 2.16605868587254627e-06,-9.05419909887710475e+01
 4.00000000000000022e-01, 2.16647611716582110e-06,-9.05420478168091876e+01, 2.16602753069285285e-06,-9.05419971361227596e+01
 5.00000000000000000e-01, 2.16644375714608516e-06,-9.05420539470025716e+01, 2.16599640521116370e-06,-9.05420032777404487e+01
 6.00000000000000089e-01, 2.16641139727585478e-06,-9.05420600771959556e+01, 2.16596530941046448e-06,-9.05420094136274827e+01
 7.00000000000000067e-01, 2.16637915372299873e-06,-9.05420661858324962e+01, 2.16593424327329233e-06,-9.05420155437872154e+01
 8.00000000000000044e-01, 2.16634699099074766e-06,-9.05420722794989530e+01, 2.16590320678257699e-06,-9.05420216682230148e+01
 9.00000000000000022e-01, 2.16631482840640463e-06,-9.05420783731653955e+01, 2.16587219992099580e-06,-9.05420277869382346e+01
 1.00000000000000000e+00, 2.16628266597003486e-06,-9.05420844668318523e+01, 2.16584122267136033e-06,-9.05420338999362286e+01
 1.10000000000000009e+00, 2.16625050368157357e-06,-9.05420905604983091e+01, 2.16581027501655333e-06,-9.05420400072203648e+01
 1.20000000000000018e+00, 2.16621834154102074e-06,-9.05420966541647658e+01, 2.16577935693926737e-06,-9.05420461087939827e+01
 1.30000000000000004e+00, 2.16618621572879030e-06,-9.05421027414483746e+01, 2.16574846842246057e-06,-9.05420522046604219e+01
 1.40000000000000013e+00, 2.16615426713335382e-06,-9.05421087974937393e+01, 2.16571760944903091e-06,-9.05420582948230361e+01
 1.50000000000000000e+00, 2.16612234005334660e-06,-9.05421148497691348e+01, 2.16568678000181792e-06,-9.05420643792851649e+01
 1.60000000000000009e+00, 2.16609043448847768e-06,-9.05421208982745469e+01, 2.16565598006366454e-06,-9.05420704580501479e+01
 1.70000000000000018e+00, 2.16605855043851837e-06,-9.05421269430099755e+01, 2.16562520961774656e-06,-9.05420765311213103e+01
 1.80000000000000004e+00, 2.16602668790317855e-06,-9.05421329839754208e+01, 2.16559446864678834e-06,-9.05420825985019775e+01
 1.90000000000000013e+00, 2.16599484688196865e-06,-9.05421390211708967e+01, 2.16556375713377974e-06,-9.05420886601955033e+01
 2.00000000000000000e+00, 2.16596302737479378e-06,-9.05421450545963893e+01, 2.16553307506191226e-06,-9.05420947162051846e+01
 2.10000000000000009e+00, 2.16593122938136216e-06,-9.05421510842518842e+01, 2.16550242241392547e-06,-9.05421007665343609e+01
 2.20000000000000018e+00, 2.16589945290125196e-06,-9.05421571101374241e+01, 2.16547179917308667e-06,-9.05421068111863434e+01
 2.30000000000000027e+00, 2.16586769793436788e-06,-9.05421631322529663e+01, 2.16544120532227732e-06,-9.05421128501644432e+01
 2.40000000000000036e+00, 2.16583596448022374e-06,-9.05421691505985393e+01, 2.16541064084457878e-06,-9.05421188834719999e+01
 2.50000000000000000e+00, 2.16580425253865774e-06,-9.05421751651741147e+01, 2.16538010572320921e-06,-9.05421249111122819e+01
 2.60000000000000009e+00, 2.16577256210938062e-06,-9.05421811759797208e+01, 2.16534959994119620e-06,-9.05421309330886288e+01
 2.70000000000000018e+00, 2.16574089319190662e-06,-9.05421871830153577e+01, 2.16531912348163719e-06,-9.05421369494043375e+01
 2.80000000000000027e+00, 2.16570924578620565e-06,-9.05421931862809970e+01, 2.16528867632770079e-06,-9.05421429600626908e+01
 2.90000000000000036e+00, 2.16567761989185718e-06,-9.05421991857766528e+01, 2.16525825846249591e-06,-9.05421489650670139e+01
 3.00000000000000000e+00, 2.16564601550857279e-06,-9.05422051815023394e+01, 2.16522786986939654e-06,-9.05421549644205754e+01
 3.10000000000000009e+00, 2.16561443263612673e-06,-9.05422111734580426e+01, 2.16519751053132694e-06,-9.05421609581266864e+01
 3.20000000000000018e+00, 2.16558291203987230e-06,-9.05422171548291459e+01, 2.16516718043173692e-06,-9.05421669461886296e+01
 3.30000000000000027e+00, 2.16555144791514903e-06,-9.05422231265858386e+01, 2.16513687955382220e-06,-9.05421729286096877e+01
