"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.10684289957566012e-05,-9.05944674945535127e+01, 2.10684377531135149e-05,-9.05944752608125015e+01
 1.00000000000000006e-01, 2.10671090045172961e-05,-9.05944737529294883e+01, 2.10671155735129995e-05,-9.05944815207855925e+01
 2.00000000000000011e-01, 2.10657888725044999e-05,-9.05944799928248869e+01, 2.10657937637512635e-05,-9.05944877747766952e+01
 3.00000000000000044e-01, 2.10644687671538716e-05,-9.05944862303973224e+01, 2.10644723236221764e-05,-9.05944940227895188e+01
 4.00000000000000022e-01, 2.10631486873160247e-05,-9.05944924679697579e+01, 2.10631512529196651e-05,-9.05945002648277438e+01
 5.00000000000000000e-01, 2.10618298972557311e-05,-9.05944986772726821e+01, 2.10618305514389444e-05,-9.05945065008950934e+01
 6.00000000000000089e-01, 2.10605116204316264e-05,-9.05945048756665585e+01, 2.10605102189746764e-05,-9.05945127309952341e+01
 7.00000000000000067e-01, 2.10591933689483216e-05,-9.05945110740604207e+01, 2.10591902553203443e-05,-9.05945189551318890e+01
 8.00000000000000044e-01, 2.10578751428033534e-05,-9.05945172724542971e+01, 2.10578706602719690e-05,-9.05945251733087247e+01
 9.00000000000000022e-01, 2.10565569419997984e-05,-9.05945234708481593e+01, 2.10565514336249922e-05,-9.05945313855294359e+01
 1.00000000000000000e+00, 2.10552387665351967e-05,-9.05945296692420357e+01, 2.10552325751730833e-05,-9.05945375917977032e+01
 1.10000000000000009e+00, 2.10539209114321878e-05,-9.05945358622898738e+01, 2.10539140847124292e-05,-9.05945437921172356e+01
 1.20000000000000018e+00, 2.10526049397781658e-05,-9.05945420216653758e+01, 2.10525959620404909e-05,-9.05945499864916712e+01
 1.30000000000000004e+00, 2.10512889932822218e-05,-9.05945481810408637e+01, 2.10512782069492744e-05,-9.05945561749247332e+01
 1.40000000000000013e+00, 2.10499730719431291e-05,-9.05945543404163658e+01, 2.10499608192382123e-05,-9.05945623574200596e+01
 1.50000000000000000e+00, 2.10486571757621111e-05,-9.05945604997918679e+01, 2.10486437987012554e-05,-9.05945685339813451e+01
 1.60000000000000009e+00, 2.10473413047391709e-05,-9.05945666591673699e+01, 2.10473271451348889e-05,-9.05945747046122563e+01
 1.70000000000000018e+00, 2.10460254588736920e-05,-9.05945728185428720e+01, 2.10460108583356317e-05,-9.05945808693164594e+01
 1.80000000000000004e+00, 2.10447109202946964e-05,-9.05945789556687373e+01, 2.10446949381013106e-05,-9.05945870280976209e+01
 1.90000000000000013e+00, 2.10433976205519811e-05,-9.05945850717301226e+01, 2.10433793842261135e-05,-9.05945931809594072e+01
 2.00000000000000000e+00, 2.10420845715040792e-05,-9.05945911838737459e+01, 2.10420641965098188e-05,-9.05945993279054704e+01
 2.10000000000000009e+00, 2.10407717731244920e-05,-9.05945972920995786e+01, 2.10407493747467296e-05,-9.05946054689394913e+01
 2.20000000000000018e+00, 2.10394592253861112e-05,-9.05946033964076207e+01, 2.10394349187355129e-05,-9.05946116040651077e+01
 2.30000000000000027e+00, 2.10381469282599885e-05,-9.05946094967978865e+01, 2.10381208282730402e-05,-9.05946177332859719e+01
 2.40000000000000036e+00, 2.10368348817190290e-05,-9.05946155932703618e+01, 2.10368071031574803e-05,-9.05946238566057502e+01
 2.50000000000000000e+00, 2.10355230857355145e-05,-9.05946216858250466e+01, 2.10354937431864365e-05,-9.05946299740280807e+01
 2.60000000000000009e+00, 2.10342115402811269e-05,-9.05946277744619692e+01, 2.10341807481563430e-05,-9.05946360855566155e+01
 2.70000000000000018e+00, 2.10329002453287714e-05,-9.05946338591810871e+01, 2.10328681178667647e-05,-9.05946421911949926e+01
 2.80000000000000027e+00, 2.10315892008507397e-05,-9.05946399399824287e+01, 2.10315558521142443e-05,-9.05946482909468784e+01
 2.90000000000000036e+00, 2.10302784068187241e-05,-9.05946460168659939e+01, 2.10302439506990752e-05,-9.05946543848158825e+01
 3.00000000000000000e+00, 2.10289678632056331e-05,-9.05946520898317686e+01, 2.10289324134197617e-05,-9.05946604728056428e+01
 3.10000000000000009e+00, 2.10276575699837720e-05,-9.05946581588797670e+01, 2.10276212400724095e-05,-9.05946665549198258e+01
 3.20000000000000018e+00, 2.10263475271248331e-05,-9.05946642240099749e+01, 2.10263104304574779e-05,-9.05946726311620409e+01
 3.30000000000000027e+00, 2.10250377346023583e-05,-9.05946702852223922e+01, 2.10249999843742507e-05,-9.05946787015359121e+01
 3.40000000000000036e+00, 2.10237281923874301e-05,-9.05946763425170332e+01, 2.10236899016208392e-05,-9.05946847660450914e+01
 3.50000000000000000e+00, 2.10224189004529738e-05,-9.05946823958938978e+01, 2.10223801819966559e-05,-9.05946908246931883e+01
 3.60000000000000009e+00, 2.10211098587713118e-05,-9.05946884453529577e+01, 2.10210708253017569e-05,-9.05946968774838268e+01
 3.70000000000000018e+00, 2.10198010673141396e-05,-9.05946944908942555e+01, 2.10197618313356563e-05,-9.05947029244206306e+01
 3.80000000000000027e+00, 2.10184929402961979e-05,-9.05947005254268163e+01, 2.10184531998973194e-05,-9.05947089655072233e+01
 3.90000000000000036e+00, 2.10171854650856675e-05,-9.05947065491655508e+01, 2.10171449307869648e-05,-9.05947150007472146e+01
 4.00000000000000000e+00, 2.10158783137897585e-05,-9.05947125677224392e+01, 2.10158370238061227e-05,-9.05947210301442141e+01
 4.10000000000000053e+00, 2.10145714863724688e-05,-9.05947185810974673e+01, 2.10145294787526774e-05,-9.05947270537018454e+01
 4.20000000000000018e+00, 2.10132649827971896e-05,-9.05947245892906352e+01, 2.10132222954282674e-05,-9.05947330714237040e+01
 4.29999999999999982e+00, 2.10119588030279219e-05,-9.05947305923019428e+01, 2.10119154736327388e-05,-9.05947390833134136e+01
 4.40000000000000036e+00, 2.10106529470268306e-05,-9.05947365901313901e+01, 2.10106090131672115e-05,-9.05947450893745696e+01
 4.50000000000000000e+00, 2.10093474147579369e-05,-9.05947425827789772e+01, 2.10093029138322569e-05,-9.05947510896107815e+01
 4.60000000000000053e+00, 2.10080422061840326e-05,-9.05947485702447182e+01, 2.10079971754297268e-05,-9.05947570840256304e+01
 4.70000000000000018e+00, 2.10067373212703688e-05,-9.05947545525285847e+01, 2.10066917977590675e-05,-9.05947630726227402e+01
 4.80000000000000071e+00, 2.10054327599779042e-05,-9.05947605296306051e+01, 2.10053867806240858e-05,-9.05947690554056777e+01
 4.90000000000000036e+00, 2.10041285222712904e-05,-9.05947665015507653e+01, 2.10040821238237233e-05,-9.05947750323780525e+01
 5.00000000000000000e+00, 2.10028246081145623e-05,-9.05947724682890652e+01, 2.10027778271606686e-05,-9.05947810035434600e+01
 5.10000000000000053e+00, 2.10015210174699253e-05,-9.05947784298455048e+01, 2.10014738904364316e-05,-9.05947869689054812e+01
 5.20000000000000018e+00, 2.10002177503020413e-05,-9.05947843862200841e+01, 2.10001703134531824e-05,-9.05947929284676974e+01
 5.30000000000000071e+00, 2.09989148065731223e-05,-9.05947903374128032e+01, 2.09988670960131628e-05,-9.05947988822337038e+01
