"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 1.40154111362937779e-04,-9.13323285319662261e+01, 1.59429150888841482e-04,-9.13052448254330500e+01
 1.00000000000000006e-01, 1.40145149598483877e-04,-9.13323371236766803e+01, 1.59410406564191649e-04,-9.13052838733419776e+01
 2.00000000000000011e-01, 1.40136188031460615e-04,-9.13323457153871345e+01, 1.59391673968298453e-04,-9.13053228891321993e+01
 3.00000000000000044e-01, 1.40127226661868049e-04,-9.13323543070975887e+01, 1.59372953086894879e-04,-9.13053618728285556e+01
 4.00000000000000022e-01, 1.40118273026703570e-04,-9.13323628728386581e+01, 1.59354243905742479e-04,-9.13054008244558588e+01
 5.00000000000000000e-01, 1.40109321198139453e-04,-9.13323714330326908e+01, 1.59335546410612806e-04,-9.13054397440388925e+01
 6.00000000000000089e-01, 1.40100369566209954e-04,-9.13323799932267093e+01, 1.59316860587327939e-04,-9.13054786316024405e+01
 7.00000000000000067e-01, 1.40091423521756874e-04,-9.13323885348511197e+01, 1.59298186421700957e-04,-9.13055174871712580e+01
 8.00000000000000044e-01, 1.40082482178547068e-04,-9.13323970609564242e+01, 1.59279523899583862e-04,-9.13055563107700578e+01
 9.00000000000000022e-01, 1.40073542944529748e-04,-9.13324055804700805e+01, 1.59260873006852562e-04,-9.13055951024235668e+01
 1.00000000000000000e+00, 1.40064605819444001e-04,-9.13324140933921029e+01, 1.59242233729402970e-04,-9.13056338621564549e+01
 1.10000000000000009e+00, 1.40055670803039187e-04,-9.13324225997225057e+01, 1.59223606053139643e-04,-9.13056725899934065e+01
 1.20000000000000018e+00, 1.40046737895071550e-04,-9.13324310994612603e+01, 1.59204989964012515e-04,-9.13057112859590490e+01
 1.30000000000000004e+00, 1.40037807095283619e-04,-9.13324395926083810e+01, 1.59186385447968753e-04,-9.13057499500780096e+01
 1.40000000000000013e+00, 1.40028878403431774e-04,-9.13324480791638820e+01, 1.59167792490989325e-04,-9.13057885823748876e+01
 1.50000000000000000e+00, 1.40019953455496022e-04,-9.13324565534991422e+01, 1.59149211079077886e-04,-9.13058271828742818e+01
 1.60000000000000009e+00, 1.40011032205397581e-04,-9.13324650157711204e+01, 1.59130641198249311e-04,-9.13058657516007344e+01
