"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.21481151683865940e-06,-9.06212563177510475e+01, 2.21700066491266571e-06,-9.06211924903333852e+01
 1.00000000000000006e-01, 2.21477605439258719e-06,-9.06212624571204373e+01, 2.21698425835160420e-06,-9.06211986644154308e+01
 2.00000000000000011e-01, 2.21474059216154996e-06,-9.06212685964898412e+01, 2.21696771449909097e-06,-9.06212048327427624e+01
 3.00000000000000044e-01, 2.21470513014567858e-06,-9.06212747358592452e+01, 2.21695102892501073e-06,-9.06212109953187337e+01
 4.00000000000000022e-01, 2.21466966834490782e-06,-9.06212808752286492e+01, 2.21693419716363085e-06,-9.06212171521466843e+01
 5.00000000000000000e-01, 2.21463420675930377e-06,-9.06212870145980531e+01, 2.21691721471335789e-06,-9.06212233032299537e+01
 6.00000000000000089e-01, 2.21459874538893163e-06,-9.06212931539674571e+01, 2.21690007703682525e-06,-9.06212294485718957e+01
 7.00000000000000067e-01, 2.21456339299259653e-06,-9.06212992744226398e+01, 2.21688277956045354e-06,-9.06212355881758498e+01
 8.00000000000000044e-01, 2.21452814479572113e-06,-9.06213053767936572e+01, 2.21686531767473520e-06,-9.06212417220451414e+01
 9.00000000000000022e-01, 2.21449289681156704e-06,-9.06213114791646746e+01, 2.21684768673392575e-06,-9.06212478501831100e+01
 1.00000000000000000e+00, 2.21445764904033247e-06,-9.06213175815356777e+01, 2.21682988205593327e-06,-9.06212539725930668e+01
 1.10000000000000009e+00, 2.21442240148168749e-06,-9.06213236839066951e+01, 2.21681189892221079e-06,-9.06212600892783513e+01
 1.20000000000000018e+00, 2.21438715413582906e-06,-9.06213297862777125e+01, 2.21679373257770678e-06,-9.06212662002422604e+01
 1.30000000000000004e+00, 2.21435191156190395e-06,-9.06213358878562900e+01, 2.21677537823049666e-06,-9.06212723054881337e+01
 1.40000000000000013e+00, 2.21431687895101529e-06,-9.06213419529771897e+01, 2.21675683105219322e-06,-9.06212784050192823e+01
 1.50000000000000000e+00, 2.21428186825774662e-06,-9.06213480143250223e+01, 2.21673808617744766e-06,-9.06212844988389890e+01
 1.60000000000000009e+00, 2.21424687948160581e-06,-9.06213540718998161e+01, 2.21671913870363584e-06,-9.06212905869505931e+01
 1.70000000000000018e+00, 2.21421191262242895e-06,-9.06213601257015569e+01, 2.21669998369147528e-06,-9.06212966693573776e+01
 1.80000000000000004e+00, 2.21417696767965828e-06,-9.06213661757302447e+01, 2.21668061616412436e-06,-9.06213027460626392e+01
 1.90000000000000013e+00, 2.21414204465306426e-06,-9.06213722219858795e+01, 2.21666103110753134e-06,-9.06213088170696750e+01
 2.00000000000000000e+00, 2.21410714354222124e-06,-9.06213782644684613e+01, 2.21664122347032544e-06,-9.06213148823817818e+01
 2.10000000000000009e+00, 2.21407226434683445e-06,-9.06213843031779902e+01, 2.21662118816337643e-06,-9.06213209420022423e+01
 2.20000000000000018e+00, 2.21403740706654350e-06,-9.06213903381144661e+01, 2.21660092006007924e-06,-9.06213269959343251e+01
 2.30000000000000027e+00, 2.21400257170092316e-06,-9.06213963692778890e+01, 2.21658041399584952e-06,-9.06213330441813412e+01
 2.40000000000000036e+00, 2.21396775824961429e-06,-9.06214023966682589e+01, 2.21655966476847095e-06,-9.06213390867465307e+01
 2.50000000000000000e+00, 2.21393296671225649e-06,-9.06214084202855901e+01, 2.21653866713766027e-06,-9.06213451236332048e+01
 2.60000000000000009e+00, 2.21389819708855752e-06,-9.06214144401298540e+01, 2.21651741582501945e-06,-9.06213511548446036e+01
 2.70000000000000018e+00, 2.21386344937802611e-06,-9.06214204562010792e+01, 2.21649590551379467e-06,-9.06213571803839955e+01
 2.80000000000000027e+00, 2.21382872358050047e-06,-9.06214264684992514e+01, 2.21647413084922533e-06,-9.06213632002546632e+01
 2.90000000000000036e+00, 2.21379401969549102e-06,-9.06214324770243564e+01, 2.21645208643777704e-06,-9.06213692144598468e+01
 3.00000000000000000e+00, 2.21375933772270510e-06,-9.06214384817764227e+01, 2.21642976684782265e-06,-9.06213752230027865e+01
 3.10000000000000009e+00, 2.21372467766171879e-06,-9.06214444827554360e+01, 2.21640716660853771e-06,-9.06213812258867648e+01
 3.20000000000000018e+00, 2.21369006088083043e-06,-9.06214504762217956e+01, 2.21638428021072127e-06,-9.06213872231150219e+01
 3.30000000000000027e+00, 2.21365551562696592e-06,-9.06214564572320285e+01, 2.21636110210615038e-06,-9.06213932146907837e+01
 3.40000000000000036e+00, 2.21362099926133922e-06,-9.06214624332479559e+01, 2.21633762670773814e-06,-9.06213992006173044e+01
 3.50000000000000000e+00, 2.21358651178354630e-06,-9.06214684042696064e+01, 2.21631384838928841e-06,-9.06214051808978098e+01
 3.60000000000000009e+00, 2.21355205319305099e-06,-9.06214743702969514e+01, 2.21628976148519136e-06,-9.06214111555355402e+01
 3.70000000000000018e+00, 2.21351762348938275e-06,-9.06214803313300195e+01, 2.21626536029070508e-06,-9.06214171245337354e+01
 3.80000000000000027e+00, 2.21348322267207319e-06,-9.06214862873687821e+01, 2.21624063906184546e-06,-9.06214230878955931e+01
 3.90000000000000036e+00, 2.21344885074065304e-06,-9.06214922384132677e+01, 2.21621559201475095e-06,-9.06214290456243532e+01
 4.00000000000000000e+00, 2.21341450769471954e-06,-9.06214981844634480e+01, 2.21619021332589934e-06,-9.06214349977232416e+01
