"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.12546205324492063e-05,-9.06733752841663687e+01, 2.12544948079921973e-05,-9.06733702332980727e+01
 1.00000000000000006e-01, 2.12532878732247778e-05,-9.06733815492256809e+01, 2.12531626736040909e-05,-9.06733765017839630e+01
 2.00000000000000011e-01, 2.12519559536506371e-05,-9.06733878040872554e+01, 2.12518309104439995e-05,-9.06733827642437404e+01
 3.00000000000000044e-01, 2.12506240596360409e-05,-9.06733940589488299e+01, 2.12504995183121420e-05,-9.06733890206808013e+01
 4.00000000000000022e-01, 2.12492942958951005e-05,-9.06734002801560024e+01, 2.12491684970087814e-05,-9.06733952710985562e+01
 5.00000000000000000e-01, 2.12479649684895220e-05,-9.06734064947920331e+01, 2.12478378463367010e-05,-9.06734015155004016e+01
 6.00000000000000089e-01, 2.12466356664501747e-05,-9.06734127094280495e+01, 2.12465075556540367e-05,-9.06734077540885579e+01
 7.00000000000000067e-01, 2.12453063897770586e-05,-9.06734189240640660e+01, 2.12451775061460910e-05,-9.06734139891250521e+01
 8.00000000000000044e-01, 2.12439771384695638e-05,-9.06734251387000967e+01, 2.12438478246348246e-05,-9.06734202181948774e+01
 9.00000000000000022e-01, 2.12426479125283036e-05,-9.06734313533361131e+01, 2.12425185109067445e-05,-9.06734264413017286e+01
 1.00000000000000000e+00, 2.12413190098818435e-05,-9.06734375629785063e+01, 2.12411895647508683e-05,-9.06734326584492436e+01
 1.10000000000000009e+00, 2.12399922231303365e-05,-9.06734437375794613e+01, 2.12398609859544248e-05,-9.06734388696410889e+01
 1.20000000000000018e+00, 2.12386654615543767e-05,-9.06734499121804163e+01, 2.12385327743059065e-05,-9.06734450748809451e+01
 1.30000000000000004e+00, 2.12373387251533508e-05,-9.06734560867813570e+01, 2.12372049295932637e-05,-9.06734512741724359e+01
 1.40000000000000013e+00, 2.12360120139278788e-05,-9.06734622613823120e+01, 2.12358774516056903e-05,-9.06734574675192277e+01
 1.50000000000000000e+00, 2.12346853278773406e-05,-9.06734684359832670e+01, 2.12345503401312281e-05,-9.06734636549249871e+01
 1.60000000000000009e+00, 2.12333586670023496e-05,-9.06734746105842220e+01, 2.12332235949591861e-05,-9.06734698363933234e+01
 1.70000000000000018e+00, 2.12320329239216382e-05,-9.06734807698595233e+01, 2.12318972158789277e-05,-9.06734760119279173e+01
 1.80000000000000004e+00, 2.12307086377459749e-05,-9.06734869045507992e+01, 2.12305712026792366e-05,-9.06734821815323784e+01
 1.90000000000000013e+00, 2.12293846061972043e-05,-9.06734930352990034e+01, 2.12292455551495811e-05,-9.06734883452103588e+01
 2.00000000000000000e+00, 2.12280608292467816e-05,-9.06734991621041218e+01, 2.12279202730794668e-05,-9.06734945029654966e+01
 2.10000000000000009e+00, 2.12267373068667883e-05,-9.06735052849661685e+01, 2.12265953562578265e-05,-9.06735006548014297e+01
 2.20000000000000018e+00, 2.12254140390305193e-05,-9.06735114038851293e+01, 2.12252708044773372e-05,-9.06735068007217677e+01
 2.30000000000000027e+00, 2.12240910257094398e-05,-9.06735175188610185e+01, 2.12239466175258035e-05,-9.06735129407301343e+01
 2.40000000000000036e+00, 2.12227682668756383e-05,-9.06735236298938219e+01, 2.12226227951935442e-05,-9.06735190748301676e+01
 2.50000000000000000e+00, 2.12214457625011966e-05,-9.06735297369835394e+01, 2.12212993372721551e-05,-9.06735252030254912e+01
 2.60000000000000009e+00, 2.12201235125575866e-05,-9.06735358401301852e+01, 2.12199762435520330e-05,-9.06735313253197006e+01
 2.70000000000000018e+00, 2.12188015170175136e-05,-9.06735419393337594e+01, 2.12186535138224292e-05,-9.06735374417164337e+01
 2.80000000000000027e+00, 2.12174797758530763e-05,-9.06735480345942477e+01, 2.12173311478769050e-05,-9.06735435522192859e+01
 2.90000000000000036e+00, 2.12161582890363632e-05,-9.06735541259116502e+01, 2.12160091455047997e-05,-9.06735496568318666e+01
 3.00000000000000000e+00, 2.12148370565394764e-05,-9.06735602132859810e+01, 2.12146875064985599e-05,-9.06735557555577856e+01
 3.10000000000000009e+00, 2.12135160783345182e-05,-9.06735662967172260e+01, 2.12133662306488431e-05,-9.06735618484006380e+01
 3.20000000000000018e+00, 2.12121953543935974e-05,-9.06735723762053993e+01, 2.12120453177475704e-05,-9.06735679353640336e+01
 3.30000000000000027e+00, 2.12108748846882062e-05,-9.06735784517504868e+01, 2.12107247675873375e-05,-9.06735740164515533e+01
 3.40000000000000036e+00, 2.12095546691910669e-05,-9.06735845233525026e+01, 2.12094045799595574e-05,-9.06735800916668069e+01
 3.50000000000000000e+00, 2.12082347078742916e-05,-9.06735905910114326e+01, 2.12080847546569239e-05,-9.06735861610133753e+01
 3.60000000000000009e+00, 2.12069156979939930e-05,-9.06735966424348874e+01, 2.12067652914709482e-05,-9.06735922244948540e+01
 3.70000000000000018e+00, 2.12055970172821801e-05,-9.06736026885912452e+01, 2.12054461901944122e-05,-9.06735982821148099e+01
 3.80000000000000027e+00, 2.12042786627546982e-05,-9.06736087295324609e+01, 2.12041274506213751e-05,-9.06736043338768383e+01
 3.90000000000000036e+00, 2.12029606343741491e-05,-9.06736147652585345e+01, 2.12028090725441073e-05,-9.06736103797845061e+01
 4.00000000000000000e+00, 2.12016429321055741e-05,-9.06736207957694660e+01, 2.12014910557549296e-05,-9.06736164198414087e+01
 4.10000000000000053e+00, 2.12003255559109718e-05,-9.06736268210652696e+01, 2.12001734000486569e-05,-9.06736224540510989e+01
 4.20000000000000018e+00, 2.11990085057535777e-05,-9.06736328411459027e+01, 2.11988561052170953e-05,-9.06736284824171577e+01
 4.29999999999999982e+00, 2.11976917815966069e-05,-9.06736388560114079e+01, 2.11975391710545377e-05,-9.06736345049431520e+01
 4.40000000000000036e+00, 2.11963753834039146e-05,-9.06736448656617711e+01, 2.11962225973547316e-05,-9.06736405216326347e+01
 4.50000000000000000e+00, 2.11950593111381299e-05,-9.06736508700969921e+01, 2.11949063839126849e-05,-9.06736465324891725e+01
 4.60000000000000053e+00, 2.11937435647624915e-05,-9.06736568693170710e+01, 2.11935905305216164e-05,-9.06736525375163183e+01
 4.70000000000000018e+00, 2.11924281442408650e-05,-9.06736628633220079e+01, 2.11922750369760158e-05,-9.06736585367176389e+01
 4.80000000000000071e+00, 2.11911130495365061e-05,-9.06736688521117884e+01, 2.11909599030704367e-05,-9.06736645300966870e+01
 4.90000000000000036e+00, 2.11897982806114507e-05,-9.06736748356864410e+01, 2.11896451285994636e-05,-9.06736705176569870e+01
 5.00000000000000000e+00, 2.11884838374295679e-05,-9.06736808140459516e+01, 2.11883307133583483e-05,-9.06736764994021058e+01
 5.10000000000000053e+00, 2.11871697199553568e-05,-9.06736867871903058e+01, 2.11870166571417767e-05,-9.06736824753355819e+01
 5.20000000000000018e+00, 2.11858559281496539e-05,-9.06736927551195322e+01, 2.11857029597450990e-05,-9.06736884454609537e+01
 5.30000000000000071e+00, 2.11845424619787745e-05,-9.06736987178336022e+01, 2.11843896209643259e-05,-9.06736944097817457e+01
 5.40000000000000036e+00, 2.11832294396498899e-05,-9.06737046732551448e+01, 2.11830766405936723e-05,-9.06737003683015246e+01
 5.50000000000000000e+00, 2.11819168460795524e-05,-9.06737106216482829e+01, 2.11817640184304638e-05,-9.06737063210237864e+01
 5.60000000000000053e+00, 2.11806045995398873e-05,-9.06737165644480712e+01, 2.11804517542696369e-05,-9.06737122679520837e+01
 5.70000000000000018e+00, 2.11792926999915483e-05,-9.06737225016545096e+01, 2.11791398479086085e-05,-9.06737182090899125e+01
 5.80000000000000071e+00, 2.11779811473970287e-05,-9.06737284332675841e+01, 2.11778282991417935e-05,-9.06737241444408255e+01
 5.90000000000000036e+00, 2.11766699417151560e-05,-9.06737343592872946e+01, 2.11765171077667138e-05,-9.06737300740083327e+01
 6.00000000000000000e+00, 2.11753590829072106e-05,-9.06737402797136696e+01, 2.11752062735797122e-05,-9.06737359977959443e+01
 6.10000000000000053e+00, 2.11740485709332633e-05,-9.06737461945466805e+01, 2.11738957963784054e-05,-9.06737419158071702e+01
 6.20000000000000018e+00, 2.11727384057558177e-05,-9.06737521037863274e+01, 2.11725856759580080e-05,-9.06737478280455349e+01
 6.30000000000000071e+00, 2.11714285873337385e-05,-9.06737580074326246e+01, 2.11712759121174580e-05,-9.06737537345145341e+01
 6.40000000000000036e+00, 2.11701191156283163e-05,-9.06737639054855720e+01, 2.11699665046539012e-05,-9.06737596352176638e+01
 6.50000000000000000e+00, 2.11688099906002589e-05,-9.06737697979451553e+01, 2.11686574533639209e-05,-9.06737655301584482e+01
 6.60000000000000053e+00, 2.11675012122096575e-05,-9.06737756848113889e+01, 2.11673487580453745e-05,-9.06737714193403690e+01
 6.70000000000000018e+00, 2.11661927804178231e-05,-9.06737815660842728e+01, 2.11660404184979929e-05,-9.06737773027669220e+01
 6.80000000000000071e+00, 2.11648846951867001e-05,-9.06737874417637926e+01, 2.11647324345166788e-05,-9.06737831804416032e+01
 6.90000000000000036e+00, 2.11635769564745603e-05,-9.06737933118499484e+01, 2.11634248059030910e-05,-9.06737890523678942e+01
 7.00000000000000000e+00, 2.11622695642439717e-05,-9.06737991763427686e+01, 2.11621175324528406e-05,-9.06737949185492909e+01
 7.10000000000000053e+00, 2.11609625184538294e-05,-9.06738050352422249e+01, 2.11608106139658481e-05,-9.06738007789892748e+01
 7.20000000000000018e+00, 2.11596558301667089e-05,-9.06738108883851055e+01, 2.11595040502408620e-05,-9.06738066336913278e+01
 7.30000000000000071e+00, 2.11583495486491602e-05,-9.06738167350462447e+01, 2.11581978410766948e-05,-9.06738124826589171e+01
 7.40000000000000036e+00, 2.11570436179290564e-05,-9.06738225760481669e+01, 2.11568919862715767e-05,-9.06738183258955388e+01
 7.50000000000000000e+00, 2.11557380379660516e-05,-9.06738284113908719e+01, 2.11555864856262381e-05,-9.06738241634046318e+01
 7.60000000000000053e+00, 2.11544328087204234e-05,-9.06738342410743599e+01, 2.11542813389396237e-05,-9.06738299951896920e+01
 7.70000000000000018e+00, 2.11531279301530659e-05,-9.06738400650986307e+01, 2.11529765460107260e-05,-9.06738358212541726e+01
 7.80000000000000071e+00, 2.11518234022236570e-05,-9.06738458834636845e+01, 2.11516721066398077e-05,-9.06738416416015269e+01
