"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.47500572523918806e-06,-8.93134706795236752e+01, 2.47496492091622604e-06,-8.93135962578602403e+01
 1.00000000000000006e-01, 2.47496336895706265e-06,-8.93134764468849056e+01, 2.47492236659658165e-06,-8.93136020492932801e+01
 2.00000000000000011e-01, 2.47492101279900046e-06,-8.93134822142461502e+01, 2.47487985343795742e-06,-8.93136078355289840e+01
 3.00000000000000044e-01, 2.47487865676500192e-06,-8.93134879816073948e+01, 2.47483738141582496e-06,-8.93136136165704215e+01
 4.00000000000000022e-01, 2.47483630085516994e-06,-8.93134937489686394e+01, 2.47479495050525018e-06,-8.93136193924207049e+01
 5.00000000000000000e-01, 2.47479396870769999e-06,-8.93134995133192859e+01, 2.47475256068202317e-06,-8.93136251630828895e+01
 6.00000000000000089e-01, 2.47475192011685844e-06,-8.93135052415717610e+01, 2.47471021192111411e-06,-8.93136309285600731e+01
 7.00000000000000067e-01, 2.47470987164843773e-06,-8.93135109698242360e+01, 2.47466790419811533e-06,-8.93136366888553397e+01
 8.00000000000000044e-01, 2.47466782330264451e-06,-8.93135166980767110e+01, 2.47462563748862422e-06,-8.93136424439717445e+01
 9.00000000000000022e-01, 2.47462577507916920e-06,-8.93135224263291860e+01, 2.47458341176782950e-06,-8.93136481939123712e+01
 1.00000000000000000e+00, 2.47458372697811599e-06,-8.93135281545816611e+01, 2.47454122701154244e-06,-8.93136539386802895e+01
 1.10000000000000009e+00, 2.47454167899968986e-06,-8.93135338828341361e+01, 2.47449908319485775e-06,-8.93136596782785688e+01
 1.20000000000000018e+00, 2.47449963114347830e-06,-8.93135396110866111e+01, 2.47445698029369723e-06,-8.93136654127102787e+01
 1.30000000000000004e+00, 2.47445771316370649e-06,-8.93135453228660765e+01, 2.47441491828347407e-06,-8.93136711419784746e+01
 1.40000000000000013e+00, 2.47441593975853609e-06,-8.93135510163063344e+01, 2.47437289713960397e-06,-8.93136768660862259e+01
 1.50000000000000000e+00, 2.47437419341427562e-06,-8.93135567063263949e+01, 2.47433091683791897e-06,-8.93136825850365881e+01
 1.60000000000000009e+00, 2.47433247413091448e-06,-8.93135623929262294e+01, 2.47428897735374034e-06,-8.93136882988326164e+01
 1.70000000000000018e+00, 2.47429078190792624e-06,-8.93135680761058666e+01, 2.47424707866301192e-06,-8.93136940074773520e+01
 1.80000000000000004e+00, 2.47424911674540237e-06,-8.93135737558652920e+01, 2.47420522074127013e-06,-8.93136997109738786e+01
 1.90000000000000013e+00, 2.47420747864271439e-06,-8.93135794322045200e+01, 2.47416340356426061e-06,-8.93137054093252090e+01
 2.00000000000000000e+00, 2.47416586760016045e-06,-8.93135851051235221e+01, 2.47412162710752824e-06,-8.93137111025344126e+01
 2.10000000000000009e+00, 2.47412428361711205e-06,-8.93135907746223268e+01, 2.47407989134682670e-06,-8.93137167906045306e+01
