"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.57595057556874333e-08,-9.02000552674456060e+01, 7.51717094910896687e-03, 1.59997025032551587e-01
 1.00000000000000006e-01, 2.57594702456808643e-08,-9.02000544477755994e+01, 7.51618364595739875e-03, 1.73066125819112848e-01
 2.00000000000000011e-01, 2.57594347354016234e-08,-9.02000536281056071e+01, 7.51520005547759960e-03, 1.86080317950509333e-01
 3.00000000000000044e-01, 2.57593992248497008e-08,-9.02000528084356006e+01, 7.51422018521418541e-03, 1.99039569259248705e-01
 4.00000000000000022e-01, 2.57593637140268799e-08,-9.02000519887655940e+01, 7.51324404257810909e-03, 2.11943849089865077e-01
 5.00000000000000000e-01, 2.57593282029308015e-08,-9.02000511690956017e+01, 7.51227163484448519e-03, 2.24793128326527508e-01
 6.00000000000000089e-01, 2.57592926915632192e-08,-9.02000503494255952e+01, 7.51130296915338523e-03, 2.37587379378485175e-01
 7.00000000000000067e-01, 2.57592579658462671e-08,-9.02000495233736075e+01, 7.51033805251058624e-03, 2.50326576166140236e-01
 8.00000000000000044e-01, 2.57592241682573059e-08,-9.02000486897826761e+01, 7.50937689178865758e-03, 2.63010694100418441e-01
 9.00000000000000022e-01, 2.57591903703972180e-08,-9.02000478561917305e+01, 7.50841949372556359e-03, 2.75639710102496216e-01
 1.00000000000000000e+00, 2.57591565722648255e-08,-9.02000470226007849e+01, 7.50746586492494379e-03, 2.88213602596539331e-01
 1.10000000000000009e+00, 2.57591227738601219e-08,-9.02000461890098535e+01, 7.50651601185706435e-03, 3.00732351491943439e-01
 1.20000000000000018e+00, 2.57590889751842916e-08,-9.02000453554189079e+01, 7.50556994085972273e-03, 3.13195938163604914e-01
 1.30000000000000004e+00, 2.57590551762373380e-08,-9.02000445218279623e+01, 7.50462765813737255e-03, 3.25604345466752210e-01
 1.40000000000000013e+00, 2.57590229061016795e-08,-9.02000436774419825e+01, 7.50368916976106720e-03, 3.37957557736666858e-01
 1.50000000000000000e+00, 2.57589909655704463e-08,-9.02000428307271420e+01, 7.50275448166958826e-03, 3.50255560765667828e-01
 1.60000000000000009e+00, 2.57589592243373472e-08,-9.02000419826033948e+01, 7.50182359967025997e-03, 3.62498341787500566e-01
 1.70000000000000018e+00, 2.57589276823996556e-08,-9.02000411330707550e+01, 7.50089652943845744e-03, 3.74685889484517753e-01
 1.80000000000000004e+00, 2.57588963397611204e-08,-9.02000402821291942e+01, 7.49997327651719115e-03, 3.86818193993224313e-01
 1.90000000000000013e+00, 2.57588651964196076e-08,-9.02000394297787267e+01, 7.49905384631850865e-03, 3.98895246878682330e-01
 2.00000000000000000e+00, 2.57588342523759441e-08,-9.02000385760193524e+01, 7.49813824412414245e-03, 4.10917041122163207e-01
 2.10000000000000009e+00, 2.57588035076315165e-08,-9.02000377208510571e+01, 7.49722647508540944e-03, 4.22883571121791146e-01
 2.20000000000000018e+00, 2.57587729621842071e-08,-9.02000368642738692e+01, 7.49631854422254038e-03, 4.34794832701618617e-01
 2.30000000000000027e+00, 2.57587426160366001e-08,-9.02000360062877746e+01, 7.49541445642622987e-03, 4.46650823085233684e-01
 2.40000000000000036e+00, 2.57587124691877425e-08,-9.02000351468927590e+01, 7.49451421645814294e-03, 4.58451540885335573e-01
 2.50000000000000000e+00, 2.57586825216372902e-08,-9.02000342860888509e+01, 7.49361782895112145e-03, 4.70196986099306768e-01
 2.60000000000000009e+00, 2.57586527733872416e-08,-9.02000334238760217e+01, 7.49272529840847284e-03, 4.81887160121425684e-01
 2.70000000000000018e+00, 2.57586232244366572e-08,-9.02000325602542858e+01, 7.49183662920548284e-03, 4.93522065715318314e-01
 2.80000000000000027e+00, 2.57585938747857752e-08,-9.02000316952236432e+01, 7.49095182558987514e-03, 5.05101707005129796e-01
 2.90000000000000036e+00, 2.57585647957212291e-08,-9.02000308283449783e+01, 7.49007089168226160e-03, 5.16626089467043581e-01
 3.00000000000000000e+00, 2.57585364763854117e-08,-9.02000299566053201e+01, 7.48919383147538843e-03, 5.28095219944006877e-01
 3.10000000000000009e+00, 2.57585084305052841e-08,-9.02000290829999898e+01, 7.48832064883565157e-03, 5.39509106617257039e-01
 3.20000000000000018e+00, 2.57584806580830104e-08,-9.02000282075289732e+01, 7.48745134750352943e-03, 5.50867758998802359e-01
 3.30000000000000027e+00, 2.57584531591172073e-08,-9.02000273301922704e+01, 7.48658593109420394e-03, 5.62171187919695781e-01
 3.40000000000000036e+00, 2.57584259336088643e-08,-9.02000264509898813e+01, 7.48572440309679121e-03, 5.73419405546337302e-01
 3.50000000000000000e+00, 2.57583989815583718e-08,-9.02000255699218059e+01, 7.48486676687588025e-03, 5.84612425351522358e-01
 3.60000000000000009e+00, 2.57583723029661334e-08,-9.02000246869880584e+01, 7.48401302567190153e-03, 5.95750262108173945e-01
 3.70000000000000018e+00, 2.57583458978325593e-08,-9.02000238021886247e+01, 7.48316318260193545e-03, 6.06832931874932258e-01
 3.80000000000000027e+00, 2.57583197661586423e-08,-9.02000229155235047e+01, 7.48231724065893423e-03, 6.17860452013150097e-01
 3.90000000000000036e+00, 2.57582939079442103e-08,-9.02000220269926984e+01, 7.48147520271325202e-03, 6.28832841158115441e-01
 4.00000000000000000e+00, 2.57582683231890780e-08,-9.02000211365962201e+01, 7.48063707151300390e-03, 6.39750119213516211e-01
 4.10000000000000053e+00, 2.57582430118948600e-08,-9.02000202443340555e+01, 7.47980284968494894e-03, 6.50612307335301510e-01
 4.20000000000000018e+00, 2.57582179740613777e-08,-9.02000193502062046e+01, 7.47897253973382661e-03, 6.61419427948413463e-01
 4.29999999999999982e+00, 2.57581932096890611e-08,-9.02000184542126675e+01, 7.47814614404382089e-03, 6.72171504718685475e-01
 4.40000000000000036e+00, 2.57581687187783306e-08,-9.02000175563534441e+01, 7.47732366487890814e-03, 6.82868562547839453e-01
