"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.51678006894158416e-06,-8.93044557274747604e+01, 2.51672008357831099e-06,-8.93045733310441818e+01
 1.00000000000000006e-01, 2.51673724662191000e-06,-8.93044614548087736e+01, 2.51667691932138018e-06,-8.93045791019914361e+01
 2.00000000000000011e-01, 2.51669442442667768e-06,-8.93044671821427869e+01, 2.51663379683697608e-06,-8.93045848677655130e+01
 3.00000000000000044e-01, 2.51665160235620146e-06,-8.93044729094768002e+01, 2.51659071610130129e-06,-8.93045906283693967e+01
 4.00000000000000022e-01, 2.51660878041027169e-06,-8.93044786368108134e+01, 2.51654767709024841e-06,-8.93045963838060999e+01
 5.00000000000000000e-01, 2.51656595858888837e-06,-8.93044843641448267e+01, 2.51650467978034487e-06,-8.93046021340785927e+01
 6.00000000000000089e-01, 2.51652313689205109e-06,-8.93044900914788400e+01, 2.51646172414717793e-06,-8.93046078791899021e+01
 7.00000000000000067e-01, 2.51648031531997032e-06,-8.93044958188128533e+01, 2.51641881016738938e-06,-8.93046136191429838e+01
 8.00000000000000044e-01, 2.51643749387233097e-06,-8.93045015461468665e+01, 2.51637593781699590e-06,-8.93046193539408506e+01
 9.00000000000000022e-01, 2.51639467254934269e-06,-8.93045072734808798e+01, 2.51633310707202012e-06,-8.93046250835864868e+01
 1.00000000000000000e+00, 2.51635221859509597e-06,-8.93045129551297521e+01, 2.51629031790880227e-06,-8.93046308080828766e+01
 1.10000000000000009e+00, 2.51630976661141804e-06,-8.93045186365487211e+01, 2.51624757030389861e-06,-8.93046365274329759e+01
 1.20000000000000018e+00, 2.51626731475038582e-06,-8.93045243179677044e+01, 2.51620486423324112e-06,-8.93046422416397974e+01
 1.30000000000000004e+00, 2.51622486301178967e-06,-8.93045299993866877e+01, 2.51616219967329033e-06,-8.93046479507062969e+01
 1.40000000000000013e+00, 2.51618241139594426e-06,-8.93045356808056709e+01, 2.51611957660019590e-06,-8.93046536546354588e+01
 1.50000000000000000e+00, 2.51613995990253493e-06,-8.93045413622246542e+01, 2.51607699499063946e-06,-8.93046593534302389e+01
 1.60000000000000009e+00, 2.51609750853177131e-06,-8.93045470436436375e+01, 2.51603445482078082e-06,-8.93046650470936072e+01
 1.70000000000000018e+00, 2.51605505728365340e-06,-8.93045527250626066e+01, 2.51599195606688952e-06,-8.93046707356285481e+01
 1.80000000000000004e+00, 2.51601260615807659e-06,-8.93045584064815898e+01, 2.51594949870576617e-06,-8.93046764190380031e+01
 1.90000000000000013e+00, 2.51597045161318260e-06,-8.93045640510139691e+01, 2.51590708271347955e-06,-8.93046820973249424e+01
 2.00000000000000000e+00, 2.51592832716079509e-06,-8.93045696918171501e+01, 2.51586470806673498e-06,-8.93046877704923219e+01
 2.10000000000000009e+00, 2.51588622993782328e-06,-8.93045753292473563e+01, 2.51582237474192565e-06,-8.93046934385430973e+01
 2.20000000000000018e+00, 2.51584415994394528e-06,-8.93045809633045593e+01, 2.51578008271566118e-06,-8.93046991014802245e+01
 2.30000000000000027e+00, 2.51580211717904759e-06,-8.93045865939888017e+01, 2.51573783196455498e-06,-8.93047047593066310e+01
 2.40000000000000036e+00, 2.51576010164280708e-06,-8.93045922213000551e+01, 2.51569562246480584e-06,-8.93047104120253010e+01
 2.50000000000000000e+00, 2.51571811333521653e-06,-8.93045978452383196e+01, 2.51565345419335246e-06,-8.93047160596391478e+01
