"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 5.22563506509718330e-08,-9.05645546201601519e+01, 1.87973158091471679e-02,-5.24655258388231474e+01
 1.00000000000000006e-01, 5.22566789821249740e-08,-9.05645519629924962e+01, 1.87695022027923944e-02,-5.25383905063265715e+01
 2.00000000000000011e-01, 5.22570073134324536e-08,-9.05645493058248405e+01, 1.87415310028838517e-02,-5.26114764088904749e+01
 3.00000000000000044e-01, 5.22573356448957609e-08,-9.05645466486571848e+01, 1.87134014618281150e-02,-5.26847843909043902e+01
 4.00000000000000022e-01, 5.22576639765149090e-08,-9.05645439914895292e+01, 1.86851128323905318e-02,-5.27583152990961466e+01
 5.00000000000000000e-01, 5.22579923082883957e-08,-9.05645413343218735e+01, 1.86566643677539661e-02,-5.28320699825293048e+01
 6.00000000000000089e-01, 5.22583207663247297e-08,-9.05645386761131022e+01, 1.86280553796919802e-02,-5.29060492548577415e+01
 7.00000000000000067e-01, 5.22586503803478953e-08,-9.05645360083620119e+01, 1.85992850945505481e-02,-5.29802539877809195e+01
 8.00000000000000044e-01, 5.22589799945279606e-08,-9.05645333406109359e+01, 1.85703527636705661e-02,-5.30546850395265039e+01
 9.00000000000000022e-01, 5.22593096088679099e-08,-9.05645306728598456e+01, 1.85412576466850304e-02,-5.31293432656779956e+01
 1.00000000000000000e+00, 5.22596392233647523e-08,-9.05645280051087553e+01, 1.85119990042843241e-02,-5.32042295239015814e+01
 1.10000000000000009e+00, 5.22599688380169855e-08,-9.05645253373576793e+01, 1.84825760982856371e-02,-5.32793446739350856e+01
 1.20000000000000018e+00, 5.22602986780736327e-08,-9.05645226678194888e+01, 1.84529881917025601e-02,-5.33546895775760319e+01
 1.30000000000000004e+00, 5.22606295274060620e-08,-9.05645199902748601e+01, 1.84232345488141748e-02,-5.34302650986705743e+01
 1.40000000000000013e+00, 5.22609605265052057e-08,-9.05645173115432414e+01, 1.83933144352340719e-02,-5.35060721031019852e+01
 1.50000000000000000e+00, 5.22612916753685955e-08,-9.05645146316246610e+01, 1.83632271179791501e-02,-5.35821114587791598e+01
 1.60000000000000009e+00, 5.22616229739982762e-08,-9.05645119505191047e+01, 1.83329718655380787e-02,-5.36583840356255521e+01
 1.70000000000000018e+00, 5.22619544223947971e-08,-9.05645092682265869e+01, 1.83025479479398609e-02,-5.37348907055672100e+01
 1.80000000000000004e+00, 5.22622860205571788e-08,-9.05645065847470789e+01, 1.82719546684841430e-02,-5.38116323148538243e+01
 1.90000000000000013e+00, 5.22626177684874794e-08,-9.05645039000806236e+01, 1.82411912933929388e-02,-5.38886097455018529e+01
 2.00000000000000000e+00, 5.22629496661862479e-08,-9.05645012142271781e+01, 1.82102570982720542e-02,-5.39658238748310808e+01
 2.10000000000000009e+00, 5.22632817136540007e-08,-9.05644985271867711e+01, 1.81791513658616614e-02,-5.40432755774501672e+01
 2.20000000000000018e+00, 5.22636139108898113e-08,-9.05644958389593882e+01, 1.81478733814977276e-02,-5.41209657292620960e+01
 2.30000000000000027e+00, 5.22639462578957112e-08,-9.05644931495450436e+01, 1.81164224332136629e-02,-5.41988952074188575e+01
 2.40000000000000036e+00, 5.22642787546722298e-08,-9.05644904589437232e+01, 1.80847978118416040e-02,-5.42770648902758310e+01
 2.50000000000000000e+00, 5.22646114012199230e-08,-9.05644877671554269e+01, 1.80529988108445762e-02,-5.43554756572944342e+01
 2.60000000000000009e+00, 5.22649441975393467e-08,-9.05644850741801548e+01, 1.80210247143648521e-02,-5.44341283866741463e+01
 2.70000000000000018e+00, 5.22652771778872462e-08,-9.05644823797593546e+01, 1.79888748244876398e-02,-5.45130239605245421e+01
 2.80000000000000027e+00, 5.22656106886881790e-08,-9.05644796812783710e+01, 1.79565484404725258e-02,-5.45921632608139689e+01
 2.90000000000000036e+00, 5.22659444002170937e-08,-9.05644769812258090e+01, 1.79240448642563055e-02,-5.46715471703586999e+01
 3.00000000000000000e+00, 5.22662783124837443e-08,-9.05644742796016544e+01, 1.78913634005150070e-02,-5.47511765727686708e+01
