"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 2.53549897996904922e-06,-8.93044117649496911e+01, 2.53530208550064003e-06,-8.93045272976889919e+01
 1.00000000000000006e-01, 2.53545415116734441e-06,-8.93044175191222962e+01, 2.53525759072256124e-06,-8.93045330689943739e+01
 2.00000000000000011e-01, 2.53540932253806544e-06,-8.93044232732949013e+01, 2.53521313806031584e-06,-8.93045388351316802e+01
 3.00000000000000044e-01, 2.53536449408100140e-06,-8.93044290274675063e+01, 2.53516872748661751e-06,-8.93045445961039803e+01
 4.00000000000000022e-01, 2.53531984541843384e-06,-8.93044347608239946e+01, 2.53512435897384917e-06,-8.93045503519143722e+01
 5.00000000000000000e-01, 2.53527535125648724e-06,-8.93044404762953690e+01, 2.53508003249416841e-06,-8.93045561025659538e+01
 6.00000000000000089e-01, 2.53523085726407682e-06,-8.93044461917667576e+01, 2.53503574802035288e-06,-8.93045618480617946e+01
 7.00000000000000067e-01, 2.53518636344120429e-06,-8.93044519072381320e+01, 2.53499150552463937e-06,-8.93045675884049928e+01
 8.00000000000000044e-01, 2.53514186978808054e-06,-8.93044576227095064e+01, 2.53494730497967252e-06,-8.93045733235986177e+01
 9.00000000000000022e-01, 2.53509737630428123e-06,-8.93044633381808950e+01, 2.53490314635776538e-06,-8.93045790536457389e+01
 1.00000000000000000e+00, 2.53505288299033700e-06,-8.93044690536522694e+01, 2.53485902963132457e-06,-8.93045847785494686e+01
 1.10000000000000009e+00, 2.53500838984592939e-06,-8.93044747691236438e+01, 2.53481495477284736e-06,-8.93045904983128480e+01
 1.20000000000000018e+00, 2.53496417207498479e-06,-8.93044804517433164e+01, 2.53477092175471116e-06,-8.93045962129389750e+01
 1.30000000000000004e+00, 2.53491999525525917e-06,-8.93044861294945349e+01, 2.53472693054949115e-06,-8.93046019224309049e+01
 1.40000000000000013e+00, 2.53487584692061800e-06,-8.93044918038653748e+01, 2.53468298112943134e-06,-8.93046076267917215e+01
 1.50000000000000000e+00, 2.53483172707075336e-06,-8.93044974748558360e+01, 2.53463907346707855e-06,-8.93046133260244943e+01
 1.60000000000000009e+00, 2.53478763570514561e-06,-8.93045031424659328e+01, 2.53459520753485930e-06,-8.93046190201322787e+01
 1.70000000000000018e+00, 2.53474357282359315e-06,-8.93045088066956509e+01, 2.53455138330529289e-06,-8.93046247091181442e+01
 1.80000000000000004e+00, 2.53469953842600026e-06,-8.93045144675449905e+01, 2.53450760075067202e-06,-8.93046303929851462e+01
 1.90000000000000013e+00, 2.53465553251184814e-06,-8.93045201250139513e+01, 2.53446385984348591e-06,-8.93046360717363683e+01
 2.00000000000000000e+00, 2.53461155508072387e-06,-8.93045257791025477e+01, 2.53442016055621107e-06,-8.93046417453748518e+01
 2.10000000000000009e+00, 2.53456760613242710e-06,-8.93045314298107797e+01, 2.53437650286130792e-06,-8.93046474139036661e+01
 2.20000000000000018e+00, 2.53452368566665081e-06,-8.93045370771386331e+01, 2.53433288673111828e-06,-8.93046530773258525e+01
 2.30000000000000027e+00, 2.53447979368329969e-06,-8.93045427210861078e+01, 2.53428931213807464e-06,-8.93046587356444803e+01
 2.40000000000000036e+00, 2.53443593018175118e-06,-8.93045483616532039e+01, 2.53424577905459420e-06,-8.93046643888625908e+01
 2.50000000000000000e+00, 2.53439209516190955e-06,-8.93045539988399355e+01, 2.53420228745318651e-06,-8.93046700369832394e+01
 2.60000000000000009e+00, 2.53434828862336486e-06,-8.93045596326462885e+01, 2.53415883730645175e-06,-8.93046756800094670e+01
 2.70000000000000018e+00, 2.53430451056570417e-06,-8.93045652630722770e+01, 2.53411542858644672e-06,-8.93046813179443433e+01
 2.80000000000000027e+00, 2.53426076098883430e-06,-8.93045708901178870e+01, 2.53407206126563694e-06,-8.93046869507908951e+01
 2.90000000000000036e+00, 2.53421703989244947e-06,-8.93045765137831182e+01, 2.53402873531668439e-06,-8.93046925785521637e+01
 3.00000000000000000e+00, 2.53417334727613931e-06,-8.93045821340679709e+01, 2.53398545071191865e-06,-8.93046982012312043e+01
 3.10000000000000009e+00, 2.53412973229931633e-06,-8.93045877449904140e+01, 2.53394220742376074e-06,-8.93047038188310438e+01
 3.20000000000000018e+00, 2.53408619357970745e-06,-8.93045933467185478e+01, 2.53389900542461729e-06,-8.93047094313547234e+01
 3.30000000000000027e+00, 2.53404269235562982e-06,-8.93045989439690544e+01, 2.53385584468677338e-06,-8.93047150388052842e+01
 3.40000000000000036e+00, 2.53399922862668999e-06,-8.93046045367419481e+01, 2.53381272518281733e-06,-8.93047206411857672e+01
 3.50000000000000000e+00, 2.53395580239249281e-06,-8.93046101250372004e+01, 2.53376964688521549e-06,-8.93047262384991853e+01
 3.60000000000000009e+00, 2.53391241365275115e-06,-8.93046157088548398e+01, 2.53372660976620890e-06,-8.93047318307485796e+01
 3.70000000000000018e+00, 2.53386906240696482e-06,-8.93046212881948520e+01, 2.53368361379823511e-06,-8.93047374179369911e+01
 3.80000000000000027e+00, 2.53382574865474165e-06,-8.93046268630572371e+01, 2.53364065895382143e-06,-8.93047430000674325e+01
 3.90000000000000036e+00, 2.53378247239568862e-06,-8.93046324334420092e+01, 2.53359774520537410e-06,-8.93047485771429308e+01
 4.00000000000000000e+00, 2.53373923362941271e-06,-8.93046379993491399e+01, 2.53355487252507526e-06,-8.93047541491665129e+01
 4.10000000000000053e+00, 2.53369603235552259e-06,-8.93046435607786577e+01, 2.53351204088551113e-06,-8.93047597161412057e+01
 4.20000000000000018e+00, 2.53365286857362607e-06,-8.93046491177305484e+01, 2.53346925025914933e-06,-8.93047652780700218e+01
 4.29999999999999982e+00, 2.53360974228343687e-06,-8.93046546702048119e+01, 2.53342650061823045e-06,-8.93047708349559741e+01
 4.40000000000000036e+00, 2.53356665348445862e-06,-8.93046602182014482e+01, 2.53338379193519037e-06,-8.93047763868021036e+01
 4.50000000000000000e+00, 2.53352360217640545e-06,-8.93046657617204573e+01, 2.53334112418245053e-06,-8.93047819336113946e+01
 4.60000000000000053e+00, 2.53348058835857050e-06,-8.93046713007618536e+01, 2.53329849733231083e-06,-8.93047874753868882e+01
 4.70000000000000018e+00, 2.53343761203109143e-06,-8.93046768353256084e+01, 2.53325591135747861e-06,-8.93047930121315687e+01
 4.80000000000000071e+00, 2.53339467319315550e-06,-8.93046823654117503e+01, 2.53321336622990480e-06,-8.93047985438484773e+01
 4.90000000000000036e+00, 2.53335177184447896e-06,-8.93046878910202651e+01, 2.53317086192226707e-06,-8.93048040705405981e+01
 5.00000000000000000e+00, 2.53330891163776476e-06,-8.93046934117032265e+01, 2.53312839840680265e-06,-8.93048095922109439e+01
 5.10000000000000053e+00, 2.53326611321378281e-06,-8.93046989249296814e+01, 2.53308597565605115e-06,-8.93048151088625133e+01
 5.20000000000000018e+00, 2.53322335497985614e-06,-8.93047044333471973e+01, 2.53304359364221889e-06,-8.93048206204983330e+01
 5.30000000000000071e+00, 2.53318063693567728e-06,-8.93047099369557458e+01, 2.53300125233770825e-06,-8.93048261271213732e+01
 5.40000000000000036e+00, 2.53313795908093706e-06,-8.93047154357553268e+01, 2.53295895171511730e-06,-8.93048316287346466e+01
 5.50000000000000000e+00, 2.53309532141490534e-06,-8.93047209297459545e+01, 2.53291669174639443e-06,-8.93048371253411659e+01
 5.60000000000000053e+00, 2.53305272393748640e-06,-8.93047264189276149e+01, 2.53287447240431685e-06,-8.93048426169439011e+01
 5.70000000000000018e+00, 2.53301016664805598e-06,-8.93047319033003220e+01, 2.53283229366090705e-06,-8.93048481035458650e+01
 5.80000000000000071e+00, 2.53296764954641248e-06,-8.93047373828640616e+01, 2.53279015548891048e-06,-8.93048535851500276e+01
 5.90000000000000036e+00, 2.53292517263182746e-06,-8.93047428576188480e+01, 2.53274805786021242e-06,-8.93048590617594158e+01
 6.00000000000000000e+00, 2.53288273590431194e-06,-8.93047483275646670e+01, 2.53270600074752656e-06,-8.93048645333769855e+01
 6.10000000000000053e+00, 2.53284033936303157e-06,-8.93047537927015327e+01, 2.53266398412312822e-06,-8.93048700000057352e+01
 6.20000000000000018e+00, 2.53279798300789277e-06,-8.93047592530294310e+01, 2.53262200795917080e-06,-8.93048754616486633e+01
 6.30000000000000071e+00, 2.53275566683816751e-06,-8.93047647085483760e+01, 2.53258007222832009e-06,-8.93048809183087258e+01
 6.40000000000000036e+00, 2.53271339085376304e-06,-8.93047701592583536e+01, 2.53253817690259269e-06,-8.93048863699889353e+01
 6.50000000000000000e+00, 2.53267115505416351e-06,-8.93047756051593780e+01, 2.53249632195462137e-06,-8.93048918166922476e+01
 6.60000000000000053e+00, 2.53262895943885393e-06,-8.93047810462514349e+01, 2.53245450735659975e-06,-8.93048972584216614e+01
 6.70000000000000018e+00, 2.53258680400753065e-06,-8.93047864825345385e+01, 2.53241273308081374e-06,-8.93049026951801324e+01
 6.80000000000000071e+00, 2.53254468875978496e-06,-8.93047919140086748e+01, 2.53237099909952937e-06,-8.93049081269706591e+01
 6.90000000000000036e+00, 2.53250261369520859e-06,-8.93047973406738578e+01, 2.53232930538531633e-06,-8.93049135537961973e+01
 7.00000000000000000e+00, 2.53246058451254817e-06,-8.93048027617644209e+01, 2.53228765191030215e-06,-8.93049189756597173e+01
 7.10000000000000053e+00, 2.53241859800764957e-06,-8.93048081777107825e+01, 2.53224603864681258e-06,-8.93049243925642031e+01
 7.20000000000000018e+00, 2.53237665213544322e-06,-8.93048135887876384e+01, 2.53220446556715555e-06,-8.93049298045126250e+01
 7.30000000000000071e+00, 2.53233474689541370e-06,-8.93048189949949887e+01, 2.53216293264372586e-06,-8.93049352115079387e+01
 7.40000000000000036e+00, 2.53229288228704686e-06,-8.93048243963328332e+01, 2.53212143984890555e-06,-8.93049406135531001e+01
 7.50000000000000000e+00, 2.53225105831003821e-06,-8.93048297928011721e+01, 2.53207998715474085e-06,-8.93049460106510935e+01
 7.60000000000000053e+00, 2.53220927496408491e-06,-8.93048351843999910e+01, 2.53203857453368414e-06,-8.93049514028048748e+01
 7.70000000000000018e+00, 2.53216753224846233e-06,-8.93048405711293185e+01, 2.53199720195796035e-06,-8.93049567900173997e+01
