"environment.time","0.IKr.IKr","0.membrane.v","1.IKr.IKr","1.membrane.v"
 0.00000000000000000e+00, 6.41972785671271788e-05,-8.95735427359590517e+01, 6.41972402820279668e-05,-8.95739651951192855e+01
 1.00000000000000006e-01, 6.41929675472394150e-05,-8.95735488446270978e+01, 6.41929207822547894e-05,-8.95739713464697473e+01
 2.00000000000000011e-01, 6.41886566275144628e-05,-8.95735549532951580e+01, 6.41886026270974911e-05,-8.95739774917191625e+01
 3.00000000000000044e-01, 6.41843458079596133e-05,-8.95735610619632041e+01, 6.41842858134980662e-05,-8.95739836308710551e+01
 4.00000000000000022e-01, 6.41800350885675754e-05,-8.95735671706312644e+01, 6.41799703383449358e-05,-8.95739897639289637e+01
 5.00000000000000000e-01, 6.41757244693432144e-05,-8.95735732792993105e+01, 6.41756561984820550e-05,-8.95739958908963700e+01
 6.00000000000000089e-01, 6.41714139502840908e-05,-8.95735793879673707e+01, 6.41713433906747338e-05,-8.95740020117767983e+01
 7.00000000000000067e-01, 6.41671035313950430e-05,-8.95735854966354168e+01, 6.41670319116527204e-05,-8.95740081265737302e+01
 8.00000000000000044e-01, 6.41627977926135878e-05,-8.95735915835208090e+01, 6.41627217580830551e-05,-8.95740142352906616e+01
 9.00000000000000022e-01, 6.41584971265252391e-05,-8.95735976467533419e+01, 6.41584129265697595e-05,-8.95740203379310600e+01
 1.00000000000000000e+00, 6.41541965597482915e-05,-8.95736037099858606e+01, 6.41541054136726327e-05,-8.95740264344983785e+01
 1.10000000000000009e+00, 6.41498960922706697e-05,-8.95736097732183936e+01, 6.41497992158851076e-05,-8.95740325249960847e+01
 1.20000000000000018e+00, 6.41455957241044491e-05,-8.95736158364509123e+01, 6.41454943296434658e-05,-8.95740386094276033e+01
 1.30000000000000004e+00, 6.41412954552375678e-05,-8.95736218996834452e+01, 6.41411907513312561e-05,-8.95740446877963734e+01
 1.40000000000000013e+00, 6.41369952856796753e-05,-8.95736279629159640e+01, 6.41368891762332776e-05,-8.95740507601703229e+01
 1.50000000000000000e+00, 6.41326952154259468e-05,-8.95736340261484969e+01, 6.41325890762074795e-05,-8.95740568265044743e+01
 1.60000000000000009e+00, 6.41284028711913294e-05,-8.95736400531831976e+01, 6.41282903533182047e-05,-8.95740628867935271e+01
 1.70000000000000018e+00, 6.41241117780541500e-05,-8.95736460747477707e+01, 6.41239930074845988e-05,-8.95740689410412472e+01
 1.80000000000000004e+00, 6.41198216258195592e-05,-8.95736520923138499e+01, 6.41196970386539560e-05,-8.95740749892513435e+01
