,drug,deltaRMSD_min,deltaRMSD_max,deltaRMSD_mean,deltaRMSD_ratio_min,deltaRMSD_ratio_max,deltaRMSD_ratio_mean
0,dofetilide,4.77307550218064,9.854273734920026,7.235819362389658,[0.45351622],[0.93630889],[0.6875151]
0,bepridil,56.071776192003,59.230507507841466,57.28722349769193,[0.65694718],[0.69395545],[0.67118758]
0,terfenadine,54.44368140646326,57.07380980663647,55.4608729162958,[0.68134621],[0.71426147],[0.69407605]
0,cisapride,8.121288155142906,14.633997082626621,11.187045022456825,[0.13048609],[0.23512686],[0.17974411]
0,verapamil,57.939071386684034,59.930863998823696,58.72862545624421,[0.71486355],[0.73943867],[0.72460522]
0,ranolazine,9.391483082198707,10.531224048475949,10.00635459933606,[0.41613313],[0.46663463],[0.44337786]
0,quinidine,28.399834405735007,29.38189762682506,28.62827648086546,[0.81522789],[0.84341839],[0.82178541]
0,sotalol,23.439651880645208,23.815997432549008,23.582246461065846,[0.79607986],[0.80886167],[0.80092279]
0,chlorpromazine,32.681589038722954,33.19696867131779,32.89640170171273,[0.77847033],[0.7907466],[0.78358714]
0,ondansetron,31.365554288667376,32.39319109423753,31.636739628374265,[0.89598112],[0.92533635],[0.90372773]
0,diltiazem,28.363829751967593,29.014454830567047,28.606098952882512,[0.87244879],[0.8924615],[0.8799008]
0,mexiletine,16.393495148072446,20.58913979347855,18.664961665711537,[0.58872875],[0.73940417],[0.67030243]
