,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME
0,0.0,1.1359430134723382e-15,3.592167214727924e-15,1.1359430134723382e-14,3.5921672147279235e-14,1.1359430134723385e-13,3.592167214727924e-13,1.1359430134723385e-12,3.592167214727924e-12,1.1359430134723384e-11,3.592167214727925e-11,1.1359430134723388e-10,3.592167214727925e-10,1.1359430134723384e-09,1.0,0.9831389270752922,0.9650287962088798,0.9288651767816236,0.8606842784400843,0.7450365609970583,0.5801628427387537,0.3954122643207149,0.2373399991177144,0.1309104520497988,0.0697620859997759,0.0360065098150878,0.0154427181934673,0.0,0.6457292119753619,1.2752858349989968e-08,-1.147,100000000.0,1.79e-05,0.65,548300000.0,1.1359430134723396e-15,2.350422947151909e-15,4.863349626678071e-15,1.0062941914334996e-14,2.0821616322996705e-14,4.30827992442738e-14,8.91442605573504e-14,1.8445178423203291e-13,3.816562108840662e-13,7.896993998342017e-13,1.6339971008304349e-12,3.3809656257594162e-12,6.995684727198904e-12,1.4475037672520384e-11,2.9950851673783126e-11,6.197244776004532e-11,1.2822955164020668e-10,2.6532464842302726e-10,5.489933339104788e-10,1.1359430134723395e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,5.389115374338476e-15,1.7041879156340517e-14,5.3891153743384764e-14,1.7041879156340518e-13,5.389115374338477e-13,1.7041879156340517e-12,5.389115374338477e-12,1.7041879156340518e-11,5.389115374338477e-11,1.7041879156340522e-10,5.389115374338476e-10,1.7041879156340523e-09,,1.0,0.9848702438010654,0.967326440361216,0.930847475959222,0.8594806370747208,0.7351609916554286,0.5569341293990184,0.3619804404174297,0.2034937287570519,0.1033338865346433,0.0487205699737487,0.0189790964614275,0.0,,0.6921637368878715,8.962055926442515e-09,-1.147,100000000.0,1.79e-05,0.6844210526315789,548300000.0,5.389115374338479e-15,1.04952107916357e-14,2.0439245016977927e-14,3.9805083019104007e-14,7.75197240818653e-14,1.5096834790783876e-13,2.940082971135601e-13,5.725761722211143e-13,1.1150823844564934e-12,2.171604031830033e-12,4.229162021386474e-12,8.236221309676378e-12,1.6039901313529804e-11,3.1237435769909554e-11,6.083437637213789e-11,1.1847391622816432e-10,2.3072594252592126e-10,4.4933485993619535e-10,8.750720189655154e-10,1.7041879156340523e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2.202540003307701e-14,6.965043048087134e-14,2.2025400033077014e-13,6.965043048087133e-13,2.2025400033077014e-12,6.965043048087133e-12,2.202540003307701e-11,6.965043048087133e-11,2.202540003307701e-10,6.965043048087131e-10,2.202540003307702e-09,6.965043048087134e-09,,1.0,0.9866283840070044,0.969933486271515,0.933781534644552,0.8603759866716746,0.7290807037609415,0.5400970579985178,0.3389223077311338,0.1839622824718374,0.0920004484706066,0.0440608734576075,0.0178579235144265,0.0,,0.7175274609958933,1.1616346096841258e-08,-1.147,100000000.0,1.79e-05,0.718842105263158,548300000.0,2.2025400033077048e-14,4.289409301162324e-14,8.353551865240517e-14,1.626840058055404e-13,3.1682434217070697e-13,6.17010033007702e-13,1.2016165747360396e-12,2.340127899771686e-12,4.5573593960226676e-12,8.875380130522979e-12,1.7284652276936642e-11,3.366156716005432e-11,6.555533114095551e-11,1.2766789557261298e-10,2.486310613685056e-10,4.84204775209679e-10,9.429805875636803e-10,1.836438701243458e-09,3.576433224503707e-09,6.9650430480871435e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,7.915030272246236e-14,2.502952340948072e-13,7.915030272246236e-13,2.5029523409480718e-12,7.915030272246236e-12,2.502952340948072e-11,7.915030272246235e-11,2.502952340948072e-10,7.915030272246235e-10,2.5029523409480722e-09,7.915030272246237e-09,2.5029523409480724e-08,,1.0,0.9881805329717146,0.9723301552498762,0.936575885324989,0.8612223418629184,0.7228607648738901,0.5232202833461131,0.3170084264718346,0.1668617735732626,0.0830652118456792,0.0409171931691562,0.0173593211160924,0.0,,0.742215177347114,1.4958726411463265e-08,-1.147,100000000.0,1.79e-05,0.7532631578947369,548300000.0,7.915030272246227e-14,1.541438721556389e-13,3.0019257672897114e-13,5.846199518861781e-13,1.138537441090608e-12,2.2172823568250706e-12,4.31811978460575e-12,8.409465044814136e-12,1.6377290549481032e-11,3.1894495584772345e-11,6.211398921778876e-11,1.2096594054271876e-10,2.3557911761355636e-10,4.5878633610907046e-10,8.934786085142914e-10,1.740034436602862e-09,3.388687554141271e-09,6.5994115392399996e-09,1.2852242046048044e-08,2.502952340948074e-08,210.37146396575736,211.68560055025392,213.85013016581505,217.40540183180025,223.215891668542,232.61510728572125,247.50288604903085,270.15571894396004,302.5591977682617,346.7194224729573,406.5171154880209,487.8682216937759,597.9685265198101,861.3590866055166,,,,,,,210.2394664844957,211.439772608115,213.39377113111223,216.55997008237065,221.65156931853068,229.74008693821264,242.3457408355987,261.42685806090185,289.15852698700814,327.7579029940541,380.3996458057373,450.2316830947227,540.5401106427375,845.651794177948,904.4107235487414,,,,,,21.20814082715104,13.51834798911986
0,0.0,2.543485081784072e-13,8.043206053097311e-13,2.543485081784071e-12,8.043206053097311e-12,2.5434850817840707e-11,8.043206053097312e-11,2.5434850817840714e-10,8.04320605309731e-10,2.5434850817840717e-09,8.043206053097313e-09,2.5434850817840722e-08,8.043206053097317e-08,,1.0,0.9895529794656236,0.9745329409466544,0.9392488422500016,0.8620375218250695,0.7165342945179128,0.506411079467277,0.2964060300420805,0.1521374199079298,0.0762288114100212,0.0389847202549643,0.0172936058860013,0.0,,0.7661233469790381,1.9204180033990323e-08,-1.147,100000000.0,1.79e-05,0.7876842105263158,548300000.0,2.5434850817840733e-13,4.95339405903541e-13,9.646650919956276e-13,1.8786689058535023e-12,3.658675831753645e-12,7.1252091308642735e-12,1.387622393816116e-11,2.7023710777544816e-11,5.262821841466792e-11,1.0249256278317928e-10,1.9960252773702558e-10,3.8872253749077374e-10,7.570305489935764e-10,1.474304154857808e-09,2.87118233725259e-09,5.591578906284992e-09,1.0889505086301602e-08,2.120712646857252e-08,4.130051912274508e-08,8.043206053097317e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,7.412286506309017e-13,2.343970802966853e-12,7.412286506309017e-12,2.343970802966853e-11,7.412286506309017e-11,2.343970802966853e-10,7.412286506309015e-10,2.3439708029668524e-09,7.412286506309018e-09,2.3439708029668533e-08,7.41228650630902e-08,2.343970802966854e-07,,1.0,0.9907651612307388,0.9765619533565324,0.9418034824972108,0.8628233900169356,0.7101029877418851,0.4897215515912554,0.2771774024240666,0.1396115754027244,0.0711271281029425,0.0379327071139459,0.0174400358411802,0.0,,0.7892977297690343,2.456209980397933e-08,-1.147,100000000.0,1.79e-05,0.8221052631578948,548300000.0,7.412286506309031e-13,1.4435302257981345e-12,2.8112506323375308e-12,5.4748629274101e-12,1.0662202696956355e-11,2.076445892039196e-11,4.043843158034535e-11,7.875315966323309e-11,1.533704427833732e-10,2.9868633614391514e-10,5.816865738927593e-10,1.1328247371987835e-09,2.206156962883721e-09,4.2964532685926526e-09,8.367269872344751e-09,1.629511616673088e-08,3.173446236805139e-08,6.180232724240277e-08,1.203589841314701e-07,2.343970802966853e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.982165047340416e-12,6.268156247971195e-12,1.9821650473404158e-11,6.268156247971194e-11,1.982165047340416e-10,6.268156247971192e-10,1.982165047340416e-09,6.268156247971195e-09,1.982165047340416e-08,6.268156247971198e-08,1.9821650473404165e-07,6.268156247971197e-07,,1.0,0.9918366423950138,0.9784246382281656,0.9442386873088928,0.8635679100072288,0.7035456039395953,0.4731609329106359,0.2592950431439379,0.1290034570943056,0.0673467812839642,0.0374045082512505,0.0175570591418364,0.0,,0.811956104555597,3.1156006547787695e-08,-1.147,100000000.0,1.79e-05,0.8565263157894737,548300000.0,1.982165047340418e-12,3.860232811995395e-12,7.517737931460336e-12,1.464066711999772e-11,2.8512450909145396e-11,5.5527514571791585e-11,1.0813889287685026e-10,2.1059865983217622e-10,4.1013731825067595e-10,7.9873547132685e-10,1.5555237837825711e-09,3.029356187091248e-09,5.899619796202853e-09,1.1489409495015038e-08,2.2375430130108372e-08,4.357577068904946e-08,8.486307436787697e-08,1.6526939804595597e-07,3.218593497104288e-07,6.268156247971202e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.553528814520953e-11,4.912689464587476e-11,1.553528814520953e-10,4.912689464587473e-10,1.553528814520953e-09,4.912689464587476e-09,1.5535288145209534e-08,4.912689464587477e-08,1.553528814520954e-07,4.912689464587477e-07,,,,1.0,0.9797824485442628,0.94560862180554,0.861848047461944,0.6914398747105753,0.4470641290025349,0.2292250890855723,0.1043636818732222,0.0478757180343606,0.0199734746711283,0.0,,,,0.8691870571538832,1.81213662574443e-08,-1.147,100000000.0,1.79e-05,0.8909473684210527,548300000.0,1.553528814520954e-11,2.6801643004505e-11,4.623847726715227e-11,7.977110879454656e-11,1.3762195847292588e-10,2.3742685466117697e-10,4.096113145010177e-10,7.066657611527821e-10,1.2191472264236062e-09,2.1032856569585816e-09,3.6286106049267164e-09,6.260117297251138e-09,1.0800020405092328e-08,1.863230914245462e-08,3.2144656302344225e-08,5.54563001770651e-08,9.56737941262253e-08,1.650574389795469e-07,2.8475883507392864e-07,4.912689464587479e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,3.598935946377844e-11,1.1380834743607597e-10,3.5989359463778435e-10,1.1380834743607601e-09,3.5989359463778434e-09,1.13808347436076e-08,3.598935946377844e-08,1.1380834743607601e-07,3.598935946377845e-07,1.1380834743607604e-06,,,,1.0,0.9813887901457548,0.9478759863871464,0.8625439571325518,0.6845461235669204,0.4306792363707503,0.2138539367358173,0.0969175606428327,0.0459932548684151,0.0200114827272188,0.0,,,,0.8925261471822996,2.252008702198247e-08,-1.147,100000000.0,1.79e-05,0.9253684210526316,548300000.0,3.598935946377851e-11,6.208922263256706e-11,1.0711698192340472e-10,1.8479934729220924e-10,3.188177835709222e-10,5.500278037256928e-10,9.489137697490142e-10,1.6370760465562702e-09,2.8243008665762827e-09,4.872513651227866e-09,8.40611195583492e-09,1.4502313030200311e-08,2.501954343826348e-08,4.3163980294425366e-08,7.446695418143294e-08,1.2847117497585878e-07,2.216398264318013e-07,3.82375366847466e-07,6.596780169232071e-07,1.13808347436076e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
