,drug,deltaRMSD_min,deltaRMSD_max,deltaRMSD_mean,deltaRMSD_ratio_min,deltaRMSD_ratio_max,deltaRMSD_ratio_mean
0,dofetilide,0.16633644022136296,4.535302082731742,2.4365286110695976,[0.13632032],[3.71688743],[1.99684661]
0,bepridil,16.62054327339728,19.880776551914607,18.48247175713061,[1.75676136],[2.10136212],[1.95356383]
0,terfenadine,14.424899648918995,16.85198243587157,15.958001504856941,[1.72485771],[2.01507619],[1.9081784]
0,cisapride,52.200164965440706,59.06234751344344,55.82435812464422,[2.90219279],[3.28371221],[3.10368846]
0,verapamil,12.740254326442807,14.861469880678404,13.887822864935263,[1.52799664],[1.78240367],[1.66562975]
0,ranolazine,9.89477259870051,10.843402216400824,10.284228685569143,[4.21132856],[4.61507619],[4.37708553]
0,quinidine,3.8741242323414893,4.381383828484445,4.190732389693296,[1.85927746],[2.1027225],[2.01122468]
0,sotalol,3.6796049664786272,4.0338011206252435,3.9190339027154613,[1.88503692],[2.06648923],[2.00769476]
0,chlorpromazine,5.679020985298644,6.266136312811954,6.010472799814663,[1.83470628],[2.02438407],[1.94178754]
0,ondansetron,1.6392212092452336,2.3742165507348476,2.205700319468213,[1.27226676],[1.84272676],[1.71193441]
0,diltiazem,2.2924876798633833,2.864685996011322,2.6505126070450324,[1.79814887],[2.24696165],[2.07897137]
0,mexiletine,33.5293434177832,37.41932451265512,35.529478686275084,[3.00729435],[3.35619227],[3.18668932]
