,drug,deltaRMSD_min,deltaRMSD_max,deltaRMSD_mean,deltaRMSD_ratio_min,deltaRMSD_ratio_max,deltaRMSD_ratio_mean
0,dofetilide,0.7505647291307795,14.821756364708314,6.122698623511586,[0.02017454],[0.39839619],[0.16457293]
0,bepridil,3.305518900831622,7.3448618941189565,5.642192197054186,[0.09496768],[0.21101816],[0.1621004]
0,terfenadine,2.9237040377715076,6.358909310948341,5.0259333630798295,[0.08521863],[0.18534625],[0.14649334]
0,cisapride,10.67596188764901,34.36620868640935,23.241467487054713,[0.05865205],[0.18880254],[0.12768496]
0,verapamil,4.103544446548945,6.588100913603618,5.503149697288032,[0.16167094],[0.2595572],[0.21681242]
0,ranolazine,13.05216654262189,19.092484610640454,15.607869421311094,[0.19759713],[0.28904168],[0.23628799]
0,quinidine,0.19400546162485988,2.7529215419164057,1.539876916949407,[0.01329079],[0.18859518],[0.10549279]
0,sotalol,0.03581676398790634,1.5088335160033886,0.7724449321226193,[0.00320765],[0.13512708],[0.0691781]
0,chlorpromazine,0.05160709033766686,0.8508031513942926,0.34128086932028845,[0.00958754],[0.15806186],[0.06340302]
0,ondansetron,0.11731258895202856,2.3633932992209736,1.216376208080483,[0.00889085],[0.17911605],[0.09218631]
0,diltiazem,4.93652341996402,6.721182638335561,5.720365373806906,[0.36552937],[0.49767609],[0.42356966]
0,mexiletine,7.579985832986836,22.962283275690282,15.67373066799873,[0.05242868],[0.15882381],[0.10841089]
