,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,Hill_coef,IC50,Vhalf,Kmax,Ku,n,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_19,conc_20,conc_19,conc_20
0,0,3.72037156668665E-14,1.17648478928588E-13,3.72037156668665E-13,1.17648478928588E-12,3.72037156668665E-12,1.17648478928588E-11,3.72037156668665E-11,1.17648478928588E-10,3.72037156668665E-10,1.17648478928588E-09,3.72037156668665E-09,1.17648478928588E-08,3.72037156668665E-08,1.17648478928588E-07,3.72037156668665E-07,1.17648478928588E-06,3.72037156668665E-06,1.17648478928588E-05,1,0.999751543437125,0.999470724412786,0.998897103060206,0.997675638891422,0.99510876173018,0.989725305659825,0.978530746311849,0.955689771750414,0.910696863203078,0.828132800192999,0.694420589090981,0.51640970397608,0.332449202559574,0.185989018502954,0.0917617167038831,0.0394031748171326,0.0128091649553661,0,0.668470384836116,5.2832378085973E-06,-14.57,206000,0.03866,0.65,56770000,3.72037156668665E-14,1.04220880425097E-13,2.91959868036944E-13,8.17883750324019E-13,2.29118417384488E-12,6.4184242765522E-12,1.79802962433625E-11,5.03692244497021E-11,1.41102167468516E-10,3.95277510857744E-10,1.1073133275912E-09,3.10197967701323E-09,8.68975174130245E-09,2.43430947936373E-08,6.81936931886608E-08,1.91034863485176E-07,5.35156806448901E-07,1.49916513804722E-06,4.19969639562222E-06,1.17648478928588E-05,276.4,276.5,276.6,276.8,277.1,277.9,279.2,281.9,287.1,296.8,314.9,346.8,398.7,472,557.6,642.4,1000,1000,1000,1000,276.4,276.5,276.5,276.6,276.9,277.3,278.2,280.1,283.6,290.4,303,325.4,361.6,413.8,480.2,555.1,632.8,1000,1000,1000,34.4901888223303,19.19375,,,,
0,0,3.30536845650515E-13,1.04524928286315E-12,3.30536845650515E-12,1.04524928286315E-11,3.30536845650515E-11,1.04524928286315E-10,3.30536845650515E-10,1.04524928286315E-09,3.30536845650515E-09,1.04524928286315E-08,3.30536845650515E-08,1.04524928286315E-07,3.30536845650515E-07,1.04524928286315E-06,3.30536845650515E-06,1.04524928286315E-05,3.30536845650515E-05,,1,0.999506390130663,0.998931813845832,0.997684544610712,0.994982918503512,0.989158899828821,0.976697436155973,0.950651563326135,0.898447043690645,0.802369321924531,0.650367519120546,0.459226529139849,0.277945654027049,0.14645280497062,0.068698926304019,0.0283220411763998,0.0089310447726064,0,,0.689371274239757,5.85290031692181E-06,-14.57,206000,0.03866,0.6754,56770000,3.30536845650515E-13,8.71510271147927E-13,2.29786833967492E-12,6.05867662296792E-12,1.5974615163065E-11,4.21194834265668E-11,1.11054373830716E-10,2.92811614568695E-10,7.72042006711235E-10,2.03560525085276E-09,5.36718041412117E-09,1.41513810625406E-08,3.73122515968234E-08,9.83793817064177E-08,2.59392085192763E-07,6.83926374547042E-07,1.80327509011485E-06,4.75460688700939E-06,1.25362385217429E-05,3.30536845650515E-05,276.5,276.6,276.8,277.1,277.8,279.1,281.5,286.2,295,311.1,339.4,385.8,453.2,535.3,619.3,697.9,1000,1000,1000,1000,276.5,276.5,276.6,276.9,277.3,278.2,279.9,283.1,289.2,300.4,320.1,352.1,399.1,460.3,531.2,606.2,681.2,1000,1000,1000,40.6139908159738,24.0625,,,,
0,0,8.61653443781908E-13,2.72478743607868E-12,8.61653443781907E-12,2.72478743607868E-11,8.61653443781908E-11,2.72478743607868E-10,8.61653443781907E-10,2.72478743607868E-09,8.61653443781907E-09,2.72478743607868E-08,8.61653443781908E-08,2.72478743607868E-07,8.61653443781908E-07,2.72478743607868E-06,8.61653443781908E-06,2.72478743607868E-05,,,1,0.999530555881027,0.998957577743698,0.997675952121127,0.99481615834355,0.9884733269186,0.974524899943765,0.944650040862553,0.883870435331324,0.772149309145284,0.600451813495863,0.399014940629795,0.224082519661846,0.108343650402881,0.0449755232783549,0.0140953016840589,0,,,0.720485014216206,5.30388816112056E-06,-14.57,206000,0.03866,0.7008,56770000,8.61653443781908E-13,2.13830410755114E-12,5.30647731911968E-12,1.3168707593505E-11,3.26798456404231E-11,8.10992501351166E-11,2.01258244755684E-10,4.99448281145079E-10,1.23944529995077E-09,3.07584330463198E-09,7.63310170688874E-09,1.89425259667702E-08,4.70083203107245E-08,1.16657207297072E-07,2.89499899685785E-07,7.18431324218604E-07,1.78287995325285E-06,4.42444645793823E-06,1.09798342975625E-05,2.72478743607868E-05,276.5,276.6,276.7,277,277.6,278.7,280.8,284.6,291.7,304.6,327.4,365.3,422.8,497.9,580.2,659.7,1000,1000,1000,1000,276.5,276.5,276.6,276.8,277.2,277.9,279.3,281.9,286.8,295.8,311.8,338.3,378.4,433.1,499.2,571.5,645.4,1000,1000,1000,36.7379657166806,21.28125,,,,
0,0,2.10056907520294E-12,6.64258266015481E-12,2.10056907520294E-11,6.64258266015481E-11,2.10056907520294E-10,6.64258266015481E-10,2.10056907520294E-09,6.64258266015482E-09,2.10056907520294E-08,6.64258266015482E-08,2.10056907520294E-07,6.64258266015482E-07,2.10056907520294E-06,6.64258266015482E-06,2.10056907520294E-05,6.64258266015482E-05,,,1,0.999559350234152,0.998976464266502,0.997684236251616,0.994682960953011,0.987817555755789,0.972351777383317,0.938427528846381,0.868414417457448,0.740589985180618,0.551866630686045,0.345559569228592,0.182482644855704,0.0836348972198716,0.0332713778934806,0.0101022465886457,0,,,0.74142635137508,5.8312731205591E-06,-14.57,206000,0.03866,0.7262,56770000,2.10056907520294E-12,5.21283297144023E-12,1.29363170718435E-11,3.21031386004746E-11,7.96680772647772E-11,1.9770660476707E-10,4.90634428625829E-10,1.21757258861738E-09,3.02156335156618E-09,7.49839900543043E-09,1.86082438468471E-08,4.6178756133536E-08,1.14598536841611E-07,2.84391043540925E-07,7.05753039046905E-07,1.75141715407879E-06,4.34636746551448E-06,1.07860712116977E-05,2.67670262827267E-05,6.64258266015481E-05,276.5,276.6,276.7,277.1,277.7,278.9,281.1,285.5,293.7,308.9,335.9,380.8,447,529,613.9,693.5,1000,1000,1000,1000,276.5,276.5,276.6,276.8,277.2,278,279.6,282.6,288.3,298.9,317.7,348.6,394.7,455.4,526.4,601.9,677.6,1000,1000,1000,40.0843875467744,23.56875,,,,
0,0,4.82152047237681E-12,1.52469864778417E-11,4.82152047237681E-11,1.52469864778417E-10,4.82152047237681E-10,1.52469864778417E-09,4.82152047237681E-09,1.52469864778417E-08,4.82152047237681E-08,1.52469864778417E-07,4.82152047237681E-07,1.52469864778417E-06,4.82152047237681E-06,1.52469864778417E-05,4.82152047237681E-05,0.0001524698647784,,,1,0.999587029768507,0.999025686671174,0.997689831988246,0.994539068462003,0.987133783369892,0.969965809821813,0.931471770372328,0.851125803696814,0.70606895053497,0.501626683750404,0.295390614627475,0.1468371544416,0.0639571198386214,0.0244585522328442,0.0072172670682985,0,,,0.76356787509578,6.23314135428365E-06,-14.57,206000,0.03866,0.7516,56770000,4.82152047237682E-12,1.19652246563002E-11,2.96932475753148E-11,7.36876219958557E-11,1.82865333999983E-10,4.53803901838572E-10,1.12617288809881E-09,2.79474321122068E-09,6.93551558486712E-09,1.72113760701918E-08,4.27122486576096E-08,1.05995951628122E-07,2.63042619263961E-07,6.52774171904202E-07,1.61994326507832E-06,4.0200980599731E-06,9.97639161826944E-06,2.47577019854443E-05,6.14394293100534E-05,0.0001524698647784,276.5,276.6,276.7,277.1,277.7,279,281.5,286.4,295.9,313.7,345.6,398.2,473,560.3,646.7,1000,1000,1000,1000,1000,276.5,276.5,276.6,276.8,277.3,278.1,279.9,283.3,289.9,302.3,324.3,360.2,412.5,479.2,554.7,632.9,1000,1000,1000,1000,37.2185975017867,21.12,,,,
0,0,4.67792300257273E-11,1.47928914070235E-10,4.67792300257272E-10,1.47928914070235E-09,4.67792300257272E-09,1.47928914070235E-08,4.67792300257273E-08,1.47928914070235E-07,4.67792300257273E-07,1.47928914070235E-06,4.67792300257273E-06,1.47928914070235E-05,4.67792300257273E-05,0.0001479289140702,0.0004677923002572,,,,1,0.999660451345814,0.999103667807589,0.997693859085656,0.994024047659097,0.984608818940102,0.960897167356528,0.904209658377845,0.783548693890471,0.580700015805951,0.345704106259021,0.165958832417679,0.067749292006117,0.0240705066480102,0.0066406977295881,0,,,,0.842371674099841,6.427578221566E-06,-14.57,206000,0.03866,0.8311,56770000,4.67792300257272E-11,1.09263251878596E-10,2.55208523195439E-10,5.9609602672237E-10,1.39231428725476E-09,3.25205837246186E-09,7.59590255929345E-09,1.77419126848583E-08,4.14401663607459E-08,9.67926862514605E-08,2.26080755328441E-07,5.2806167396875E-07,1.23340498889248E-06,2.88089051263902E-06,6.72895782046903E-06,1.57169712458714E-05,3.67104671680539E-05,8.57454263047515E-05,0.0002002774330962,0.0004677923002572,276.5,276.5,276.7,277,277.6,278.8,281.3,286.2,295.8,314.2,347.8,403.7,482.8,573.5,661.6,1000,1000,1000,1000,1000,276.4,276.5,276.6,276.8,277.2,278,279.7,283.1,289.8,302.7,325.8,363.9,419.2,489.4,567.9,648.5,1000,1000,1000,1000,38.4246275193397,21.8,,,,
0,0,1.69479208716073E-10,5.3594031558585E-10,1.69479208716073E-09,5.3594031558585E-09,1.69479208716073E-08,5.35940315585851E-08,1.69479208716073E-07,5.35940315585851E-07,1.69479208716073E-06,5.35940315585851E-06,1.69479208716073E-05,5.35940315585851E-05,0.000169479208716,0.0005359403155858,,,,,1,0.999692484582025,0.999160285942072,0.997690716232885,0.993643679594669,0.982622966266604,0.95333958418528,0.88066731644505,0.726900333073145,0.488922996555171,0.254104156042987,0.105722106234573,0.0368277058520083,0.0098018051071582,0,,,,,0.898702487094364,6.18222209170351E-06,-14.57,206000,0.03866,0.884075,56770000,1.69479208716072E-10,3.72581846576412E-10,8.19081192613119E-10,1.80066207266204E-09,3.95856226362536E-09,8.70247418041767E-09,1.91314552651441E-08,4.20584506169305E-08,9.24609886587976E-08,2.0326555777404E-07,4.46857507977343E-07,9.82368260626312E-07,2.15963116263652E-06,4.74771727219405E-06,1.04373467500679E-05,2.2945386368976E-05,5.04429687188618E-05,0.0001108934516183,0.0002437873488447,0.0005359403155858,276.5,276.5,276.7,276.9,277.4,278.4,280.5,284.6,292.5,307.8,335.9,383.9,455.4,543.1,632,713.8,1000,1000,1000,1000,276.4,276.5,276.6,276.7,277.1,277.8,279.2,282,287.5,298.1,317.6,350.5,400.1,465.5,541.4,621,699.8,1000,1000,1000,41.4416381794929,24.24375,,,,
0,0,5.30845121744863E-10,1.67867966950314E-09,5.30845121744863E-09,1.67867966950315E-08,5.30845121744863E-08,1.67867966950315E-07,5.30845121744864E-07,1.67867966950315E-06,5.30845121744864E-06,1.67867966950315E-05,5.30845121744864E-05,0.0001678679669503,0.0005308451217448,0.0016786796695031,,,,,1,0.999725397019281,0.999210113483057,0.997695335782174,0.993266125264847,0.98046230624951,0.944640111674044,0.85291641778243,0.663056911083193,0.399595579725862,0.182240746496497,0.0676817631558775,0.0216397753182869,0.0054348128646745,0,,,,,0.947121214393854,6.67252491049062E-06,-14.57,206000,0.03866,0.93705,56770000,5.30845121744864E-10,1.16700601332832E-09,2.56553744087906E-09,5.6400586504095E-09,1.23990634762124E-08,2.72580099988822E-08,5.99238088041574E-08,1.31736060766889E-07,2.89607587580005E-07,6.36671191590625E-07,1.39965326733522E-06,3.07698745386584E-06,6.76442659922016E-06,1.48708657094941E-05,3.26920018579702E-05,7.18698565611539E-05,0.0001579981643388,0.0003473420030162,0.0007635941060719,0.0016786796695031,276.5,276.5,276.6,276.9,277.5,278.6,281.1,286,296.2,316.2,353.4,415.7,502.1,597.4,687.5,1000,1000,1000,1000,1000,276.4,276.5,276.6,276.7,277.1,277.9,279.6,283.1,290.1,304,329.5,371.8,432.9,508.8,591.9,675.7,1000,1000,1000,1000,40.3928954149118,23.02,,,,
0,0,1.47148031451955E-09,4.65322932598272E-09,1.47148031451955E-08,4.65322932598272E-08,1.47148031451955E-07,4.65322932598272E-07,1.47148031451955E-06,4.65322932598272E-06,1.47148031451955E-05,4.65322932598272E-05,0.0001471480314519,0.0004653229325982,0.0014714803145195,,,,,,1,0.999759962160688,0.999252803054733,0.997691493334065,0.992831825275034,0.977945419195841,0.934143820423406,0.819266880901876,0.59102982900836,0.313914210131842,0.124164171802306,0.0395690000822424,0.0096070547936702,0,,,,,,1.00428858340688,6.3592758421009E-06,-14.57,206000,0.03866,0.990025,56770000,1.47148031451955E-09,3.04469595438317E-09,6.29989634463036E-09,1.30353554337505E-08,2.69719503288398E-08,5.58086895473391E-08,1.15475884799512E-07,2.38935550689095E-07,4.9439064686294E-07,1.02296251437108E-06,2.11665069403815E-06,4.37964255545238E-06,9.06208519315739E-06,1.87507055674684E-05,3.879779893742E-05,8.02780032448508E-05,0.0001661062735897,0.0003436968161966,0.0007111561707504,0.0014714803145195,276.4,276.5,276.6,276.8,277.3,278.2,280.1,283.9,291.7,306.8,335.4,385.1,459.9,551.1,642.5,1000,1000,1000,1000,1000,276.4,276.5,276.5,276.7,277,277.6,278.9,281.6,286.9,297.5,317.3,351.2,402.9,471.3,550.2,632.5,1000,1000,1000,1000,36.267414207982,19.9866666666667,,,,
