,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_Hill,peak_current
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,Hill_coef,IC50,Vhalf,Kmax,Ku,n,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_19,conc_19
0,0,1.85879189114657E-11,5.87801607227492E-11,1.85879189114657E-10,5.87801607227492E-10,1.85879189114657E-09,5.87801607227492E-09,1.85879189114657E-08,5.87801607227493E-08,1.85879189114657E-07,5.87801607227493E-07,1.85879189114657E-06,5.87801607227493E-06,1.85879189114657E-05,5.87801607227493E-05,0.0001858791891146,0.0005878016072274,0.0018587918911465,0.0058780160722749,1,0.99963873584771,0.999230790500807,0.998393786539665,0.99661074152389,0.992871693694052,0.985103297643998,0.969120441610261,0.937186992187985,0.876672418482543,0.772485732678104,0.618867424875032,0.436294761265809,0.267057173731982,0.143706660177656,0.0702854923158832,0.0314793440886324,0.0109312328166706,0,0.65350793190993,0.0002911347817809,-64.87,5770,0.01,0.65,1000000,1.85879189114657E-11,5.20713923192507E-11,1.45870546938572E-10,4.08635442926144E-10,1.14473366090665E-09,3.20680738075277E-09,8.98341153793422E-09,2.5165740650424E-08,7.04982177216424E-08,1.97490658866993E-07,5.53241792490669E-07,1.54982763597152E-06,4.34162012672167E-06,1.21624268965488E-05,3.40712968192341E-05,9.54458577073747E-05,0.0002673778988169,0.000749020884646,0.0020982747194824,0.0058780160722749,276.5,276.5,276.6,276.9,277.4,278.3,280,283.5,290,302.3,324.8,363.5,423.8,502.7,586.8,666.4,1000,1000,1000,1000,276.4,276.5,276.6,276.8,277.1,277.8,279.2,281.9,286.9,296.3,313.2,341.5,384.5,442.6,512,587,662.8,1000,1000,1000,33.2825310786304,18.73125,,
0,0,1.30730066228749E-10,4.13404767947507E-10,1.30730066228749E-09,4.13404767947507E-09,1.30730066228749E-08,4.13404767947507E-08,1.30730066228749E-07,4.13404767947507E-07,1.30730066228749E-06,4.13404767947507E-06,1.30730066228749E-05,4.13404767947507E-05,0.0001307300662287,0.0004134047679475,0.0013073006622874,0.004134047679475,,,1,0.999273128249773,0.998431436709847,0.99659497370981,0.992630434148917,0.984149320685112,0.966251060041699,0.929669879660682,0.859557981852796,0.739482506245027,0.568281552559115,0.377152287317519,0.214128627688898,0.105715969253677,0.0462100955790571,0.0158875946746892,0,,,0.684989986457211,0.0002675929115685,-64.87,5770,0.01,0.6754,1000000,1.3073006622875E-10,3.24423513437639E-10,8.05098774195185E-10,1.99795640378325E-09,4.95818639819557E-09,1.23043787705782E-08,3.05349022346064E-08,7.5776296541394E-08,1.88048649162583E-07,4.66666966662262E-07,1.1580942418016E-06,2.87396016582563E-06,7.13210267059381E-06,1.76992322679873E-05,4.39229267082442E-05,0.0001090004052948,0.0002704985583805,0.0006712770460628,0.001665860532746,0.004134047679475,276.5,276.6,276.8,277.2,277.9,279.2,281.6,285.9,293.7,307.4,331,369.3,426.1,498.4,575.7,649.7,1000,1000,1000,1000,276.5,276.6,276.7,277,277.5,278.5,280.3,283.6,289.6,300.1,317.9,346.2,387.2,441.1,504.9,573.9,644.1,1000,1000,1000,31.9548314030914,18.4625,,
0,0,2.74382345580851E-10,8.67673161774925E-10,2.74382345580851E-09,8.67673161774925E-09,2.74382345580851E-08,8.67673161774925E-08,2.74382345580851E-07,8.67673161774926E-07,2.74382345580851E-06,8.67673161774926E-06,2.74382345580851E-05,8.67673161774926E-05,0.0002743823455808,0.0008676731617749,0.0027438234558085,0.0086767316177492,,,1,0.999316138054416,0.99847976713034,0.996610572042188,0.992449542115345,0.983289579596358,0.963458899593928,0.922075031124783,0.841895326739788,0.70612445293116,0.52012221456882,0.326387256835055,0.174847862844625,0.0828160401848576,0.0356447163858749,0.0119952079256131,0,,,0.704414864173103,0.0002918092621108,-64.87,5770,0.01,0.7008,1000000,2.74382345580851E-10,6.8091516470925E-10,1.68977876674067E-09,4.1934038607392E-09,1.0406472305946E-08,2.58250026591361E-08,6.40880735312499E-08,1.59042816884043E-07,3.94685254348883E-07,9.79462342609395E-07,2.43066207824899E-06,6.03200131502536E-06,1.49691889259567E-05,3.71479721900629E-05,9.2187482211598E-05,0.0002287751221798,0.0005677349600269,0.0014089074973084,0.0034963855949223,0.0086767316177492,276.5,276.6,276.8,277.2,278,279.4,282,286.9,295.9,312,340,385.3,450.5,528.8,608.2,682.4,1000,1000,1000,1000,276.5,276.6,276.7,277,277.6,278.7,280.7,284.5,291.4,303.7,324.5,357.2,403.7,463.1,531.2,603.1,675,1000,1000,1000,35.2237224750593,20.64375,,
0,0,5.46780823294399E-10,1.72907278251235E-09,5.46780823294399E-09,1.72907278251235E-08,5.46780823294399E-08,1.72907278251235E-07,5.46780823294399E-07,1.72907278251235E-06,5.46780823294399E-06,1.72907278251235E-05,5.46780823294399E-05,0.0001729072782512,0.0005467808232943,0.0017290727825123,0.0054678082329439,0.0172907278251235,,,1,0.999355692397684,0.998532402454367,0.996621728368055,0.992252649622786,0.982364178476768,0.960384357481965,0.913593260556897,0.822277241218687,0.669900219625347,0.471061805825422,0.278783362752037,0.141242026139142,0.0647070398268461,0.0273531212480247,0.0088118927843344,0,,,0.725262197661394,0.0003101991026049,-64.87,5770,0.01,0.7262,1000000,5.46780823294399E-10,1.35690710553991E-09,3.36733991871064E-09,8.35648813529534E-09,2.07377026498917E-08,5.14632826891611E-08,1.2771277078555E-07,3.16935705797051E-07,7.86516814185664E-07,1.95184287438062E-06,4.84374972989592E-06,1.20203894246928E-05,2.98301460600794E-05,7.40273532351402E-05,0.0001837084208693,0.0004558961305981,0.0011313650235017,0.0028076281646078,0.0069674912578621,0.0172907278251235,276.5,276.6,276.8,277.2,278,279.6,282.5,288,298.4,317.3,350.3,403.3,476.6,559.3,639.8,713.4,1000,1000,1000,1000,276.5,276.6,276.7,277.1,277.7,278.9,281.1,285.4,293.4,307.7,331.9,369.4,421.7,486.4,558.5,632.9,1000,1000,1000,1000,37.9412456964713,22.60625,,
0,0,1.03999280634698E-09,3.28874601824688E-09,1.03999280634698E-08,3.28874601824688E-08,1.03999280634698E-07,3.28874601824688E-07,1.03999280634698E-06,3.28874601824688E-06,1.03999280634698E-05,3.28874601824688E-05,0.0001039992806346,0.0003288746018246,0.0010399928063469,0.0032887460182468,0.0103999280634698,,,,1,0.999375675327988,0.99856663106452,0.996604230357604,0.991991728082322,0.981247907438533,0.956746590075884,0.903587593695377,0.799374608240046,0.629245785260959,0.418558277520453,0.230448056045713,0.107585456427075,0.044448130565361,0.0145291895682726,0,,,,0.757175217408961,0.0002855865250361,-64.87,5770,0.01,0.7516,1000000,1.03999280634698E-09,2.42913352548393E-09,5.67377932675938E-09,1.32523681843916E-08,3.09538408845704E-08,7.22995507048905E-08,1.68871612786983E-07,3.9443705150643E-07,9.21295089408175E-07,2.15188871969798E-06,5.02621268169142E-06,1.17398328688397E-05,2.74209796752787E-05,6.40477709310324E-05,0.0001495977536109,0.0003494186848368,0.0008161447238745,0.0019062867534385,0.0044525548962484,0.0103999280634698,276.5,276.6,276.8,277.1,277.8,279.1,281.4,285.8,293.9,308.5,334.1,376.1,438.1,515.1,595,670.3,1000,1000,1000,1000,276.5,276.6,276.7,277,277.5,278.4,280.2,283.6,289.9,301,320.1,350.7,395,452.7,520,591.8,664.1,1000,1000,1000,33.9658928191208,19.65625,,
0,0,6.03465084725282E-09,1.90832415611838E-08,6.03465084725283E-08,1.90832415611838E-07,6.03465084725283E-07,1.90832415611838E-06,6.03465084725283E-06,1.90832415611838E-05,6.03465084725283E-05,0.0001908324156118,0.0006034650847252,0.0019083241561183,0.0060346508472528,0.0190832415611838,,,,,1,0.99949465183064,0.998692393641898,0.996611784873986,0.991250569194896,0.977614488600937,0.944011034267668,0.867290582311546,0.717702174402038,0.497213346701621,0.274895617979662,0.123299220736566,0.0479062709309552,0.0148171416391864,0,,,,,0.834867022613615,0.0002935846998557,-64.87,5770,0.01,0.8311,1000000,6.03465084725282E-09,1.32665320610512E-08,2.91650465589108E-08,6.4116223958836E-08,1.40952635423913E-07,3.09869237553697E-07,6.8121425394661E-07,1.49757640817644E-06,3.29226096684467E-06,7.23768230764758E-06,1.59112675799331E-05,3.49792136818058E-05,7.6898046221065E-05,0.0001690520995242,0.0003716428928688,0.0008170170036848,0.0017961241748962,0.0039485861825357,0.0086805428370858,0.0190832415611838,276.5,276.6,276.7,277.1,277.7,278.8,281,285.2,293.1,307.6,333.4,376.4,440.5,520,601.9,678.6,1000,1000,1000,1000,276.5,276.5,276.7,276.9,277.4,278.3,280,283.2,289.3,300.4,319.6,350.8,396.4,455.9,525.2,598.9,672.8,1000,1000,1000,34.6464915251169,19.94375,,
0,0,1.63397528245357E-08,5.16708353297025E-08,1.63397528245357E-07,5.16708353297025E-07,1.63397528245357E-06,5.16708353297025E-06,1.63397528245357E-05,5.16708353297025E-05,0.0001633975282453,0.000516708353297,0.0016339752824535,0.0051670835329702,0.0163397528245357,0.0516708353297025,,,,,1,0.999556600395996,0.998778438001695,0.996627857259412,0.990749307515121,0.974907893837167,0.933893096770867,0.837743985889975,0.654653730898672,0.410065787709111,0.200245473413515,0.0814887245160285,0.0302471541013445,0.0085287336415163,0,,,,,0.879622388569862,0.0003215096293117,-64.87,5770,0.01,0.884075,1000000,1.63397528245357E-08,3.59211924936862E-08,7.8968885516487E-08,1.73604617408293E-07,3.81651114718941E-07,8.39019005028218E-07,1.84449321290979E-06,4.05492032013727E-06,8.91430702351207E-06,1.95971470301904E-05,4.3082223969844E-05,9.4711644471944E-05,0.0002082133829687,0.0004577347705133,0.0010062807546251,0.0022122002136595,0.0048632846875206,0.0106914093063699,0.0235039156251014,0.0516708353297025,276.5,276.6,276.7,277.1,277.7,279,281.7,286.8,296.9,316,350.3,406.9,485.5,573,656.7,1000,1000,1000,1000,1000,276.5,276.5,276.7,276.9,277.4,278.5,280.5,284.6,292.3,306.7,331.7,371.5,427.6,496.9,573.4,651.5,1000,1000,1000,1000,34.4441093173661,19.3133333333333,,
0,0,3.95299736392622E-08,1.25004752546484E-07,3.95299736392622E-07,1.25004752546484E-06,3.95299736392622E-06,1.25004752546484E-05,3.95299736392622E-05,0.0001250047525464,0.0003952997363926,0.0012500475254648,0.0039529973639262,0.0125004752546483,0.0395299736392622,,,,,,1,0.999607159536766,0.998842368200036,0.996619846714994,0.990148381436129,0.971700263484241,0.92161699098388,0.801881283515515,0.583134215208752,0.324055796301578,0.137398628889662,0.0490605414502682,0.0139727916861758,0,,,,,,0.937078928656576,0.0003064497593609,-64.87,5770,0.01,0.93705,1000000,3.95299736392622E-08,8.17929738024612E-08,1.69240956862297E-07,3.50182908728084E-07,7.24576791804823E-07,1.49924943261534E-06,3.10215409411414E-06,6.41878516961772E-06,1.32813528289509E-05,2.74809529071039E-05,5.68618861654109E-05,0.0001176550940288,0.0002434446354922,0.0005037205659401,0.0010422674052274,0.0021565951788608,0.0044622932101296,0.0092331008101791,0.0191045604931134,0.0395299736392622,276.5,276.5,276.7,277,277.5,278.6,280.7,284.7,292.6,307.5,334.6,380.6,449.2,533,617.6,695.8,1000,1000,1000,1000,276.5,276.5,276.6,276.8,277.3,278.1,279.7,282.9,289,300.3,320.4,353.4,402,465.2,538.1,614.7,690.8,1000,1000,1000,35.9973957391365,20.725,,
0,0,8.7005554890056E-08,2.75135722539378E-07,8.7005554890056E-07,2.75135722539378E-06,8.7005554890056E-06,2.75135722539378E-05,8.7005554890056E-05,0.0002751357225393,0.0008700555489005,0.0027513572253937,0.0087005554890056,0.0275135722539377,0.087005554890056,,,,,,1,0.999651909030382,0.998914701192085,0.996630510919052,0.989578084315788,0.968266452811216,0.907773507437255,0.761668346424521,0.510259477297602,0.251210789363957,0.0955941566424928,0.0323593188892063,0.008278305357122,0,,,,,,0.983427069908677,0.0003265408679707,-64.87,5770,0.01,0.990025,1000000,8.7005554890056E-08,1.80026506891538E-07,3.72499701019355E-07,7.70753316583022E-07,1.59479503848745E-06,3.29985114570731E-06,6.82784766759327E-06,1.4127759621068E-05,2.92322854327877E-05,6.04856349869983E-05,0.000125153130712,0.0002589591087269,0.0005358221533184,0.0011086900221361,0.0022940327449539,0.0047466705119086,0.0098215167146947,0.0203220742486802,0.0420491777151866,0.087005554890056,276.5,276.5,276.7,276.9,277.5,278.7,281.1,286.1,295.8,314.8,349.8,408.3,490.1,580.6,666.4,1000,1000,1000,1000,1000,276.4,276.5,276.6,276.8,277.3,278.2,280.2,284,291.5,305.8,331.3,372.4,430.7,502.9,582.3,662.8,1000,1000,1000,1000,34.9995714259475,19.5266666666667,,
