,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_ikr,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,Hill_coef,IC50,Kmax,Ku,halfmax,n,Vhalf,Kt,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29
1000,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.820718823,0.000349678,48320.14429,1.79e-05,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,238.22877880391175,241.33710102981476,248.58335301145215,265.3325288174825,302.64411898115605,384.3624813770512,539.1286023190826,883.4169304510007,,,,,,,,,,,,,241.0954246283028,246.18378013958213,255.99578183765263,274.2334499634389,306.072367834184,360.0391567795251,444.95622770919255,560.5808644446396,860.4108121335196,,,,,,,990.2619124033148,,,,,119.30046999007877,51.73460518180425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.737575904,0.000913248,48320.14429,2.98e-05,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,238.2237593343703,241.3248971871473,248.5524530364902,265.2502508465189,302.4294040517045,383.848681703394,538.7122635561213,884.5928671548792,,,,,,,,,,,,,242.1566055107865,247.4350080607372,256.9225942572803,273.4475014124087,300.79749039795,344.1304369449313,412.5935970838463,507.7396963247248,704.0437507998139,896.5366287816848,,,,,,,,,,,141.28627296254925,64.71395585974508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.675424661,0.002031357,48320.14429,4.95e-05,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,238.21892576423625,241.31328638180852,248.5232128137769,265.1738093556933,302.2378572560793,383.4206757864121,538.4276657465274,886.7575783303791,,,,,,,,,,,,,242.5316533544424,247.5076306026264,256.02153900707566,270.2185333258533,292.9473072259493,327.5625676527319,381.745432993669,457.1647811094851,553.3262448400251,850.5210416173802,963.712341572308,,,,,,,,,,162.9587293242751,78.54669577038499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.656938885,0.003070456,48320.14429,8.23e-05,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,238.2155607278069,241.30487749556156,248.5021270112191,265.1219414645149,302.12647466323847,383.24436985492633,538.5778773669257,891.1752545590066,,,,,,,,,,,,,241.578101922084,245.70631037270573,252.7044990376977,264.3252736178204,282.9908592667617,311.5922237974808,355.30324753896286,418.9167400842583,504.3094176473247,601.2073084239051,870.8994512029285,,,,,,,,,,181.02723211877347,91.89390343817853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,0.0,1e-06,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,0.686510674,0.002973016,48320.14429,0.000136894,1.0,1.0,-178.6207368,3.5e-05,1e-06,2.335721469090121e-06,5.455594781168515e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775604e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514606,1.8329807108324336,4.281332398719386,10.0,238.2141545413778,241.3022498778535,248.4966977257029,265.1155884073946,302.1580235965628,383.51752787912767,539.5812656327212,899.1997814403286,,,,,,,,,,,,,239.81557068885547,242.8543670964798,248.1759082938136,257.3423329595321,272.69327519577433,297.29074012368443,334.87299429907733,393.776606246104,475.122409073629,574.6919907954582,857.4926512103212,,,,,,,,,,195.4887441479751,103.84543677471852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,0.0,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,,0.746601442,0.002045373,48320.14429,0.000227651,1.0,1.0,-178.6207368,3.5e-05,3.1599999999999973e-06,6.947184216857877e-06,1.527321789334153e-05,3.357780325609294e-05,7.381999519540748e-05,0.0001622914890854,0.0003567939466787,0.0007844029351383,0.0017244910413449,0.0037912521976406,0.0083349770346761,0.0183242471212579,0.0402854178438628,0.0885665250045597,0.1947113812195016,0.4280683020413672,0.9410978961009304,2.0689811551615644,4.548605451302156,10.0,243.21556828983609,251.9497701344409,270.8848711487979,310.3714410346135,392.9904099500295,542.0322277427525,896.4634478274743,,,,,,,,,,,,,,241.7284889291322,246.27004514480055,254.18172744220837,267.6284672318276,289.5822768597085,323.5704210713653,377.3076400858026,453.35592469230033,551.6180279609384,850.6164387380783,927.8700038932486,,,,,,,,,,217.15102814645297,129.66266705187135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,0.0,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,,0.804453025,0.001248821,48320.14429,0.000378575,1.0,1.0,-178.6207368,3.5e-05,3.1599999999999973e-06,6.947184216857877e-06,1.527321789334153e-05,3.357780325609294e-05,7.381999519540748e-05,0.0001622914890854,0.0003567939466787,0.0007844029351383,0.0017244910413449,0.0037912521976406,0.0083349770346761,0.0183242471212579,0.0402854178438628,0.0885665250045597,0.1947113812195016,0.4280683020413672,0.9410978961009304,2.0689811551615644,4.548605451302156,10.0,243.2470788636708,252.03141621854095,271.12211331457286,311.13361943051564,395.4626710359785,547.409313452075,903.83090617332,,,,,,,,,,,,,,240.50292077790675,244.48420757214572,251.76708136273163,264.7633221761985,286.9876484007823,322.766242080375,381.07094138235,465.6524024558588,573.2752519456778,861.4766281427667,,,,,,,,,,,219.77216557495427,133.12782210516914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,0.0,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,,0.836386153,0.000821467,48320.14429,0.000629557,1.0,1.0,-178.6207368,3.5e-05,3.1599999999999973e-06,6.947184216857877e-06,1.527321789334153e-05,3.357780325609294e-05,7.381999519540748e-05,0.0001622914890854,0.0003567939466787,0.0007844029351383,0.0017244910413449,0.0037912521976406,0.0083349770346761,0.0183242471212579,0.0402854178438628,0.0885665250045597,0.1947113812195016,0.4280683020413672,0.9410978961009304,2.0689811551615644,4.548605451302156,10.0,243.3209400925067,252.2174624564384,271.6390195786688,312.7078079849766,400.3746630793377,557.2531145272504,907.3853794504904,,,,,,,997.5327479457748,,,,,,,240.5689181659204,244.8226962385621,252.782225168401,267.26054463699256,292.3392076360404,333.1360391993731,400.3238787968484,496.7514938330836,672.2451110837483,896.852740567989,,,,,,,,,,,214.30778172820217,130.52355390393305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,0.0,3.16e-06,1e-05,3.16e-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1.0,3.16227766,10.0,,0.851488417,0.000567445,48320.14429,0.001046931,1.0,1.0,-178.6207368,3.5e-05,3.1599999999999973e-06,6.947184216857877e-06,1.527321789334153e-05,3.357780325609294e-05,7.381999519540748e-05,0.0001622914890854,0.0003567939466787,0.0007844029351383,0.0017244910413449,0.0037912521976406,0.0083349770346761,0.0183242471212579,0.0402854178438628,0.0885665250045597,0.1947113812195016,0.4280683020413672,0.9410978961009304,2.0689811551615644,4.548605451302156,10.0,243.48325485837609,252.61687766178045,272.70900785150485,315.8044447692086,409.3279995760999,571.6835193474659,912.7667486013404,,,,,,,,,,,,,,241.46928118746425,246.64404980738408,256.37157068674816,274.02949075281833,304.26299874610163,354.35582078026835,433.11555738592,541.908241461307,851.3185799590731,,,,,,,,,,,,203.6758761214926,124.02044047415303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
