,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,Hill_coef,IC50,Vhalf,Kmax,Ku,n,halfmax
0,0,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.028395239,0.171287599,-199.5,9.996,1.79E-05,1,1
0,1,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.027530032,0.167352115,-199.5,9.996,2.98E-05,1,1
0,2,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.017302033,0.169357325,-199.5,9.996,4.95E-05,1,1
0,3,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.984512539,0.188897546,-199.5,9.996,8.23E-05,1,1
0,4,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.949633558,0.223942349,-199.5,9.996,0.000136894,1,1
0,5,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.919582438,0.277238607,-199.5,9.996,0.000227651,1,1
0,6,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.908481392,0.32376211,-199.5,9.996,0.000378575,1,1
0,7,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.909896068,0.337649458,-199.5,9.996,0.000629557,1,1
0,8,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.915388155,0.321102706,-199.5,9.996,0.001046931,1,1
0,9,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.924536406,0.288842622,-199.5,9.996,0.00174101,1,1
0,10,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.940073503,0.251810954,-199.5,9.996,0.002895239,1,1
0,11,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.962560835,0.218052759,-199.5,9.996,0.004814681,1,1
0,12,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100,,,,,,,,,,,,,0.983643583,0.194563452,-199.5,9.996,0.008006647,1,1
0,13,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.004088868,0.177623742,-199.5,9.996,0.013314775,1,1
0,14,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.009999172,0.173400593,-199.5,9.996,0.022142006,1,1
0,15,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.010300569,0.173158123,-199.5,9.996,0.036821383,1,1
0,16,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.010315936,0.173136859,-199.5,9.996,0.061232676,1,1
0,17,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.010309623,0.173132883,-199.5,9.996,0.101827803,1,1
0,18,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.010298322,0.173134676,-199.5,9.996,0.169336084,1,1
0,19,0,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,,1.010297536,0.173132508,-199.5,9.996,0.2816,1,1
0,20,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,1.029356544,0.078882115,-199.5,23.34836344,1.79E-05,1,1
0,21,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,1.017042819,0.080688387,-199.5,23.34836344,2.98E-05,1,1
0,22,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.985873477,0.090350288,-199.5,23.34836344,4.95E-05,1,1
